pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
662035828,FM2-389: Refactor the code,Issue Link https://issues.openmrs.org/browse/FM2-389,True,17,https://api.github.com/repos/openmrs/openmrs-module-smartonfhir/pulls/17,https://github.com/openmrs/openmrs-module-smartonfhir/pull/17,closed,55,48,5,1,2,0,0,0,[],2021-06-04 20:33:01+00:00,2021-06-07 12:23:31+00:00,229830.0,"2 days, 15:50:30",[],"[{'commit_sha': '06870598e91865d6b4dd6ab6bef5ad3c81550b3c', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38
666349279,FM2-395: Support standalone launch for Encounter context,Issue Link: https://issues.openmrs.org/browse/FM2-395,True,18,https://api.github.com/repos/openmrs/openmrs-module-smartonfhir/pulls/18,https://github.com/openmrs/openmrs-module-smartonfhir/pull/18,closed,227,15,12,3,3,8,0,0,[],2021-06-09 22:16:56+00:00,2021-06-29 15:04:53+00:00,1702077.0,"19 days, 16:47:57","[{'comment_id': 650904888, 'comment_body': 'This needs to be added to the required_modules in `config.xml`.', 'comment_created': datetime.datetime(2021, 6, 14, 12, 33, 4, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 650905879, 'comment_body': 'Please URL encode the `launchType` as we do with the `token`', 'comment_created': datetime.datetime(2021, 6, 14, 12, 34, 27, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 650907065, 'comment_body': 'I\'d really love it if we could collapse this functionality into a single servlet with some branching logic. Multiple servlets make the server lifecycle harder to manage (i.e., when this gets used in practice). E.g., replacing both this and SmartVisitSelected with:\r\n\r\n```java\r\npublic class SmartLaunchOptionsSelected extends HttpServlet {\r\n\t\r\n\tpublic void doGet(HttpServletRequest req, HttpServletResponse res) throws IOException {\r\n\t\tString token = getParameter(req, ""token"");\r\n\t\tString patientId = getParameter(req, ""patientId"");\r\n\t\tString visitId = getParameter(req,""visitId"");\r\n\t\t\r\n\t\tif (token == null || (patientId == null && visitId == null)) {\r\n\t\t\tres.sendError(HttpServletResponse.SC_BAD_REQUEST);\r\n\t\t\treturn;\r\n\t\t}\r\n\t\tJsonWebToken tokenSentBack = new JsonWebToken();\r\n\t\tif (patientId != null) {\r\n\t\t\ttokenSentBack.setOtherClaims(""patient"", patientId);\r\n\t\t}\r\n\t\t\r\n\t\tif (visitId != null) {\r\n\t\t\ttokenSentBack.setOtherClaims(""visit"", visitId);\r\n\t\t}\r\n\t\t\r\n\t\tSecretKeySpec hmacSecretKeySpec = new SecretKeySpec(SmartSecretKeyHolder.getSecretKey(), JavaAlgorithm.HS256);\r\n\t\tKeyWrapper keyWrapper = new KeyWrapper();\r\n\t\tkeyWrapper.setAlgorithm(Algorithm.HS256);\r\n\t\tkeyWrapper.setSecretKey(hmacSecretKeySpec);\r\n\t\tSignatureSignerContext signer = new MacSignatureSignerContext(keyWrapper);\r\n\t\t\r\n\t\tString appToken = new JWSBuilder().jsonContent(tokenSentBack).sign(signer);\r\n\t\tString encodedToken = URLEncoder.encode(appToken, StandardCharsets.UTF_8.name());\r\n\t\t\r\n\t\tString decodedUrl = URLDecoder.decode(token, StandardCharsets.UTF_8.name());\r\n\t\tres.sendRedirect(decodedUrl.replace(""{APP_TOKEN}"", encodedToken));\r\n\t}\r\n\t\r\n\tprivate String getParameter(HttpServletRequest request, String parameter) {\r\n\t\tString result = request.getParameter(parameter);\r\n\t\tif (result == null || result.isEmpty()) {\r\n\t\t\treturn null;\r\n\t\t}\r\n\t\t\r\n\t\treturn  result;\r\n\t}\r\n}\r\n```', 'comment_created': datetime.datetime(2021, 6, 14, 12, 36, 7, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 650907329, 'comment_body': '```suggestion\r\n<% } %>\r\n\r\n```', 'comment_created': datetime.datetime(2021, 6, 14, 12, 36, 34, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 650907469, 'comment_body': '```suggestion\r\n]\r\n\r\n```', 'comment_created': datetime.datetime(2021, 6, 14, 12, 36, 45, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 651021445, 'comment_body': 'I will add this. ', 'comment_created': datetime.datetime(2021, 6, 14, 14, 53, 7, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 651021519, 'comment_body': 'Thanks, I will encode this too. ', 'comment_created': datetime.datetime(2021, 6, 14, 14, 53, 11, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 651021605, 'comment_body': 'Yes, you are right we can merge this servlet with the already existing SmartPatientSelected servlet. I will do this too. ', 'comment_created': datetime.datetime(2021, 6, 14, 14, 53, 19, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}]","[{'commit_sha': '5adfcf15b0fd4008de23e1b2c8fc594d4c6fac76', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd4db3cf96cd615274998eeb21e1433f9c528d0bb', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'aa9b15ce090f891253d36bc2fee57be923439d8a', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38
668595689,FM2-403: Add Launch Type in Redirect URl,Issue Link: https://issues.openmrs.org/browse/FM2-403,True,14,https://api.github.com/repos/openmrs/openmrs-contrib-keycloak-smart-auth/pulls/14,https://github.com/openmrs/openmrs-contrib-keycloak-smart-auth/pull/14,closed,13,10,4,8,3,10,0,0,[],2021-06-11 22:02:44+00:00,2021-07-07 16:51:01+00:00,2227697.0,"25 days, 18:48:17","[{'comment_id': 650915310, 'comment_body': ""So, a request can have multiple launch types, e.g., `launch/user, launch/encounter, launch/patient` all in one go. It seems that rather than trying to pass this as a parameter, we just need to return whatever information we have a have logic here to decide which fields to populate.\r\n\r\nAlso, data passed from Keycloak to OMRS should *always* be in a token rather than in a URL parameter. This is, for example, how we pass the user to OMRS. The reason for doing this is that the token is signed by Keycloak, so we can be sure that the parameter was provided by Keycloak rather than a user. We should likely have a similar setup in the smartonfhir module when we're passing parameters around, but that's another step towards productionising this."", 'comment_created': datetime.datetime(2021, 6, 14, 12, 47, 27, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 650937250, 'comment_body': ""I don't quite get why this was changed?"", 'comment_created': datetime.datetime(2021, 6, 14, 13, 16, 46, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 651031148, 'comment_body': '@ibacher, thanks. Please correct me if I understood wrong. Do we need to pass the launchType (i.e., ""encounter"" or ""patient"") parameter in token securely? ', 'comment_created': datetime.datetime(2021, 6, 14, 15, 3, 1, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 651035914, 'comment_body': 'So two things:\r\n\r\n1. Yes, if we are passing the launch type, it needs to be in the token\r\n2. But, how are we going to address a request for multiple launch parameters? This can probably be handled either by multiple challenge steps in the authenticator or handled inside OMRS.', 'comment_created': datetime.datetime(2021, 6, 14, 15, 8, 43, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 651036896, 'comment_body': 'Actually, we have changed the same logic to `map` in our last commit [here](https://github.com/openmrs/openmrs-contrib-keycloak-smart-auth/blob/5697511aac2e3da364f44051750d089ebe51d731/openmrs-keycloak-smart-auth/src/main/java/org/openmrs/contrib/keycloak/smart/auth/provider/SmartLaunchAccessAuthenticator.java#L175).', 'comment_created': datetime.datetime(2021, 6, 14, 15, 9, 49, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 651050615, 'comment_body': '@ibacher I think handling it into the authenticator will be better because if we do this here, we only need to check the launchType in OMRS. \r\n\r\nSo currently, we only support patient and encounter standalone launches. if the client request only for patient context (scope contain launch/patient but not launch/encounter) then we set the `launchType=""patient""` but if client request for encounter context (scope contains both launch/patient and launch/encounter) then we set the `launchType=""encounter""`.  By Checking the scope requested, we can easily predict the launchType. Thought? ', 'comment_created': datetime.datetime(2021, 6, 14, 15, 25, 48, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 656181795, 'comment_body': '@ibacher Thought? ', 'comment_created': datetime.datetime(2021, 6, 22, 12, 42, 45, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 661796253, 'comment_body': 'This still needs to be moved into the token, e.g. like we do for `user` on 148. That\'s the only way it\'s guaranteed to be signed. We should also likely just pass the scopes, maybe without launch, e.g.,\r\n\r\n```java\r\nexternalToken.setNote(""launchTypes"", getLaunchScopes());\r\n\r\n//...\r\n\r\nprivate String getLaunchScopes(String scope) {\r\n\tArrays.stream(""launch/patient launch/encounter"".split(""\\\\s"")).filter(it -> it.startsWith(""launch/"")).map(it -> it.substring(6)).collect(\r\n\t\t\tCollectors.joining("" ""));\r\n}\r\n```\r\n\r\nThen we do need to handle the difference in OpenMRS, but at least this way we\'re less directly tied to knowing that, e.g., we only care about one or the other scope.', 'comment_created': datetime.datetime(2021, 6, 30, 20, 40, 36, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 661796955, 'comment_body': 'Again, the idea with putting things in the token is that the token is signed and therefore we can verify that it was generated by Keycloak whereas a query parameter could be populated by a malicious user (this is a security context, so we have to be careful about security).', 'comment_created': datetime.datetime(2021, 6, 30, 20, 41, 47, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 663515484, 'comment_body': '@ibacher thanks, I will change this and put the `launchType` parameter into token. ', 'comment_created': datetime.datetime(2021, 7, 4, 14, 53, 18, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}]","[{'commit_sha': '635a9e0762466f6365a0374ba25cbcadde806f6b', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'fb0f03694e1735addd68a1f8de30ceccf354c7cb', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3bfa39360405f0404384ef2447cb26f96c500ec9', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'de998a36f434cfa408f901ded8588f556914e976', 'committer_username': 'ibacher', 'committer_name': 'Ian', 'committer_email': None, 'commit_date': datetime.datetime(2019, 7, 3, 16, 23, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c48504fe4ca5b1578af096a88794d637a60a6a3d', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '5c86bf6f1aa499b75fa624c35ea1f76bf8e995da', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ef5cf0e115e5ba3e652deced4017175c8296f03c', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7ee6916c6608649f59dc09fb1ad7579c358cc52f', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38
681218700,FM2-406: Update Keycloak plugin version to 14.0.0,Issue Link: https://issues.openmrs.org/projects/FM2/issues/FM2-406?filter=allissues,True,15,https://api.github.com/repos/openmrs/openmrs-contrib-keycloak-smart-auth/pulls/15,https://github.com/openmrs/openmrs-contrib-keycloak-smart-auth/pull/15,closed,6,6,4,1,1,0,0,0,[],2021-06-30 20:37:33+00:00,2021-06-30 20:45:29+00:00,476.0,0:07:56,[],"[{'commit_sha': '70784156546d60d5bae24c097f16974bf8084d82', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38
691522781,FM2-202: Expire the OAuth2 token when the user logs out of OpenMRS,Issue Link: https://issues.openmrs.org/browse/FM2-202,True,20,https://api.github.com/repos/openmrs/openmrs-module-smartonfhir/pulls/20,https://github.com/openmrs/openmrs-module-smartonfhir/pull/20,closed,95,9,3,2,1,9,0,0,[],2021-07-16 14:12:59+00:00,2021-07-16 17:31:04+00:00,11885.0,3:18:05,"[{'comment_id': 671308824, 'comment_body': ""@ibacher @VaishSiddharth I'm getting ClassNotFoundException in this line. Here is the complete [log](https://pastebin.com/J04xuk1Y). I'm not sure but I think there is some issue with dependency. I tried but didn't get any solution. PTAL "", 'comment_created': datetime.datetime(2021, 7, 16, 14, 41, 6, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 671311531, 'comment_body': ""This probably doesn't need to be `volatile`. This is because the Servlet spec guarantees that `init()` (where we setup `adapterDeploymentContext` will be called only once from one thread. On the other hand, `logoutUrl`, which we appear to need a request and response to initialize could be called from multiple threads at once."", 'comment_created': datetime.datetime(2021, 7, 16, 14, 44, 35, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 671312183, 'comment_body': '```suggestion\r\n\t\t\tkeycloakSessionLogout(request, (HttpServletResponse) servletResponse);\r\n```', 'comment_created': datetime.datetime(2021, 7, 16, 14, 45, 25, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 671314108, 'comment_body': ""Let's actually remove all of this ceremony. See above."", 'comment_created': datetime.datetime(2021, 7, 16, 14, 47, 56, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 671315536, 'comment_body': 'I actually think we can do what we need to do like this:\r\n\r\n```\r\n\t@Override\r\n\tpublic void init(FilterConfig filterConfig) {\r\n\t\tlogoutUrl = KeycloakDeploymentBuilder.build(KeycloakConfigHolder.getKeycloakConfig()).getLogoutUrl();\r\n\t}\r\n```\r\n\r\nThis eliminates the need for the `adapterDeploymentContext` at all as well as the `volatile` keyword and the `getLogoutUrl()` method.', 'comment_created': datetime.datetime(2021, 7, 16, 14, 49, 46, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 671355546, 'comment_body': '@ibacher This method is way more easier than the last one. I think `KeycloakDeploymentBuilder.build(KeycloakConfigHolder.getKeycloakConfig()).getLogoutUrl();` return `KeycloakUriBuilder`object, we have to construct the complete logout URL, sometime like this:\r\n```\r\nlogoutUrl = keycloakUriBuilder.getScheme() + ""://"" + keycloakUriBuilder.getHost() + "":""\r\n\t\t        + keycloakUriBuilder.getPort() + keycloakUriBuilder.getPath();\r\n```\r\n\r\nThought? ', 'comment_created': datetime.datetime(2021, 7, 16, 15, 46, 14, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 671355647, 'comment_body': 'Thank I will remove this.', 'comment_created': datetime.datetime(2021, 7, 16, 15, 46, 22, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}, {'comment_id': 671361152, 'comment_body': ""You're right... I missed that... maybe just call `toTemplate()` on the `KeycloakUriBuilder` and see what that gets us (I don't imagine the logout URL takes too many parameters)"", 'comment_created': datetime.datetime(2021, 7, 16, 15, 54, 30, tzinfo=datetime.timezone.utc), 'commenter': 'ibacher', 'type': 'User'}, {'comment_id': 671373202, 'comment_body': 'Yes, we are getting the same URL. Thanks ', 'comment_created': datetime.datetime(2021, 7, 16, 16, 13, 30, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}]","[{'commit_sha': 'a0efa33ae4bc1124d99ace6c70dfe806aea73478', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6b5287f777e0b8f365bae6acf057cf8d201aad7f', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38
705065008,FM2-423: Fixed ModuleException when SMART-on-FHIR load before Keycloak ,issue link: https://issues.openmrs.org/projects/FM2/issues/FM2-423,True,21,https://api.github.com/repos/openmrs/openmrs-module-smartonfhir/pulls/21,https://github.com/openmrs/openmrs-module-smartonfhir/pull/21,closed,13,2,1,1,1,2,0,0,[],2021-08-05 22:33:39+00:00,2021-08-06 12:29:52+00:00,50173.0,13:56:13,"[{'comment_id': 684094992, 'comment_body': 'thanks @theanandankit  did this formatting get added automatically?', 'comment_created': datetime.datetime(2021, 8, 6, 9, 32, 6, tzinfo=datetime.timezone.utc), 'commenter': 'HerbertYiga', 'type': 'User'}, {'comment_id': 684114478, 'comment_body': '@HerbertYiga Actually, to get the logoutURL for ending the keycloak session we need to import the keycloak config which later sends the GET request to the keycloak server to end the session. So we need to start the keycloak server first to get the keycloak config that contains the Logout URL. ', 'comment_created': datetime.datetime(2021, 8, 6, 10, 1, 15, tzinfo=datetime.timezone.utc), 'commenter': 'theanandankit', 'type': 'User'}]","[{'commit_sha': '38826463829dd6825adfe993bfd630bf3a932e52', 'committer_username': 'theanandankit', 'committer_name': 'Ankit kumar', 'committer_email': None, 'commit_date': datetime.datetime(2019, 4, 6, 19, 31, 56, tzinfo=datetime.timezone.utc)}]",Ankit kumar,49350053,,User,,52,,32,38

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
273318014,openmrs-module-smartonfhir,openmrs/openmrs-module-smartonfhir,Java,6,9,52,4,30,1,1,1,"[{'id': 829583836, 'number': 25, 'closed': datetime.datetime(2022, 1, 24, 12, 46, 23, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 1, 22, 18, 59, 56, tzinfo=datetime.timezone.utc), 'time_taken': 150387.0, 'time_delta': '1 day, 17:46:27', 'additions': 64, 'deletions': 36, 'state': 'closed'}, {'id': 813629634, 'number': 24, 'closed': None, 'created': datetime.datetime(2022, 1, 4, 7, 30, 55, tzinfo=datetime.timezone.utc), 'time_taken': 0.0, 'time_delta': '', 'additions': 490, 'deletions': 2, 'state': 'open'}, {'id': 804805823, 'number': 23, 'closed': datetime.datetime(2021, 12, 28, 18, 36, 47, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 12, 16, 20, 13, 57, tzinfo=datetime.timezone.utc), 'time_taken': 1030970.0, 'time_delta': '11 days, 22:22:50', 'additions': 478, 'deletions': 3, 'state': 'closed'}, {'id': 716062615, 'number': 22, 'closed': datetime.datetime(2021, 8, 19, 16, 11, 12, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 19, 15, 51, 36, tzinfo=datetime.timezone.utc), 'time_taken': 1176.0, 'time_delta': '0:19:36', 'additions': 2, 'deletions': 2, 'state': 'closed'}, {'id': 705065008, 'number': 21, 'closed': datetime.datetime(2021, 8, 6, 12, 29, 52, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 5, 22, 33, 39, tzinfo=datetime.timezone.utc), 'time_taken': 50173.0, 'time_delta': '13:56:13', 'additions': 13, 'deletions': 2, 'state': 'closed'}, {'id': 691522781, 'number': 20, 'closed': datetime.datetime(2021, 7, 16, 17, 31, 4, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 7, 16, 14, 12, 59, tzinfo=datetime.timezone.utc), 'time_taken': 11885.0, 'time_delta': '3:18:05', 'additions': 95, 'deletions': 9, 'state': 'closed'}, {'id': 683192831, 'number': 19, 'closed': datetime.datetime(2021, 7, 8, 17, 56, 49, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 7, 4, 15, 27, 42, tzinfo=datetime.timezone.utc), 'time_taken': 354547.0, 'time_delta': '4 days, 2:29:07', 'additions': 51, 'deletions': 11, 'state': 'closed'}, {'id': 666349279, 'number': 18, 'closed': datetime.datetime(2021, 6, 29, 15, 4, 53, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 6, 9, 22, 16, 56, tzinfo=datetime.timezone.utc), 'time_taken': 1702077.0, 'time_delta': '19 days, 16:47:57', 'additions': 227, 'deletions': 15, 'state': 'closed'}, {'id': 662035828, 'number': 17, 'closed': datetime.datetime(2021, 6, 7, 12, 23, 31, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 6, 4, 20, 33, 1, tzinfo=datetime.timezone.utc), 'time_taken': 229830.0, 'time_delta': '2 days, 15:50:30', 'additions': 55, 'deletions': 48, 'state': 'closed'}, {'id': 650693221, 'number': 16, 'closed': datetime.datetime(2021, 6, 2, 14, 1, 49, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 5, 22, 22, 16, 10, tzinfo=datetime.timezone.utc), 'time_taken': 920739.0, 'time_delta': '10 days, 15:45:39', 'additions': 53, 'deletions': 8, 'state': 'closed'}, {'id': 599662955, 'number': 15, 'closed': datetime.datetime(2021, 5, 4, 15, 24, 39, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 3, 24, 12, 51, 35, tzinfo=datetime.timezone.utc), 'time_taken': 3551584.0, 'time_delta': '41 days, 2:33:04', 'additions': 159, 'deletions': 9, 'state': 'closed'}, {'id': 595090730, 'number': 14, 'closed': datetime.datetime(2021, 3, 19, 17, 33, 3, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 3, 17, 22, 31, 40, tzinfo=datetime.timezone.utc), 'time_taken': 154883.0, 'time_delta': '1 day, 19:01:23', 'additions': 39, 'deletions': 4, 'state': 'closed'}, {'id': 594571809, 'number': 13, 'closed': datetime.datetime(2021, 3, 19, 15, 10, 36, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 3, 17, 10, 4, 23, tzinfo=datetime.timezone.utc), 'time_taken': 191173.0, 'time_delta': '2 days, 5:06:13', 'additions': 21, 'deletions': 0, 'state': 'closed'}, {'id': 574269013, 'number': 12, 'closed': datetime.datetime(2021, 2, 19, 18, 54, 54, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 2, 16, 15, 17, 40, tzinfo=datetime.timezone.utc), 'time_taken': 272234.0, 'time_delta': '3 days, 3:37:14', 'additions': 10, 'deletions': 0, 'state': 'closed'}, {'id': 570280261, 'number': 11, 'closed': datetime.datetime(2021, 3, 22, 14, 16, 32, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 2, 9, 12, 57, 48, tzinfo=datetime.timezone.utc), 'time_taken': 3547124.0, 'time_delta': '41 days, 1:18:44', 'additions': 90, 'deletions': 1, 'state': 'closed'}, {'id': 563855355, 'number': 9, 'closed': datetime.datetime(2021, 1, 29, 13, 56, 59, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 1, 29, 9, 29, tzinfo=datetime.timezone.utc), 'time_taken': 16079.0, 'time_delta': '4:27:59', 'additions': 12, 'deletions': 7, 'state': 'closed'}, {'id': 559509003, 'number': 8, 'closed': datetime.datetime(2021, 1, 22, 19, 57, 32, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 1, 21, 19, 59, 50, tzinfo=datetime.timezone.utc), 'time_taken': 86262.0, 'time_delta': '23:57:42', 'additions': 142, 'deletions': 5, 'state': 'closed'}, {'id': 554317717, 'number': 7, 'closed': datetime.datetime(2021, 1, 27, 18, 48, 15, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 1, 13, 16, 40, 39, tzinfo=datetime.timezone.utc), 'time_taken': 1217256.0, 'time_delta': '14 days, 2:07:36', 'additions': 12, 'deletions': 5, 'state': 'closed'}]"
281729701,openmrs-contrib-keycloak-smart-auth,openmrs/openmrs-contrib-keycloak-smart-auth,Java,5,2,7,4,24,3,5,3,"[{'id': 681218700, 'number': 15, 'closed': datetime.datetime(2021, 6, 30, 20, 45, 29, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 6, 30, 20, 37, 33, tzinfo=datetime.timezone.utc), 'time_taken': 476.0, 'time_delta': '0:07:56', 'additions': 6, 'deletions': 6, 'state': 'closed'}, {'id': 668595689, 'number': 14, 'closed': datetime.datetime(2021, 7, 7, 16, 51, 1, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 6, 11, 22, 2, 44, tzinfo=datetime.timezone.utc), 'time_taken': 2227697.0, 'time_delta': '25 days, 18:48:17', 'additions': 13, 'deletions': 10, 'state': 'closed'}, {'id': 608293521, 'number': 12, 'closed': datetime.datetime(2021, 5, 6, 15, 9, 27, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 4, 2, 23, 40, 28, tzinfo=datetime.timezone.utc), 'time_taken': 2906939.0, 'time_delta': '33 days, 15:28:59', 'additions': 25, 'deletions': 9, 'state': 'closed'}, {'id': 570287914, 'number': 10, 'closed': datetime.datetime(2021, 3, 19, 18, 27, 22, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 2, 9, 13, 9, 55, tzinfo=datetime.timezone.utc), 'time_taken': 3302247.0, 'time_delta': '38 days, 5:17:27', 'additions': 473, 'deletions': 0, 'state': 'closed'}, {'id': 563852102, 'number': 9, 'closed': datetime.datetime(2021, 2, 1, 14, 29, 49, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 1, 29, 9, 23, 9, tzinfo=datetime.timezone.utc), 'time_taken': 277600.0, 'time_delta': '3 days, 5:06:40', 'additions': 130, 'deletions': 1, 'state': 'closed'}]"
