pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
465753625,Add ability to save/load palette,"Fixes #193 
Type: Enhancement

What's new?
Easy loading and sharing of palette as a ```.gpl``` extension file.
Press ```x``` to launch palette picker

![Screenshot from 2020-08-11 03-26-17](https://user-images.githubusercontent.com/5468342/89835555-a04f3b80-db82-11ea-803a-91a3a4e2f3d6.png)


",True,194,https://api.github.com/repos/xaos-project/XaoS/pulls/194,https://github.com/xaos-project/XaoS/pull/194,closed,47,3,2,1,5,0,0,0,[],2020-08-10 22:02:05+00:00,2020-08-11 13:55:18+00:00,57193.0,15:53:13,[],"[{'commit_sha': 'adae81b99b6be27e6d016fc1a667b7745db21012', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}]",Anurag Aggarwal,5468342,,User,,50,,29,29
466301765,Improve load/ save palette config,"From #194 loading and saving of palette was introduced.

- Users can now open the palette config file ```.gpl``` with GIMP/ or can manually edit it.
- Options are now moved to Fractal -> Palette -> as ```Load Palette Config``` and ```Save Palette Config```

![Screenshot from 2020-08-12 00-08-49](https://user-images.githubusercontent.com/5468342/89935696-35f4d480-dc30-11ea-9cd1-92c5f7a9b54f.png)",True,195,https://api.github.com/repos/xaos-project/XaoS/pulls/195,https://github.com/xaos-project/XaoS/pull/195,closed,80,35,2,3,3,0,0,0,[],2020-08-11 19:13:12+00:00,2020-08-11 20:26:44+00:00,4412.0,1:13:32,[],"[{'commit_sha': 'b7feeed84b7371f76325e184e6854e155461c234', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}, {'commit_sha': '185b18e2881a0a9d4d1558e9bf3d949cdea43168', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}, {'commit_sha': '54349e81b8dbab9529bd2d6275090e66a372af23', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}]",Anurag Aggarwal,5468342,,User,,50,,29,29

470092689,Keep record of used user formulas,"Please see discussion on #200 

```Saved user formulas``` option removed
`User formula` now keeps history of last 10 user formulas used.

![Screenshot from 2020-08-19 16-31-21](https://user-images.githubusercontent.com/5468342/90627921-4f9ea900-e23a-11ea-8f20-1f6aaa5ce439.png)
![Screenshot from 2020-08-19 16-32-17](https://user-images.githubusercontent.com/5468342/90627923-50cfd600-e23a-11ea-82d1-1b866bbd6d7e.png)

",True,202,https://api.github.com/repos/xaos-project/XaoS/pulls/202,https://github.com/xaos-project/XaoS/pull/202,closed,15,85,3,3,0,0,0,0,[],2020-08-19 11:08:12+00:00,2020-08-19 11:22:59+00:00,887.0,0:14:47,[],"[{'commit_sha': 'beed48f89bf9e106cabeb84b85f26cfd24524691', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'eb62d345ddb5dfe6e6b9d8bc39ce11204777ff31', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c1d70af5691eed14490e6d45045723db871ae68e', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}]",Anurag Aggarwal,5468342,,User,,50,,29,29
468409789,Add current fractal information help menu,"Fixes #164 

Added: ```Help -> Info on current fractal``` opens up the wiki for the current fractal at https://github.com/xaos-project/XaoS/wiki/Fractal-Types",True,198,https://api.github.com/repos/xaos-project/XaoS/pulls/198,https://github.com/xaos-project/XaoS/pull/198,closed,21,0,2,1,6,0,0,0,[],2020-08-16 07:20:12+00:00,2020-08-16 09:59:22+00:00,9550.0,2:39:10,[],"[{'commit_sha': '4ccb96bfd31c9d8c2c20c756eec0129926c48d2f', 'committer_username': 'kanurag94', 'committer_name': 'Anurag Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2013, 9, 16, 9, 8, 31, tzinfo=datetime.timezone.utc)}]",Anurag Aggarwal,5468342,,User,,50,,29,29
446690693,Support for Batch Rendering,"Issue: #129 
Type: Enhancement

What's New?
Now users can render multiple files together using batch rendering option. The files names will be in format: (Base_Name)_(File_Number)_(XXXXX) - this means users can batch render animation files and xpf files together with no collisions.

Where to find the option?
Files -> Batch Render

UI: 
![Screenshot from 2020-07-09 12-59-58](https://user-images.githubusercontent.com/5468342/87013780-c9c62180-c1e8-11ea-9d98-a03b7190f610.png)
![Screenshot from 2020-07-09 13-00-18](https://user-images.githubusercontent.com/5468342/87013790-cdf23f00-c1e8-11ea-93fd-b49e1b5c669e.png)



",True,184,https://api.github.com/repos/xaos-project/XaoS/pulls/184,https://github.com/xaos-project/XaoS/pull/184,closed,140,2,4,2,1,0,0,0,[],2020-07-09 08:04:43+00:00,2020-07-09 09:15:47+00:00,4264.0,1:11:04,[],"[{'commit_sha': '1a3e88eda8fb9a711f4eb47112babc27e8c153ac', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '5776abfa53d4131d278a7864fd7fccec1a1ccc2a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Anurag Aggarwal,5468342,,User,,50,,29,29
449433553,Fix Panning while rotation,"Issue: Fixes #115 

Panning while rotation didn't used to work/ was erratic before XaoS 4.1. This fix solves it.
This fix first disables rotation only the first time panning starts, does panning, and continues rotation. On complex fractals with slower boundary trace users may face some loading time while starting panning.",True,189,https://api.github.com/repos/xaos-project/XaoS/pulls/189,https://github.com/xaos-project/XaoS/pull/189,closed,10,4,1,1,0,0,0,0,[],2020-07-15 11:56:22+00:00,2020-07-15 13:07:48+00:00,4286.0,1:11:26,[],"[{'commit_sha': '2308f44df4d2d9ee060da7b62dfce71e2851c0a1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Anurag Aggarwal,5468342,,User,,50,,29,29
454233973,Unify open/ open image and save/ save image,"Issue #190 

This PR unifies Open and Open Image menu options. Now ```Open``` is able to load png and xpf both.
Save Image has been shifted to ```Save as``` and  ```Save``` remains as it is.

![Screenshot from 2020-07-21 13-14-40](https://user-images.githubusercontent.com/5468342/88027040-5e6b4080-cb54-11ea-8239-c556187cd3f8.png)
```Save as``` should get populated in future when xaos starts supporting more export formats.

Ps. Should we rename Save as to Export as ?",True,191,https://api.github.com/repos/xaos-project/XaoS/pulls/191,https://github.com/xaos-project/XaoS/pull/191,closed,22,15,5,1,3,0,0,0,[],2020-07-21 07:48:14+00:00,2020-07-21 08:44:32+00:00,3378.0,0:56:18,[],"[{'commit_sha': 'ab8af5ac56a6cb475b3d84c244c6912bd0a41c1a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Anurag Aggarwal,5468342,,User,,50,,29,29
439711121,Add cartesian grid,"Type: Enhancement

Issues: Fixes #122 

What's New?
Cartesian Grid added.

How to use?
Go to View -> Cartesian grid -> Enable
Keyboard: Press 'g'

Sample:
![Screenshot from 2020-06-25 08-31-30](https://user-images.githubusercontent.com/5468342/85668681-a4132580-b6dc-11ea-87ef-f2ccec229fd6.png)

Current Shortcomings:
Cartesian Grid is only available until 100000x zoom levels i.e. in coordinate axis terms not fractal zoom terms.

Ps. There is a small unrelated change to fix some bugs introduced by #169 ",True,171,https://api.github.com/repos/xaos-project/XaoS/pulls/171,https://github.com/xaos-project/XaoS/pull/171,closed,209,5,5,1,0,0,0,0,[],2020-06-25 06:40:18+00:00,2020-06-25 06:45:13+00:00,295.0,0:04:55,[],"[{'commit_sha': '978c91a3d019c9c948ef2916c0084402cf03b84b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Anurag Aggarwal,5468342,,User,,50,,29,29
436314236,Added Gradient to Custom palette,"Type: Enhancement
Part of #165 

What's new?
This PR will add feature for users to know beforehand the color palette going to be generated.

Where to see changes?
In GUI menu, Fractal->Palette->Custom Palette
 
![Screenshot from 2020-06-18 13-40-34](https://user-images.githubusercontent.com/5468342/84997026-abca4b80-b16b-11ea-8b26-caae4100a92c.png)
",True,168,https://api.github.com/repos/xaos-project/XaoS/pulls/168,https://github.com/xaos-project/XaoS/pull/168,closed,177,5,6,1,2,0,0,0,[],2020-06-18 08:29:48+00:00,2020-06-18 10:43:00+00:00,7992.0,2:13:12,[],"[{'commit_sha': '7d1a168afc8bb5006747ba0b5198b3ead745bf74', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Anurag Aggarwal,5468342,,User,,50,,29,29
