pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1370906613,[#123]Common functionalities for querying server version,"Created some functions to get server version, and for more, since now people can create whatever query message with the query they want",True,125,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/125,https://github.com/pgmoneta/pgmoneta/pull/125,closed,78,0,5,1,1,0,1,1,[{'name': 'feature'}],2023-05-30 18:26:54+00:00,2023-05-31 16:21:28+00:00,78874.0,21:54:34,[],"[{'commit_sha': 'aafdd9c454269324982e41a72d6973582b49132b', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1430125200,[#123] Base backup functionality integration,,True,134,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/134,https://github.com/pgmoneta/pgmoneta/pull/134,closed,225,139,3,1,3,4,0,0,[],2023-07-11 20:11:51+00:00,2023-07-12 18:34:15+00:00,80544.0,22:22:24,"[{'comment_id': 1261087761, 'comment_body': 'Sorting', 'comment_created': datetime.datetime(2023, 7, 12, 12, 12, 54, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261087936, 'comment_body': 'Sorting', 'comment_created': datetime.datetime(2023, 7, 12, 12, 13, 6, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261580875, 'comment_body': 'This one is always first', 'comment_created': datetime.datetime(2023, 7, 12, 18, 29, 30, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261583547, 'comment_body': ""😆 So sorry about that. It's fixed now."", 'comment_created': datetime.datetime(2023, 7, 12, 18, 32, 18, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}]","[{'commit_sha': 'e9637e0a6d26e2694ec33388ee0b23cba56d9b4b', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1396900217,[#123] Receive and consume copy stream messages,"Finally, I resolved the bug (that was a stupid mistake)! This PR cosists of two functionalities:

One to read data from server into a buffer, it will left shift consumed data to reuse space, I tested locally and it was perfect, did not once exceed its original buffer size. For the sake of simplicity I just use the default buffer size (65535B), in the future we could have some configuration for the user to specify how big they want the stream buffer to be.

Another one is to parse data in the buffer, consume data into messages. It will block and return one message by another, and it will filter out those messages we are not interested in the stream replication process. And it will automatically read new data if current message is not complete.

I tested locally and it works perfectly, just as the protocal says, two DataRow messages, one CopyOutResponse then a bunch of CopyData, then finishes by a CopyDone message.

Let me know if you have questions.",True,127,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/127,https://github.com/pgmoneta/pgmoneta/pull/127,closed,261,0,4,1,3,10,1,1,[{'name': 'feature'}],2023-06-17 21:41:41+00:00,2023-06-20 16:26:39+00:00,240298.0,"2 days, 18:44:58","[{'comment_id': 1235272953, 'comment_body': 'Missing line feed above', 'comment_created': datetime.datetime(2023, 6, 20, 13, 30, 27, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235274192, 'comment_body': 'Lets call it `buffer`', 'comment_created': datetime.datetime(2023, 6, 20, 13, 31, 18, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235274522, 'comment_body': 'Lets align documentation comments', 'comment_created': datetime.datetime(2023, 6, 20, 13, 31, 33, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235278061, 'comment_body': '`struct stream_buffer** stream_buf` -> `struct stream_buffer** buffer`', 'comment_created': datetime.datetime(2023, 6, 20, 13, 34, 11, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235278914, 'comment_body': ""I'm using `Uncrustify_d-0.76.0_f` - your version ?"", 'comment_created': datetime.datetime(2023, 6, 20, 13, 34, 52, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235444922, 'comment_body': ""I was using 0.75... Anyway it's fixed now."", 'comment_created': datetime.datetime(2023, 6, 20, 15, 29, 58, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}, {'comment_id': 1235474070, 'comment_body': 'buffer -> stream_buffer', 'comment_created': datetime.datetime(2023, 6, 20, 15, 51, 57, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235474362, 'comment_body': 'buf -> buffer', 'comment_created': datetime.datetime(2023, 6, 20, 15, 52, 10, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235475016, 'comment_body': 'buffer** -> stream_buffer**', 'comment_created': datetime.datetime(2023, 6, 20, 15, 52, 43, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1235485749, 'comment_body': ""Oh I thought you want me to change the struct name! I'm on it"", 'comment_created': datetime.datetime(2023, 6, 20, 16, 1, 30, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}]","[{'commit_sha': 'f440f5c3103a06efb84b0ffe674bf671e5bde9d3', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1404571862,[#123] Receive and parse DataRow messages in stream buffer,I had to re-implement this functionality similar to `pgmoneta_query_execute`. Because now all the data is in stream buffer. I also made some changes to `pgmoneta_consume_copy_stream` so that I can make use of existing APIs. I think it's better to submit this patch as a sperate PR because the next one (archive_streamer) should be really big and it'll take some time to finish.,True,128,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/128,https://github.com/pgmoneta/pgmoneta/pull/128,closed,112,8,2,1,1,0,1,1,[{'name': 'feature'}],2023-06-23 06:50:04+00:00,2023-06-23 15:38:37+00:00,31713.0,8:48:33,[],"[{'commit_sha': 'f05dd09141307eafdd0230d49e234419cd16546d', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1418889537,[#123] Receive and extract base backup archive,"Finally! This is our native implementation of receiving and extracting the basebackup and the mainfest postgres server sends us. It uses libarchive to do the tar file extraction. We also support tablespaces now, for convenience I had to add the oid feild to the tablespace struct. So that I can keep track of and update the symbolic link easily. Let me know if you find it not ok. 

This implementation only works for server with version < 15, which sends tar file for each tablespaces separately. For server whose version >= 15, everything is sent in one backup stream so it's slightly different. 

I also have hesitations on whether to extract some parts into functions or if I'm putting the functionality in the right file. Feel free to give suggestions.

The correctness has be manually verified. But I couldn't really put it to test until in the end I also implement the xlog streaming.",True,130,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/130,https://github.com/pgmoneta/pgmoneta/pull/130,closed,612,12,15,1,7,12,1,1,[{'name': 'feature'}],2023-07-04 03:01:20+00:00,2023-07-11 12:42:16+00:00,639656.0,"7 days, 9:40:56","[{'comment_id': 1258481242, 'comment_body': 'sorting', 'comment_created': datetime.datetime(2023, 7, 10, 16, 4, 33, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258483555, 'comment_body': '`>= 13`', 'comment_created': datetime.datetime(2023, 7, 10, 16, 6, 47, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258484189, 'comment_body': 'Document the rest, and align comments', 'comment_created': datetime.datetime(2023, 7, 10, 16, 7, 24, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258486996, 'comment_body': 'Can we do with `!strcmp()` ?', 'comment_created': datetime.datetime(2023, 7, 10, 16, 10, 5, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258564404, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 29, 42, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258568934, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 30, 58, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258571304, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 32, 6, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258572054, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 32, 35, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258572994, 'comment_body': 'Yeah, just keep this function', 'comment_created': datetime.datetime(2023, 7, 10, 16, 33, 24, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258584078, 'comment_body': ""It's there to deal with null inputs. "", 'comment_created': datetime.datetime(2023, 7, 10, 16, 43, 21, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}, {'comment_id': 1258584725, 'comment_body': ""Oh that actually reminds me. I didn't check server version when it comes to manifest. I'm on it."", 'comment_created': datetime.datetime(2023, 7, 10, 16, 44, 2, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}, {'comment_id': 1258587666, 'comment_body': 'Gotcha', 'comment_created': datetime.datetime(2023, 7, 10, 16, 46, 23, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}]","[{'commit_sha': 'bc0b35cbc321e21ffce5199206e1cda8f034f200', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1418889537,[#123] Receive and extract base backup archive,"Finally! This is our native implementation of receiving and extracting the basebackup and the mainfest postgres server sends us. It uses libarchive to do the tar file extraction. We also support tablespaces now, for convenience I had to add the oid feild to the tablespace struct. So that I can keep track of and update the symbolic link easily. Let me know if you find it not ok. 

This implementation only works for server with version < 15, which sends tar file for each tablespaces separately. For server whose version >= 15, everything is sent in one backup stream so it's slightly different. 

I also have hesitations on whether to extract some parts into functions or if I'm putting the functionality in the right file. Feel free to give suggestions.

The correctness has be manually verified. But I couldn't really put it to test until in the end I also implement the xlog streaming.",True,130,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/130,https://github.com/pgmoneta/pgmoneta/pull/130,closed,612,12,15,1,7,12,1,1,[{'name': 'feature'}],2023-07-04 03:01:20+00:00,2023-07-11 12:42:16+00:00,639656.0,"7 days, 9:40:56","[{'comment_id': 1258481242, 'comment_body': 'sorting', 'comment_created': datetime.datetime(2023, 7, 10, 16, 4, 33, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258483555, 'comment_body': '`>= 13`', 'comment_created': datetime.datetime(2023, 7, 10, 16, 6, 47, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258484189, 'comment_body': 'Document the rest, and align comments', 'comment_created': datetime.datetime(2023, 7, 10, 16, 7, 24, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258486996, 'comment_body': 'Can we do with `!strcmp()` ?', 'comment_created': datetime.datetime(2023, 7, 10, 16, 10, 5, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258564404, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 29, 42, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258568934, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 30, 58, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258571304, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 32, 6, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258572054, 'comment_body': 'MAX_PATH_LENGTH', 'comment_created': datetime.datetime(2023, 7, 10, 16, 32, 35, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258572994, 'comment_body': 'Yeah, just keep this function', 'comment_created': datetime.datetime(2023, 7, 10, 16, 33, 24, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1258584078, 'comment_body': ""It's there to deal with null inputs. "", 'comment_created': datetime.datetime(2023, 7, 10, 16, 43, 21, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}, {'comment_id': 1258584725, 'comment_body': ""Oh that actually reminds me. I didn't check server version when it comes to manifest. I'm on it."", 'comment_created': datetime.datetime(2023, 7, 10, 16, 44, 2, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}, {'comment_id': 1258587666, 'comment_body': 'Gotcha', 'comment_created': datetime.datetime(2023, 7, 10, 16, 46, 23, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}]","[{'commit_sha': 'bc0b35cbc321e21ffce5199206e1cda8f034f200', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1430125200,[#123] Base backup functionality integration,,True,134,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/134,https://github.com/pgmoneta/pgmoneta/pull/134,closed,225,139,3,1,3,4,0,0,[],2023-07-11 20:11:51+00:00,2023-07-12 18:34:15+00:00,80544.0,22:22:24,"[{'comment_id': 1261087761, 'comment_body': 'Sorting', 'comment_created': datetime.datetime(2023, 7, 12, 12, 12, 54, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261087936, 'comment_body': 'Sorting', 'comment_created': datetime.datetime(2023, 7, 12, 12, 13, 6, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261580875, 'comment_body': 'This one is always first', 'comment_created': datetime.datetime(2023, 7, 12, 18, 29, 30, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}, {'comment_id': 1261583547, 'comment_body': ""😆 So sorry about that. It's fixed now."", 'comment_created': datetime.datetime(2023, 7, 12, 18, 32, 18, tzinfo=datetime.timezone.utc), 'commenter': 'Jubilee101', 'type': 'User'}]","[{'commit_sha': 'e9637e0a6d26e2694ec33388ee0b23cba56d9b4b', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1436362472,Replace archive functionality with libarchive,"I verified the correctness and this seems alright. Server starts normally. Note that this replacement doesn't do anything special with symlinks or tablespaces currently. I think this part should be first handled in restore. So it only does what our archive functionality used to do, nothing more and nothing less.",False,137,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/137,https://github.com/pgmoneta/pgmoneta/pull/137,closed,311,1205,12,1,16,1,1,1,[{'name': 'enhancement'}],2023-07-16 19:40:46+00:00,2023-07-19 09:47:23+00:00,223597.0,"2 days, 14:06:37","[{'comment_id': 1266789237, 'comment_body': 'static', 'comment_created': datetime.datetime(2023, 7, 18, 13, 38, 10, tzinfo=datetime.timezone.utc), 'commenter': 'jesperpedersen', 'type': 'User'}]","[{'commit_sha': 'a0759694f99f0384b41227c1332c03929a83d795', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1455275850,[#139] Native receivewal solution,"Hi @jesperpedersen, this is only an initial version of our receivewal solution. I pushed it because I could use some advice before going further. This solution works beautifully and smoothly as I tested locally, I think. Our stream buffer adapts really well, it automatically expands itself just enough to suit the larger xlog messages. I also dealt with cases like server sends data across segment boundary. And it exits on server shutdown or connection close. I also started a server on the received xlogs and everything seems to be normal.

By ""initial"" I mean it doesn't have the ability to deal with older timelines yet. If server sends CommandComplete for reaching the end of timeline, the while loop will simply break instead of starting again on new timeline. And I wonder if it's necessary since the callback is triggerred regularly, if the process exits because of reaching the end of the timeline, next callback will naturally start the process on the next timeline.

Also there is a serious problem, the process doesn't end when I stop pgmoneta by pressing `ctrl+c`. It seems that SIGINT is not propagating to this child process. I'm not very familiar with how signals are handled in pgmoneta, so I could really use your help here.",False,140,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/140,https://github.com/pgmoneta/pgmoneta/pull/140,closed,549,49,5,1,11,0,1,1,[{'name': 'feature'}],2023-07-30 21:51:08+00:00,2023-08-04 13:04:54+00:00,400426.0,"4 days, 15:13:46",[],"[{'commit_sha': 'bbd690ebeee0e0311b5dc49bccf74074b4c04437', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
1455275850,[#139] Native receivewal solution,"Hi @jesperpedersen, this is only an initial version of our receivewal solution. I pushed it because I could use some advice before going further. This solution works beautifully and smoothly as I tested locally, I think. Our stream buffer adapts really well, it automatically expands itself just enough to suit the larger xlog messages. I also dealt with cases like server sends data across segment boundary. And it exits on server shutdown or connection close. I also started a server on the received xlogs and everything seems to be normal.

By ""initial"" I mean it doesn't have the ability to deal with older timelines yet. If server sends CommandComplete for reaching the end of timeline, the while loop will simply break instead of starting again on new timeline. And I wonder if it's necessary since the callback is triggerred regularly, if the process exits because of reaching the end of the timeline, next callback will naturally start the process on the next timeline.

Also there is a serious problem, the process doesn't end when I stop pgmoneta by pressing `ctrl+c`. It seems that SIGINT is not propagating to this child process. I'm not very familiar with how signals are handled in pgmoneta, so I could really use your help here.",False,140,https://api.github.com/repos/pgmoneta/pgmoneta/pulls/140,https://github.com/pgmoneta/pgmoneta/pull/140,closed,549,49,5,1,11,0,1,1,[{'name': 'feature'}],2023-07-30 21:51:08+00:00,2023-08-04 13:04:54+00:00,400426.0,"4 days, 15:13:46",[],"[{'commit_sha': 'bbd690ebeee0e0311b5dc49bccf74074b4c04437', 'committer_username': 'Jubilee101', 'committer_name': 'Haoran Zhang', 'committer_email': None, 'commit_date': datetime.datetime(2021, 9, 1, 16, 17, 46, tzinfo=datetime.timezone.utc)}]",Haoran Zhang,89931362,,User,,33,,13,17
