pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
475795410,Suggestions,"These code changes are made as part of GSoC 2020. This Pull Request contains changes made to Nominatim UI in order to provide suggestions to Nominatim DB.

The repository [nominatim-indexing](https://github.com/krahulreddy/nominatim-indexing) can be used to set up suggestions. This repository explains how to set up suggestions and how to use a hug API to create an endpoint to access these suggestions.

Once the elasticsearch indexing is complete, You can use the nominatim-ui to access these suggestions.

The following important things are to be set up in order for the suggestions to be accessible:

- In `dist/config.js`, Suggestions_Url needs to be updated with the url of your suggestions end point.
- The languages and other important name tags need to be updated on `dist/assets/js/suggest.js`.

The same changes mentioned here can be used to set up suggestions on any website. Few things like icon links need to be changed in `suggest.js`.

File changes description:

- `config.example.js`: Added the suggestions endpoint as one of the parameters.
- `search.html`: search bar now uses suggest.js to provide suggestions.
- `suggest.js`: Makes the network calls on input and fetches the results. This script is responsible for providing suggestions.
- `suggest.css`: Few classes used to display the suggestions as an Unordered list with icons.",False,32,https://api.github.com/repos/osm-search/nominatim-ui/pulls/32,https://github.com/osm-search/nominatim-ui/pull/32,open,178,2,4,15,0,0,0,0,[],2020-08-29 16:02:51+00:00,,0.0,,[],"[{'commit_sha': 'f0b64affbd5133b451b528b18c1928b7ef8346b2', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cf692c16d80fad31b51b0b530db4475cbf63cb76', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '23bb669214121e1564c0629e93649f07b50ef1c8', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8c398b10c3874b10b86e8a87e8d77be1ad7c4328', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8da0e588600ca8a2e012126880e71860f54b3e58', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b3c68f6bf4c88c4756572a071172c0bf7f289109', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7ef39c731da49668bc9dc660796e2eef05fa8bf1', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3ef98fce059896267b60fff5aad7c572796af6d3', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ba5491a587d3aa44c7986cfbcb30497f614da4e1', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b319ee93eb77a4716c46046a2cd22eea9010f24f', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6e6e86cf8a88a2c2735a53e2b9294106fbf77efc', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4f5eb9d44a1bee55ecd53dd3e1b7eb065c61a838', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1bd08acb282efb45583a4186a992358950677d68', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a3e04a17ce4b44d2b954276bf8ff7e4b7abd5024', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c5f512abc6fcc997b795678e8a3f74459d2d155f', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15
475795410,Suggestions,"These code changes are made as part of GSoC 2020. This Pull Request contains changes made to Nominatim UI in order to provide suggestions to Nominatim DB.

The repository [nominatim-indexing](https://github.com/krahulreddy/nominatim-indexing) can be used to set up suggestions. This repository explains how to set up suggestions and how to use a hug API to create an endpoint to access these suggestions.

Once the elasticsearch indexing is complete, You can use the nominatim-ui to access these suggestions.

The following important things are to be set up in order for the suggestions to be accessible:

- In `dist/config.js`, Suggestions_Url needs to be updated with the url of your suggestions end point.
- The languages and other important name tags need to be updated on `dist/assets/js/suggest.js`.

The same changes mentioned here can be used to set up suggestions on any website. Few things like icon links need to be changed in `suggest.js`.

File changes description:

- `config.example.js`: Added the suggestions endpoint as one of the parameters.
- `search.html`: search bar now uses suggest.js to provide suggestions.
- `suggest.js`: Makes the network calls on input and fetches the results. This script is responsible for providing suggestions.
- `suggest.css`: Few classes used to display the suggestions as an Unordered list with icons.",False,32,https://api.github.com/repos/osm-search/nominatim-ui/pulls/32,https://github.com/osm-search/nominatim-ui/pull/32,open,178,2,4,15,0,0,0,0,[],2020-08-29 16:02:51+00:00,,0.0,,[],"[{'commit_sha': 'f0b64affbd5133b451b528b18c1928b7ef8346b2', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cf692c16d80fad31b51b0b530db4475cbf63cb76', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '23bb669214121e1564c0629e93649f07b50ef1c8', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8c398b10c3874b10b86e8a87e8d77be1ad7c4328', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8da0e588600ca8a2e012126880e71860f54b3e58', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b3c68f6bf4c88c4756572a071172c0bf7f289109', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7ef39c731da49668bc9dc660796e2eef05fa8bf1', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3ef98fce059896267b60fff5aad7c572796af6d3', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ba5491a587d3aa44c7986cfbcb30497f614da4e1', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b319ee93eb77a4716c46046a2cd22eea9010f24f', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6e6e86cf8a88a2c2735a53e2b9294106fbf77efc', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4f5eb9d44a1bee55ecd53dd3e1b7eb065c61a838', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1bd08acb282efb45583a4186a992358950677d68', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a3e04a17ce4b44d2b954276bf8ff7e4b7abd5024', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c5f512abc6fcc997b795678e8a3f74459d2d155f', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15
392062906,"Added same mapping for ""е"" ""Е"" ""ё"" ""Ё"" characters","For issue #886:

Updated the utfasciitable such that ""ё"" & ""Ё"" are mapped same as ""е"" & ""Е"".",False,1714,https://api.github.com/repos/osm-search/Nominatim/pulls/1714,https://github.com/osm-search/Nominatim/pull/1714,closed,1,1,1,1,1,0,0,0,[],2020-03-22 20:08:14+00:00,2020-11-06 09:49:52+00:00,19748498.0,"228 days, 13:41:38",[],"[{'commit_sha': '31a755142e6575c8a05b74692cca1fdca4e308e0', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15
405569894,Fix documentation links,Found links in the documentation that did not work. Updated them with working links.,True,1760,https://api.github.com/repos/osm-search/Nominatim/pulls/1760,https://github.com/osm-search/Nominatim/pull/1760,closed,2,2,2,2,1,0,0,0,[],2020-04-18 22:33:26+00:00,2020-04-18 22:42:25+00:00,539.0,0:08:59,[],"[{'commit_sha': '9fa934a6a08c46c35f10963fb350681d535a56e5', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '86a204a13d7c3f649a873977d8cc5168ba1f0c3a', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15
403716972,Advanced installations,"For issue #1683:

* Added script to import multiple country extracts.
* Added script to update database setup using the above script.
* Added 'Advanced Installations' documentation. ",True,1758,https://api.github.com/repos/osm-search/Nominatim/pulls/1758,https://github.com/osm-search/Nominatim/pull/1758,closed,283,3,5,3,2,3,0,0,[],2020-04-15 12:01:17+00:00,2020-04-22 07:59:44+00:00,590307.0,"6 days, 19:58:27","[{'comment_id': 410023518, 'comment_body': 'be -> by', 'comment_created': datetime.datetime(2020, 4, 17, 6, 47, 44, tzinfo=datetime.timezone.utc), 'commenter': 'lonvia', 'type': 'User'}, {'comment_id': 410031870, 'comment_body': 'Just replace the paragraph above with your new one.', 'comment_created': datetime.datetime(2020, 4, 17, 7, 7, 38, tzinfo=datetime.timezone.utc), 'commenter': 'lonvia', 'type': 'User'}, {'comment_id': 410032662, 'comment_body': 'You probably should add a quick note in the documentation that osmium-tool is needed and where to get it from.', 'comment_created': datetime.datetime(2020, 4, 17, 7, 9, 11, tzinfo=datetime.timezone.utc), 'commenter': 'lonvia', 'type': 'User'}]","[{'commit_sha': '08e273c0c7ebcbb7f8e4c512c58b22da1bac95b7', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '42f86329a994955e10e25deb1932dd085564771d', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '5c56ea31984fe043bc0efe73e616017cbabfc909', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15
433779165,Added setup-website option,"For issue #946:

This is a replacement for PR [1802](https://github.com/osm-search/Nominatim/pull/1802) and acts as the first step in moving to dotenv files.

**Changes implemented:**
* `utils/setup.php --setup-website` now sets up build/settings/settings-frontend.php.
* settings-frontend.php is used by website/*.php files. The website will be usable only after executing the above step.

PS: `rOutputFile` is a resource type variable. Hence, the prefix. 

",True,1829,https://api.github.com/repos/osm-search/Nominatim/pulls/1829,https://github.com/osm-search/Nominatim/pull/1829,closed,64,4,5,5,2,0,0,0,[],2020-06-12 16:28:45+00:00,2020-07-01 16:11:51+00:00,1640586.0,"18 days, 23:43:06",[],"[{'commit_sha': '6c406124dd416ec62fc2ce0a4d07d597d3ae53f3', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a175a25e6c0f5b1cec117f10d9f7c258ee5fea62', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '95d2dd74ad61feb0e3ac9581558700e519eb5432', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': '37f0b51dffa90b09d36b598f773571fdfec787fa', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a3201be7e77d910501d036bb18e54d2caa232016', 'committer_username': 'krahulreddy', 'committer_name': 'K Rahul Reddy', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 13, 42, 10, tzinfo=datetime.timezone.utc)}]",K Rahul Reddy,31247036,,User,,34,,15,15

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
123471732,nominatim-ui,osm-search/nominatim-ui,Svelte,31,74,8,11,369,11,4,2,"[{'id': 475795410, 'number': 32, 'closed': None, 'created': datetime.datetime(2020, 8, 29, 16, 2, 51, tzinfo=datetime.timezone.utc), 'time_taken': 0.0, 'time_delta': '', 'additions': 178, 'deletions': 2, 'state': 'open'}]"
3610486,Nominatim,osm-search/Nominatim,Python,712,3043,94,106,4821,97,27,5,"[{'id': 433779165, 'number': 1829, 'closed': datetime.datetime(2020, 7, 1, 16, 11, 51, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 6, 12, 16, 28, 45, tzinfo=datetime.timezone.utc), 'time_taken': 1640586.0, 'time_delta': '18 days, 23:43:06', 'additions': 64, 'deletions': 4, 'state': 'closed'}, {'id': 419667484, 'number': 1802, 'closed': datetime.datetime(2020, 7, 27, 14, 18, 6, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 5, 18, 18, 25, 23, tzinfo=datetime.timezone.utc), 'time_taken': 6033163.0, 'time_delta': '69 days, 19:52:43', 'additions': 128, 'deletions': 10, 'state': 'closed'}, {'id': 414186742, 'number': 1784, 'closed': datetime.datetime(2020, 5, 6, 19, 37, 30, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 5, 6, 15, 58, 49, tzinfo=datetime.timezone.utc), 'time_taken': 13121.0, 'time_delta': '3:38:41', 'additions': 0, 'deletions': 16, 'state': 'closed'}, {'id': 405569894, 'number': 1760, 'closed': datetime.datetime(2020, 4, 18, 22, 42, 25, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 4, 18, 22, 33, 26, tzinfo=datetime.timezone.utc), 'time_taken': 539.0, 'time_delta': '0:08:59', 'additions': 2, 'deletions': 2, 'state': 'closed'}, {'id': 403716972, 'number': 1758, 'closed': datetime.datetime(2020, 4, 22, 7, 59, 44, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 4, 15, 12, 1, 17, tzinfo=datetime.timezone.utc), 'time_taken': 590307.0, 'time_delta': '6 days, 19:58:27', 'additions': 283, 'deletions': 3, 'state': 'closed'}, {'id': 398276996, 'number': 1734, 'closed': datetime.datetime(2020, 4, 5, 21, 25, 50, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 4, 3, 16, 42, 43, tzinfo=datetime.timezone.utc), 'time_taken': 189787.0, 'time_delta': '2 days, 4:43:07', 'additions': 22, 'deletions': 14, 'state': 'closed'}, {'id': 397284146, 'number': 1733, 'closed': datetime.datetime(2020, 4, 3, 16, 1, 48, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 4, 1, 23, 41, 51, tzinfo=datetime.timezone.utc), 'time_taken': 145197.0, 'time_delta': '1 day, 16:19:57', 'additions': 21, 'deletions': 1, 'state': 'closed'}, {'id': 392062906, 'number': 1714, 'closed': datetime.datetime(2020, 11, 6, 9, 49, 52, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 3, 22, 20, 8, 14, tzinfo=datetime.timezone.utc), 'time_taken': 19748498.0, 'time_delta': '228 days, 13:41:38', 'additions': 1, 'deletions': 1, 'state': 'closed'}]"
