pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
998378679,feat(model): Add linearsvc agent,"## Description
Added a agent for [Linear Support vector machine](https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVC.html) model.

## Files

- **agents/linearsvc.py** (Python file to run linearsvc model)

## How to use
- Running **linearsvc** agent
    `atarashi -a linearsvc /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a linearsvc`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**


CC: @hastagAB @Kaushl2208 @GMishx @ag4ums @vasudevmaduri 
",False,102,https://api.github.com/repos/fossology/atarashi/pulls/102,https://github.com/fossology/atarashi/pull/102,open,103,4,7,1,4,0,3,0,"[{'name': 'enhancement'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-07-16 08:11:37+00:00,,0.0,,[],"[{'commit_sha': '0922a3fd8995addb7d14ee5c761451608bc7fafd', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
978220552,Feat(model): Add agent for logistic regression model,"## Description
Added a agent for logistic regression model.

## Files

- **agents/logisticRegression.py** (Python file to run logreg model)

## How to use
- Running **logisticRegression** agent
    `atarashi -a logisticRegression /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a logisticRegression`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**

![Screenshot from 2022-06-23 19-03-59](https://user-images.githubusercontent.com/76658675/175316583-14515fd1-d833-49a8-930e-077420e420d3.png)


CC: @Kaushl2208 @GMishx @hastagAB @ag4ums @vasudevmaduri 
",False,100,https://api.github.com/repos/fossology/atarashi/pulls/100,https://github.com/fossology/atarashi/pull/100,open,113,15,8,1,0,0,4,0,"[{'name': 'enhancement'}, {'name': 'Need review'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-06-24 11:17:45+00:00,,0.0,,[],"[{'commit_sha': '607d71552cef9f2154b09ebece776e018ee044e7', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
978220552,Feat(model): Add agent for logistic regression model,"## Description
Added a agent for logistic regression model.

## Files

- **agents/logisticRegression.py** (Python file to run logreg model)

## How to use
- Running **logisticRegression** agent
    `atarashi -a logisticRegression /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a logisticRegression`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**

![Screenshot from 2022-06-23 19-03-59](https://user-images.githubusercontent.com/76658675/175316583-14515fd1-d833-49a8-930e-077420e420d3.png)


CC: @Kaushl2208 @GMishx @hastagAB @ag4ums @vasudevmaduri 
",False,100,https://api.github.com/repos/fossology/atarashi/pulls/100,https://github.com/fossology/atarashi/pull/100,open,113,15,8,1,0,0,4,0,"[{'name': 'enhancement'}, {'name': 'Need review'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-06-24 11:17:45+00:00,,0.0,,[],"[{'commit_sha': '607d71552cef9f2154b09ebece776e018ee044e7', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
998378679,feat(model): Add linearsvc agent,"## Description
Added a agent for [Linear Support vector machine](https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVC.html) model.

## Files

- **agents/linearsvc.py** (Python file to run linearsvc model)

## How to use
- Running **linearsvc** agent
    `atarashi -a linearsvc /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a linearsvc`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**


CC: @hastagAB @Kaushl2208 @GMishx @ag4ums @vasudevmaduri 
",False,102,https://api.github.com/repos/fossology/atarashi/pulls/102,https://github.com/fossology/atarashi/pull/102,open,103,4,7,1,4,0,3,0,"[{'name': 'enhancement'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-07-16 08:11:37+00:00,,0.0,,[],"[{'commit_sha': '0922a3fd8995addb7d14ee5c761451608bc7fafd', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
995639183,feat(agent):Add okapibm25 agent,"## Description
Add a agent for [bm25Okapi](https://en.wikipedia.org/wiki/Okapi_BM25) agent.

## Files

- **agents/bm25.py** 

## How to use
- Running **bm25** agent
    `atarashi -a bm25 /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a bm25`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **62%**


CC: @Kaushl2208 @GMishx @hastagAB @ag4ums @vasudevmaduri 
",False,101,https://api.github.com/repos/fossology/atarashi/pulls/101,https://github.com/fossology/atarashi/pull/101,open,137,3,5,1,3,0,3,0,"[{'name': 'bug'}, {'name': 'enhancement'}, {'name': 'GSoC-22'}]",2022-07-13 15:20:34+00:00,,0.0,,[],"[{'commit_sha': 'd12249e3a379b4d0e39c476f6a116c4fe2b2442c', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
981259652,feat(package): Add model packages,"## Description
This pr is to add model training code and the python package code for logistic regression linear support vector machine model that has been created.

## File Structure
                     
                    ├── linearsvc
                    │   ├── LICENSE
                    │   ├── MANIFEST.in
                    │   ├── README.md
                    │   ├── setup.py
                    │   └── src
                    │       ├── linearsvc
                    │       │   ├── data
                    │       │   │   └── linearsvc
                    │       │   └── __init__.py
                    │       └── model_train.py
                    └── logreg
                        ├── LICENSE
                        ├── MANIFEST.in
                        ├── README.md
                        ├── setup.py
                        └── src
                            ├── logreg
                            │   ├── data
                            │   │   └── logreg
                            │   └── __init__.py
                            └── model_train.py

## How to train
For training the model run `python path/to/model_train.py`

## Notes
Test for the implemented model is done locally by creating the agents for logisticRegression and linearsvc on [atarashi](https://github.com/fossology/atarashi) and the accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%** for both models.


CC: @GMishx @Kaushl2208 @hastagAB @ag4ums @vasudevmaduri 
",False,5,https://api.github.com/repos/fossology/Minerva-Dataset-Generation/pulls/5,https://github.com/fossology/Minerva-Dataset-Generation/pull/5,open,380,0,14,2,0,17,0,0,[],2022-06-28 11:08:51+00:00,,0.0,,"[{'comment_id': 912362638, 'comment_body': 'Just an idea came to my mind. Can we try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25) in place of TF-IDF and see if there are any improvements? This will also help us compare the two for the license domain.', 'comment_created': datetime.datetime(2022, 7, 2, 13, 23, 10, tzinfo=datetime.timezone.utc), 'commenter': 'GMishx', 'type': 'User'}, {'comment_id': 913513998, 'comment_body': 'Ya sure, I will try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25).', 'comment_created': datetime.datetime(2022, 7, 5, 8, 13, 52, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 913515823, 'comment_body': 'For now I have modified the code as suggested and also added the package for linear support vector machine model.\r\n\r\nThanks:)', 'comment_created': datetime.datetime(2022, 7, 5, 8, 15, 46, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 914447356, 'comment_body': 'You can populate base_lists[] and license_texts[] in a single license_list loop. @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 6, 6, 7, 57, tzinfo=datetime.timezone.utc), 'commenter': 'hastagAB', 'type': 'User'}, {'comment_id': 915595121, 'comment_body': '@hastagAB  thanks for noticing it, I will just make the changes. ', 'comment_created': datetime.datetime(2022, 7, 7, 8, 18, 33, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916461345, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 4, 52, 29, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467396, 'comment_body': '```suggestion\r\n    Y_train = train_data.short_name\r\n```\r\n\r\nor lower caps the  X_train  as well :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 2, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467477, 'comment_body': 'Same here, The X_train and Y_train uniformity', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 10, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468853, 'comment_body': 'Same issue @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 8, 5, 12, 43, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468938, 'comment_body': 'Here too :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 1, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916469018, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 15, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916571528, 'comment_body': 'Done with the suggested change', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 19, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572058, 'comment_body': 'Done @Kaushl2208  bhaiya', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 56, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572318, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 12, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572481, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 24, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572628, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 35, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572786, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 47, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}]","[{'commit_sha': '23017748f89b7ff43656e9d34d12833449d5e81c', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}, {'commit_sha': '00f460f6df3904f3ede16db06bdbf1cb7e9c6228', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
978220552,Feat(model): Add agent for logistic regression model,"## Description
Added a agent for logistic regression model.

## Files

- **agents/logisticRegression.py** (Python file to run logreg model)

## How to use
- Running **logisticRegression** agent
    `atarashi -a logisticRegression /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a logisticRegression`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**

![Screenshot from 2022-06-23 19-03-59](https://user-images.githubusercontent.com/76658675/175316583-14515fd1-d833-49a8-930e-077420e420d3.png)


CC: @Kaushl2208 @GMishx @hastagAB @ag4ums @vasudevmaduri 
",False,100,https://api.github.com/repos/fossology/atarashi/pulls/100,https://github.com/fossology/atarashi/pull/100,open,113,15,8,1,0,0,4,0,"[{'name': 'enhancement'}, {'name': 'Need review'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-06-24 11:17:45+00:00,,0.0,,[],"[{'commit_sha': '607d71552cef9f2154b09ebece776e018ee044e7', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
981259652,feat(package): Add model packages,"## Description
This pr is to add model training code and the python package code for logistic regression linear support vector machine model that has been created.

## File Structure
                     
                    ├── linearsvc
                    │   ├── LICENSE
                    │   ├── MANIFEST.in
                    │   ├── README.md
                    │   ├── setup.py
                    │   └── src
                    │       ├── linearsvc
                    │       │   ├── data
                    │       │   │   └── linearsvc
                    │       │   └── __init__.py
                    │       └── model_train.py
                    └── logreg
                        ├── LICENSE
                        ├── MANIFEST.in
                        ├── README.md
                        ├── setup.py
                        └── src
                            ├── logreg
                            │   ├── data
                            │   │   └── logreg
                            │   └── __init__.py
                            └── model_train.py

## How to train
For training the model run `python path/to/model_train.py`

## Notes
Test for the implemented model is done locally by creating the agents for logisticRegression and linearsvc on [atarashi](https://github.com/fossology/atarashi) and the accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%** for both models.


CC: @GMishx @Kaushl2208 @hastagAB @ag4ums @vasudevmaduri 
",False,5,https://api.github.com/repos/fossology/Minerva-Dataset-Generation/pulls/5,https://github.com/fossology/Minerva-Dataset-Generation/pull/5,open,380,0,14,2,0,17,0,0,[],2022-06-28 11:08:51+00:00,,0.0,,"[{'comment_id': 912362638, 'comment_body': 'Just an idea came to my mind. Can we try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25) in place of TF-IDF and see if there are any improvements? This will also help us compare the two for the license domain.', 'comment_created': datetime.datetime(2022, 7, 2, 13, 23, 10, tzinfo=datetime.timezone.utc), 'commenter': 'GMishx', 'type': 'User'}, {'comment_id': 913513998, 'comment_body': 'Ya sure, I will try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25).', 'comment_created': datetime.datetime(2022, 7, 5, 8, 13, 52, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 913515823, 'comment_body': 'For now I have modified the code as suggested and also added the package for linear support vector machine model.\r\n\r\nThanks:)', 'comment_created': datetime.datetime(2022, 7, 5, 8, 15, 46, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 914447356, 'comment_body': 'You can populate base_lists[] and license_texts[] in a single license_list loop. @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 6, 6, 7, 57, tzinfo=datetime.timezone.utc), 'commenter': 'hastagAB', 'type': 'User'}, {'comment_id': 915595121, 'comment_body': '@hastagAB  thanks for noticing it, I will just make the changes. ', 'comment_created': datetime.datetime(2022, 7, 7, 8, 18, 33, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916461345, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 4, 52, 29, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467396, 'comment_body': '```suggestion\r\n    Y_train = train_data.short_name\r\n```\r\n\r\nor lower caps the  X_train  as well :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 2, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467477, 'comment_body': 'Same here, The X_train and Y_train uniformity', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 10, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468853, 'comment_body': 'Same issue @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 8, 5, 12, 43, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468938, 'comment_body': 'Here too :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 1, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916469018, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 15, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916571528, 'comment_body': 'Done with the suggested change', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 19, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572058, 'comment_body': 'Done @Kaushl2208  bhaiya', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 56, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572318, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 12, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572481, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 24, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572628, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 35, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572786, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 47, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}]","[{'commit_sha': '23017748f89b7ff43656e9d34d12833449d5e81c', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}, {'commit_sha': '00f460f6df3904f3ede16db06bdbf1cb7e9c6228', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
998378679,feat(model): Add linearsvc agent,"## Description
Added a agent for [Linear Support vector machine](https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVC.html) model.

## Files

- **agents/linearsvc.py** (Python file to run linearsvc model)

## How to use
- Running **linearsvc** agent
    `atarashi -a linearsvc /path/to/file.c`

- Checking accuracy using **evaluator.py**
    `python3 path/to/evaluator.py -a linearsvc`

## Accuracy
The accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%**


CC: @hastagAB @Kaushl2208 @GMishx @ag4ums @vasudevmaduri 
",False,102,https://api.github.com/repos/fossology/atarashi/pulls/102,https://github.com/fossology/atarashi/pull/102,open,103,4,7,1,4,0,3,0,"[{'name': 'enhancement'}, {'name': 'need test'}, {'name': 'GSoC-22'}]",2022-07-16 08:11:37+00:00,,0.0,,[],"[{'commit_sha': '0922a3fd8995addb7d14ee5c761451608bc7fafd', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
981259652,feat(package): Add model packages,"## Description
This pr is to add model training code and the python package code for logistic regression linear support vector machine model that has been created.

## File Structure
                     
                    ├── linearsvc
                    │   ├── LICENSE
                    │   ├── MANIFEST.in
                    │   ├── README.md
                    │   ├── setup.py
                    │   └── src
                    │       ├── linearsvc
                    │       │   ├── data
                    │       │   │   └── linearsvc
                    │       │   └── __init__.py
                    │       └── model_train.py
                    └── logreg
                        ├── LICENSE
                        ├── MANIFEST.in
                        ├── README.md
                        ├── setup.py
                        └── src
                            ├── logreg
                            │   ├── data
                            │   │   └── logreg
                            │   └── __init__.py
                            └── model_train.py

## How to train
For training the model run `python path/to/model_train.py`

## Notes
Test for the implemented model is done locally by creating the agents for logisticRegression and linearsvc on [atarashi](https://github.com/fossology/atarashi) and the accuracy score that has been tested using [evaluator.py](https://github.com/fossology/atarashi/blob/master/atarashi/evaluator/evaluator.py) is **63%** for both models.


CC: @GMishx @Kaushl2208 @hastagAB @ag4ums @vasudevmaduri 
",False,5,https://api.github.com/repos/fossology/Minerva-Dataset-Generation/pulls/5,https://github.com/fossology/Minerva-Dataset-Generation/pull/5,open,380,0,14,2,0,17,0,0,[],2022-06-28 11:08:51+00:00,,0.0,,"[{'comment_id': 912362638, 'comment_body': 'Just an idea came to my mind. Can we try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25) in place of TF-IDF and see if there are any improvements? This will also help us compare the two for the license domain.', 'comment_created': datetime.datetime(2022, 7, 2, 13, 23, 10, tzinfo=datetime.timezone.utc), 'commenter': 'GMishx', 'type': 'User'}, {'comment_id': 913513998, 'comment_body': 'Ya sure, I will try using [BM25](https://en.wikipedia.org/wiki/Okapi_BM25).', 'comment_created': datetime.datetime(2022, 7, 5, 8, 13, 52, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 913515823, 'comment_body': 'For now I have modified the code as suggested and also added the package for linear support vector machine model.\r\n\r\nThanks:)', 'comment_created': datetime.datetime(2022, 7, 5, 8, 15, 46, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 914447356, 'comment_body': 'You can populate base_lists[] and license_texts[] in a single license_list loop. @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 6, 6, 7, 57, tzinfo=datetime.timezone.utc), 'commenter': 'hastagAB', 'type': 'User'}, {'comment_id': 915595121, 'comment_body': '@hastagAB  thanks for noticing it, I will just make the changes. ', 'comment_created': datetime.datetime(2022, 7, 7, 8, 18, 33, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916461345, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 4, 52, 29, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467396, 'comment_body': '```suggestion\r\n    Y_train = train_data.short_name\r\n```\r\n\r\nor lower caps the  X_train  as well :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 2, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916467477, 'comment_body': 'Same here, The X_train and Y_train uniformity', 'comment_created': datetime.datetime(2022, 7, 8, 5, 9, 10, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468853, 'comment_body': 'Same issue @its-sushant ', 'comment_created': datetime.datetime(2022, 7, 8, 5, 12, 43, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916468938, 'comment_body': 'Here too :)', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 1, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916469018, 'comment_body': '```suggestion\r\n    print(""Model training has started!"")\r\n```', 'comment_created': datetime.datetime(2022, 7, 8, 5, 13, 15, tzinfo=datetime.timezone.utc), 'commenter': 'Kaushl2208', 'type': 'User'}, {'comment_id': 916571528, 'comment_body': 'Done with the suggested change', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 19, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572058, 'comment_body': 'Done @Kaushl2208  bhaiya', 'comment_created': datetime.datetime(2022, 7, 8, 8, 10, 56, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572318, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 12, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572481, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 24, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572628, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 35, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}, {'comment_id': 916572786, 'comment_body': 'Done', 'comment_created': datetime.datetime(2022, 7, 8, 8, 11, 47, tzinfo=datetime.timezone.utc), 'commenter': 'its-sushant', 'type': 'User'}]","[{'commit_sha': '23017748f89b7ff43656e9d34d12833449d5e81c', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}, {'commit_sha': '00f460f6df3904f3ede16db06bdbf1cb7e9c6228', 'committer_username': 'its-sushant', 'committer_name': 'Sushant Kumar', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 27, 16, 45, 26, tzinfo=datetime.timezone.utc)}]",Sushant Kumar,76658675,,User,,51,,18,9
