pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
682643178,Feature: structured template,"This will close #7, also add a draft API for license matching",True,18,https://api.github.com/repos/m1kit/yalm-python/pulls/18,https://github.com/m1kit/yalm-python/pull/18,closed,791,32747,529,17,6,0,1,0,[{'name': 'awaiting review'}],2021-07-02 13:46:53+00:00,2021-08-04 07:45:39+00:00,2829526.0,"32 days, 17:58:46",[],"[{'commit_sha': 'ad72157942c86d9b6ff246da78fff1fb867fd080', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a973da55a68513b40fbefdbe62293ca05910e6c2', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '535826a582cdb3cd21a53fcb3eebff0b287b8219', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '00e745ee99f09309817ecbfe3fd63db8d0ad6a78', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1415406020e6379450a1520161ea0c9282424e1a', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '10543e0359530f99f399acac885360170b82f1d8', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '33ea53b2ebae98849f6b4520849b2995f5cc5aa4', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ce58eedf2039428fbfce30bc02a21a6e7610056d', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8ca24e84e7a9cedfec8472fb2e6cb0a692ed6d13', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9657a0081297888e4126538e273f6eaf9a4a7412', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f285ff57485bcb139a8bfeb80dc249076e2fc46b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '96d54bb77a61a9472d703fc57d9b66f40b3e95ed', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0d9685a206d5b2e3a7d61e2a2ef861f7c4feb6cd', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8934e0dc79df65746d2b0424682dea0240adb11f', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0c2726490b58291ab4fce28121fe2de2a56f2a6f', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0aa84558a4b9442b752e83ec2c2ed5a58eca5af8', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '93966f8aa0f24e5c639c5e1ffda3141258ca2a71', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
682643178,Feature: structured template,"This will close #7, also add a draft API for license matching",True,18,https://api.github.com/repos/m1kit/yalm-python/pulls/18,https://github.com/m1kit/yalm-python/pull/18,closed,791,32747,529,17,6,0,1,0,[{'name': 'awaiting review'}],2021-07-02 13:46:53+00:00,2021-08-04 07:45:39+00:00,2829526.0,"32 days, 17:58:46",[],"[{'commit_sha': 'ad72157942c86d9b6ff246da78fff1fb867fd080', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a973da55a68513b40fbefdbe62293ca05910e6c2', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '535826a582cdb3cd21a53fcb3eebff0b287b8219', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '00e745ee99f09309817ecbfe3fd63db8d0ad6a78', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1415406020e6379450a1520161ea0c9282424e1a', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '10543e0359530f99f399acac885360170b82f1d8', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '33ea53b2ebae98849f6b4520849b2995f5cc5aa4', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ce58eedf2039428fbfce30bc02a21a6e7610056d', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8ca24e84e7a9cedfec8472fb2e6cb0a692ed6d13', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9657a0081297888e4126538e273f6eaf9a4a7412', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f285ff57485bcb139a8bfeb80dc249076e2fc46b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '96d54bb77a61a9472d703fc57d9b66f40b3e95ed', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0d9685a206d5b2e3a7d61e2a2ef861f7c4feb6cd', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8934e0dc79df65746d2b0424682dea0240adb11f', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0c2726490b58291ab4fce28121fe2de2a56f2a6f', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0aa84558a4b9442b752e83ec2c2ed5a58eca5af8', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '93966f8aa0f24e5c639c5e1ffda3141258ca2a71', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
705930638,Set up testing,"Close #11, and #17 (if possible)",True,22,https://api.github.com/repos/m1kit/yalm-python/pulls/22,https://github.com/m1kit/yalm-python/pull/22,closed,184,322,20,11,1,0,0,0,[],2021-08-07 18:44:37+00:00,2021-08-11 14:48:51+00:00,331454.0,"3 days, 20:04:14",[],"[{'commit_sha': '5378bbd47efa850734f70f7e6ef8869d8138dfb8', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '59a0e874fbc974286a559717b948c873c31c6f95', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '08149b4e61b5826b1982d64b8496d37784549cb3', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4b1a4b115706ca538b254d41b042503097bc498b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0f9bbae443055219aca565f6234ed96060c94ded', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6256e28d5b62da33dd453b15a0ea5de122b17f1e', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '644e7e9becf9a0d570372ca287572c21a7ad601b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9872564ccfbe7a5213004124916c23c4d6e024f3', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd9a6275461bf90dd4084348d0e94aafc0bb0b4f1', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8d029d2f759f1cf8464de2f729e74191d6022709', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '95e55ebe280afe367cc912bf85e4bb9c7db5f3e0', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
712775282,Support multiprocessing/timeout,"as titled

This fixes #26, #12",True,28,https://api.github.com/repos/m1kit/yalm-python/pulls/28,https://github.com/m1kit/yalm-python/pull/28,closed,164,11,5,4,13,0,1,0,[{'name': 'awaiting review'}],2021-08-14 13:05:45+00:00,2021-08-15 06:07:16+00:00,61291.0,17:01:31,[],"[{'commit_sha': 'bd178a17f94fc7ce39f6fbd96a274567eced775c', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '05b7332cc1a5c41d367f03b766be8511524333bf', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0742ec0f35f11903e55da68d0b0e9e759196213e', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f6eae31679e76461ef42e6e49e0c0b1239990a93', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
651067806,Refactor 0522,,True,6,https://api.github.com/repos/m1kit/yalm-python/pulls/6,https://github.com/m1kit/yalm-python/pull/6,closed,353,490,18,3,1,0,0,0,[],2021-05-24 07:09:46+00:00,2021-05-24 07:10:20+00:00,34.0,0:00:34,[],"[{'commit_sha': '93d02574f3c02e22c27e4625d132c6ff56ad2f00', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '515a9ff791cf91c0d76daf5a8693e56d88f7a09e', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '81012fe47c3e7c9fbca2e8ae89a4e81dd861dd6b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
711317637,Normalize spaces around var tags,This fixes #23 ,True,25,https://api.github.com/repos/m1kit/yalm-python/pulls/25,https://github.com/m1kit/yalm-python/pull/25,closed,10,10,4,5,5,0,2,0,"[{'name': 'awaiting review'}, {'name': 'enhancement/accuracy'}]",2021-08-12 17:40:18+00:00,2021-08-21 15:15:41+00:00,768923.0,"8 days, 21:35:23",[],"[{'commit_sha': '225f3a093c4e86579785360c63efc804fb2cb9ad', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '96180043de4d1ed0af4e6ab9b6310642331555dc', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': '503e91214569d79b82aca84a06c60fdb1fac8132', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a51ff15e46168811a9331663a530e2783252411b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a7929502441bf7e464ed765b2cd1125e07a92d8b', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6
712782075,Limit number of max repetitions in regexes,This fixes #27 ,True,29,https://api.github.com/repos/m1kit/yalm-python/pulls/29,https://github.com/m1kit/yalm-python/pull/29,closed,27,0,1,1,0,0,0,0,[],2021-08-14 14:01:10+00:00,2021-08-14 14:40:29+00:00,2359.0,0:39:19,[],"[{'commit_sha': '7c88e7d9935fc6efd5b29bb157eb4ea382a0ef8c', 'committer_username': 'm1kit', 'committer_name': 'mikit', 'committer_email': None, 'commit_date': datetime.datetime(2018, 3, 17, 22, 32, 45, tzinfo=datetime.timezone.utc)}]",mikit,37488201,,User,,61,,5,6

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
368483921,yalm-python,m1kit/yalm-python,Python,0,2,4,2,135,8,5,0,"[{'id': 712782075, 'number': 29, 'closed': datetime.datetime(2021, 8, 14, 14, 40, 29, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 14, 14, 1, 10, tzinfo=datetime.timezone.utc), 'time_taken': 2359.0, 'time_delta': '0:39:19', 'additions': 27, 'deletions': 0, 'state': 'closed'}, {'id': 712775282, 'number': 28, 'closed': datetime.datetime(2021, 8, 15, 6, 7, 16, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 14, 13, 5, 45, tzinfo=datetime.timezone.utc), 'time_taken': 61291.0, 'time_delta': '17:01:31', 'additions': 164, 'deletions': 11, 'state': 'closed'}, {'id': 711317637, 'number': 25, 'closed': datetime.datetime(2021, 8, 21, 15, 15, 41, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 12, 17, 40, 18, tzinfo=datetime.timezone.utc), 'time_taken': 768923.0, 'time_delta': '8 days, 21:35:23', 'additions': 10, 'deletions': 10, 'state': 'closed'}, {'id': 705930638, 'number': 22, 'closed': datetime.datetime(2021, 8, 11, 14, 48, 51, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 7, 18, 44, 37, tzinfo=datetime.timezone.utc), 'time_taken': 331454.0, 'time_delta': '3 days, 20:04:14', 'additions': 184, 'deletions': 322, 'state': 'closed'}, {'id': 703743082, 'number': 21, 'closed': datetime.datetime(2021, 8, 8, 5, 50, 6, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 4, 17, 9, 59, tzinfo=datetime.timezone.utc), 'time_taken': 304807.0, 'time_delta': '3 days, 12:40:07', 'additions': 245, 'deletions': 150, 'state': 'closed'}, {'id': 682643178, 'number': 18, 'closed': datetime.datetime(2021, 8, 4, 7, 45, 39, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 7, 2, 13, 46, 53, tzinfo=datetime.timezone.utc), 'time_taken': 2829526.0, 'time_delta': '32 days, 17:58:46', 'additions': 791, 'deletions': 32747, 'state': 'closed'}, {'id': 651067806, 'number': 6, 'closed': datetime.datetime(2021, 5, 24, 7, 10, 20, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 5, 24, 7, 9, 46, tzinfo=datetime.timezone.utc), 'time_taken': 34.0, 'time_delta': '0:00:34', 'additions': 353, 'deletions': 490, 'state': 'closed'}]"
