pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1479028316,Array type support in Web query handler,"Fixes some previous errors regarding handling of arrays in web query handler.

Also, allows users to submit array in the input and which is handled properly during output.

PTAL
",True,15,https://api.github.com/repos/metabrainz/data-set-hoster/pulls/15,https://github.com/metabrainz/data-set-hoster/pull/15,closed,36,10,2,1,0,0,0,0,[],2023-08-17 13:14:23+00:00,2023-08-19 20:26:11+00:00,198708.0,"2 days, 7:11:48",[],"[{'commit_sha': 'aaaddebd68e7cba101f9e2c04280d9427e5264ad', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1470479237,Queries to be used in dropdown for similar results,"This branch contains commits from pydantic support PR, since the [PR](https://github.com/metabrainz/data-set-hoster/pull/12) was not merged and these changes follow it, I had to create this conflicting PR.

Description about the changes - 
Changes will allow to have a dropdown to the right of each of the artist_mbids, the dropdown should have one item for each type of query on the dataset hoster that accepts artist_mbid as an argument. If the user selects that item a new browser tab opens and that query is run. If there is another argument like  algorithm which was also present in the current query use the same value to start the new query. Thus, allowing to see the similar results.

More details can be found over [here](https://tickets.metabrainz.org/browse/LB-1249).",True,14,https://api.github.com/repos/metabrainz/data-set-hoster/pulls/14,https://github.com/metabrainz/data-set-hoster/pull/14,closed,238,59,5,1,0,0,0,0,[],2023-08-10 14:42:33+00:00,2023-08-10 17:43:58+00:00,10885.0,3:01:25,[],"[{'commit_sha': '4d38b9ddaf6aac5240d00447e24b195f4cbd7796', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1407602232,Pydantic support in query inputs outputs,"Add the changes for Pydantic support to be added in input output queries.

PTAL!",False,12,https://api.github.com/repos/metabrainz/data-set-hoster/pulls/12,https://github.com/metabrainz/data-set-hoster/pull/12,closed,187,176,9,6,1,0,0,0,[],2023-06-26 09:58:45+00:00,2023-08-10 17:37:37+00:00,3915532.0,"45 days, 7:38:52",[],"[{'commit_sha': '4e083a44e652e3c548e567820628aa651339428e', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9df6da863f9832574c1e5c49a78135da3054dbde', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6483f370b0966588730b9d786a0c09ad6ad9dd5b', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '474ed42ff3f1c7f2b409a4b36ebbe756087d26a5', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '136319ee7b4b8e076608f73f04d024c5d6e206b1', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cf16ceb7975cf42b7ce760b92e80f5b521a46b82', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1285844738,Strip space from args,"Strips the argument values in convert_http_args_to_json

Fixes error https://labs.api.listenbrainz.org/artist-country-code-from-artist-mbid?artist_mbid=+ada7a83c-e3e1-40f1-93f9-3e73dbc9298a

Added unit test as well

PTAL",True,9,https://api.github.com/repos/metabrainz/data-set-hoster/pulls/9,https://github.com/metabrainz/data-set-hoster/pull/9,closed,32,13,3,3,0,0,0,0,[],2023-03-22 13:17:24+00:00,2023-03-23 10:06:09+00:00,74925.0,20:48:45,[],"[{'commit_sha': '7e0fc9e15ee9f982d4c8c3ec0a2dfe44919ee7bd', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd42a2835880dd91c9a9b70316291f5c69c474deb', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '71d273a5f199347877f0183bed28f7d63fb079cc', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1456700143,LB Labs recording similarity: Dynamic selection of options,"Changes required for choosing dynamic selection of options.
Also, Linked to PR - [#12](https://github.com/metabrainz/data-set-hoster/pull/12)",True,2533,https://api.github.com/repos/metabrainz/listenbrainz-server/pulls/2533,https://github.com/metabrainz/listenbrainz-server/pull/2533,closed,32,2,1,1,1,1,0,0,[],2023-07-31 17:10:31+00:00,2023-09-20 08:00:43+00:00,4373412.0,"50 days, 14:50:12","[{'comment_id': 1299350178, 'comment_body': ""We should probably cache this query's result in redis with a TTL of an hour or so."", 'comment_created': datetime.datetime(2023, 8, 20, 10, 14, 43, tzinfo=datetime.timezone.utc), 'commenter': 'amCap1712', 'type': 'User'}]","[{'commit_sha': 'caecb3608ab2d6f802ee21c2e61041cdc0bb42c5', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1426042096,Migrate all labs api to have Pydantic support,"Migrating labs API to have Pydantic model supports

These changes are part of improvements to be made in data set hostler repository. Since these API's use the structure from the repository mentioned, compatibility is required.

Theses changes are followed up from the [issue](https://tickets.metabrainz.org/projects/LB/issues/LB-1243?filter=allopenissues)  and [pr](https://github.com/metabrainz/data-set-hoster/pull/12)




",True,2522,https://api.github.com/repos/metabrainz/listenbrainz-server/pulls/2522,https://github.com/metabrainz/listenbrainz-server/pull/2522,closed,370,176,19,6,5,0,0,0,[],2023-07-08 19:13:23+00:00,2023-09-20 07:53:42+00:00,6352819.0,"73 days, 12:40:19",[],"[{'commit_sha': '4ef9eb0be9590765ea11aa8e52264050b942e40c', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ed53d781774a37dc0a1ca314a75a8ceb281f6bbb', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '651672a3722c9bbca87fd338e8ec3e84692c24d8', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': '31462050263ece8152bdd55954bc4f78b2f260b5', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e41f3b664f3d299fd7e017a5773874f955451436', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': '64c408a121c7858a6eaa49a646574b1342dfdd8b', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0
1426042096,Migrate all labs api to have Pydantic support,"Migrating labs API to have Pydantic model supports

These changes are part of improvements to be made in data set hostler repository. Since these API's use the structure from the repository mentioned, compatibility is required.

Theses changes are followed up from the [issue](https://tickets.metabrainz.org/projects/LB/issues/LB-1243?filter=allopenissues)  and [pr](https://github.com/metabrainz/data-set-hoster/pull/12)




",True,2522,https://api.github.com/repos/metabrainz/listenbrainz-server/pulls/2522,https://github.com/metabrainz/listenbrainz-server/pull/2522,closed,370,176,19,6,5,0,0,0,[],2023-07-08 19:13:23+00:00,2023-09-20 07:53:42+00:00,6352819.0,"73 days, 12:40:19",[],"[{'commit_sha': '4ef9eb0be9590765ea11aa8e52264050b942e40c', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ed53d781774a37dc0a1ca314a75a8ceb281f6bbb', 'committer_username': 'VishalFTW', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 6, 4, 19, 24, 15, tzinfo=datetime.timezone.utc)}, {'commit_sha': '651672a3722c9bbca87fd338e8ec3e84692c24d8', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': '31462050263ece8152bdd55954bc4f78b2f260b5', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e41f3b664f3d299fd7e017a5773874f955451436', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}, {'commit_sha': '64c408a121c7858a6eaa49a646574b1342dfdd8b', 'committer_username': 'amCap1712', 'committer_name': 'Kartik Ohri', 'committer_email': 'kartikohri13@gmail.com', 'commit_date': datetime.datetime(2017, 4, 19, 2, 7, 5, tzinfo=datetime.timezone.utc)}]",,51382781,,User,,2,,1,0

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
268379881,data-set-hoster,metabrainz/data-set-hoster,Python,1,4,8,5,144,0,9,0,"[{'id': 1479028316, 'number': 15, 'closed': datetime.datetime(2023, 8, 19, 20, 26, 11, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2023, 8, 17, 13, 14, 23, tzinfo=datetime.timezone.utc), 'time_taken': 198708.0, 'time_delta': '2 days, 7:11:48', 'additions': 36, 'deletions': 10, 'state': 'closed'}, {'id': 1470479237, 'number': 14, 'closed': datetime.datetime(2023, 8, 10, 17, 43, 58, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2023, 8, 10, 14, 42, 33, tzinfo=datetime.timezone.utc), 'time_taken': 10885.0, 'time_delta': '3:01:25', 'additions': 238, 'deletions': 59, 'state': 'closed'}, {'id': 1407602232, 'number': 12, 'closed': datetime.datetime(2023, 8, 10, 17, 37, 37, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2023, 6, 26, 9, 58, 45, tzinfo=datetime.timezone.utc), 'time_taken': 3915532.0, 'time_delta': '45 days, 7:38:52', 'additions': 187, 'deletions': 176, 'state': 'closed'}, {'id': 1285844738, 'number': 9, 'closed': datetime.datetime(2023, 3, 23, 10, 6, 9, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2023, 3, 22, 13, 17, 24, tzinfo=datetime.timezone.utc), 'time_taken': 74925.0, 'time_delta': '20:48:45', 'additions': 32, 'deletions': 13, 'state': 'closed'}]"
