Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Upgrading the source code for the EEG-Notebook Experiment Library ,Conducting Cognitive Neuroscience Experiments has always been limited to research-grade EEG devices that cost tens of thousands of dollars. Since the..., Parv , Mentor  John Griffiths , Organization  INCF ,/archive/2022/projects/2baQ46dm,https://github.com/Parvfect/GSOC-eeg-notebooks
2, Pgexporter: Custom file ,"Pgexporter is a Prometheus exporter for PostgreSQL. In this project, we add the option to have a custom query file to specify the queries run against...", Donglin Xie ," Mentor  Jesper Pedersen, Athila Mattos, Nikita Bugrovsky ", Organization  PostgreSQL ,/archive/2022/projects/yQk3Qapd,https://github.com/pgexporter/pgexporter/discussions/36
3, Improving the Weaviate CLI ,"Weaviate CLI offers very limited functionalities. Even though there are various other options to interact with a Weaviate instance, we cannot simple...", Aryan Narayan ," Mentor  Saurabh Rai, Stefan, sebawita ", Organization  Weaviate ,/archive/2022/projects/Ln5K8yFb,https://github.com/semi-technologies/weaviate-cli/pull/60
4, Adding features to Thunar file manager ,"Thunar is a light-weight file manager under the XFCE project, written in C and GTK3. While functional and fast, it lacks some useful features present...", Pratyaksh Gautam , Mentor  Alexander Schwinn , Organization  Xfce ,/archive/2022/projects/kGgLYNra,https://gitlab.xfce.org/xfce/thunar/-/merge_requests?scope=all&state=all&author_username=hi-im-buggy&search=%5BGSoC+22%5D
5, First Year Student on Parallelised Flows ,The project idea is creating parallel working and reusable flows by using Node-Red's subflow-workflow features. This project requires a lot of..., Berke , Mentor  George Kousiouris , Organization  Open Technologies Alliance - GFOSS ,/archive/2022/projects/mr5vN7K5,https://flows.nodered.org/user/Fahrenheit3
6," Packaging & Testing Metacall for MacOSX, Windows, NixOS users ","Tests for the Nix Metacall package will be written, the Nix package will have more precise dependencies , documentation and a CI/CD with Docker shall...", Lahfa Samy ," Mentor  Gil Arasa Verge, fervagar ", Organization  MetaCall ,/archive/2022/projects/HlYxwIwX,https://github.com/metacall/gsoc-2022/blob/main/submission/akechishiro.md
7, Improving the AOSSIE Scholar Extension ,"The project proposal aims at enhancing and upgrading the features and functionalities of the extension. However, some of the new issues came across...", Subhangi Choudhary , Mentor  Aditya Bisoi , Organization  AOSSIE ,/archive/2022/projects/tfWkLOvU,https://subhangichoudhary.medium.com/gsoc2022-with-aossie-organization-e5f4050454dc
8, Enhancing Avogadro for Biomolecular Modeling ,"Last year there was some work regarding Avogadro's usability as a tool for bioinformatics. My proposal is working along the same line, giving...", Aritz Erkiaga , Mentor  Geoffrey Hutchison , Organization  Open Chemistry ,/archive/2022/projects/oPDlDO6e,https://aerkiaga.github.io/gsoc2022
9, Exploration of open datasets on the IHR website ,"The audience of IHR largely consists of researchers, network operators, policymakers, and educators. The goal of the proposal is to make the IHR’s...", Aniket ," Mentor  Romain, Malte Tashiro ", Organization  Internet Health Report ,/archive/2022/projects/LsZRqWCY,https://aniketpal.notion.site/Working-with-IHR-in-GSoC-2022-ea8b0f2e8ed94cb086ac9653604f2737
10, Add linear regression functions ,"MariaDB is a fork of MySQL that was created by the community. Currently, MariaDB has some aggregation functions like min and max. However, it lacks...", Weijun Huang , Mentor  Vicențiu-Marian Ciorbaru , Organization  MariaDB ,/archive/2022/projects/bNj9kMRL,https://weijun-h.github.io/tags/gsoc/
11," Add sta, hostap and adhoc mode to wtap wlan simulator ","Wtap is a dummy wifi driver, which can be used to test wireless protocol stack and userland applications. Wtap introduces the following things: - A...", EN-WEI WU ," Mentor  Li-Wen Hsu, Bjoern A. Zeeb ", Organization  The FreeBSD Project ,/archive/2022/projects/dco9wAqD,https://wiki.freebsd.org/SummerOfCode2022Projects/AddStaHostapAndAdhocModeToWtapWlanSimulator
12, Font Selection Improvements ,"The “Font Selection Improvement” project aims to simplify the selection, and customization of fonts under the Text and Font dialog, reduce the time...", Vaibhav Malik , Mentor  Tav , Organization  Inkscape ,/archive/2022/projects/PrGVjiXp,https://vaibhavmalik.hashnode.dev/gsoc-2022-font-selection-improvements
13, Rebuild OpenMRS Cohort Builder ,The Cohort Builder is a tool in OpenMRS 1.0 in the Reporting Compatibility module (included with most OpenMRS installations) that lets the user..., Anjula Samarasinghe ," Mentor  Jayasanka Weerasinghe, Brandon Istenes ", Organization  OpenMRS ,/archive/2022/projects/8EksU68Y,https://anjulashanaka.medium.com/gsoc-2022-rebuild-openmrs-cohort-builder-final-evaluation-64b093b68a61
14, Implement IPv4 to IPv6 address synthesis (RFC6052) to utilize the NAT64 on a IPv6 only network. ,"Implement IPv4 to IPv6 address synthesis (RFC6052), and Pref64://n discovery using domain name ""ipv4only.arpa."" (RFC7050) so packets will utilise the...", Momoka ," Mentor  Kenichi Ishibashi, Takashi Toyoshima ", Organization  Chromium ,/archive/2022/projects/SvPKQKTx,https://momoka0122y.hatenablog.com/entry/2022/09/12/024202
15, Pitivi: Port UI to GTK4 ,"The scope is the entire Pitivi UI. It is using the GTK widget toolkit version 3 which needs to be updated to GTK 4 for better compatibility,...", Aryan Kaushik ," Mentor  Alex Băluț, Yatin ", Organization  GNOME Foundation ,/archive/2022/projects/CynkIQvi,https://www.aryank.in/posts/2022-09-11-pitivi-gsoc-final-report/
16, Deep Learning for OWASP Maryam's NLP operations ,"Implementing deep neural networks for Natural Language Processing (NLP) operations (clustering, topic extraction, and relevant search) on OWASP...", Hatma Suryotrisongko , Mentor  Saeed Dehqan , Organization  OWASP Foundation ,/archive/2022/projects/ofbauTrx,https://gist.github.com/keamanansiber/fb87f236ebd231bb2b8293f427dea85a
17, Optimizing Garbage Collection for Ruby Ractors ,"Ruby 3 introduced Ractors, which allow true concurrency in the language. However, Ruby's stop-the-world Garbage Collector (GC) pauses all of the...", Rohit Menon , Mentor  Koichi Sasada , Organization  Ruby ,/archive/2022/projects/id53bY9z,https://gist.github.com/rm155/cf4ec2a07ea1cfa4e06b7b6470bd5c9b
18, Enhancing basic viewers in CGAL ,Visualization is an important aspect of computer graphics because it’s useful to visualize the result of an algorithm and help to debug errors in..., Mostafa Ashraf Mohamed , Mentor  Guillaume Damiand , Organization  CGAL Project ,/archive/2022/projects/sOB0N89A,https://github.com/CGAL/cgal/pull/6921
