Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Evaluation Infrastructure Optimization ,"This project aims to enhance EvalAI's functionalities by automating large worker deployments in AWS, adding relevant features for efficient challenge...", Ayush Rathore ," Mentor  Gunjan Chhablani, Rahul-Singh, Gautam Jajoo ", Organization  CloudCV ,/archive/2023/projects/0s3XeybO,https://medium.com/@ayushr1/google-summer-of-code-2023-with-cloudcv-a2c1afd152ba
2, Node preview in the shader editor ,The node previews in the shader editor had been removed when Eevee replaced the Internal render engine. This project ’s aim is to bring it back...., Colin Marmond , Mentor  Brecht Van Lommel , Organization  Blender Foundation ,/archive/2023/projects/XE2KH2vE,https://wiki.blender.org/wiki/User:ColinMarmond/GSoC_2023/Final_Report
3, Porting SeqToSeq and DTNN Model to PyTorch ,"PyTorch is becoming increasingly popular as the preferred backend for developing algorithms, thanks to its sustainability. DeepChem has decided to...", Rakshit Kumar Singh ," Mentor  Tony Davis, SPS ", Organization  Open Chemistry ,/archive/2023/projects/Pu8up6x4,https://forum.deepchem.io/t/gsoc-23-porting-dtnn-and-seqtoseq-model-to-pytorch-report/1013
4, Integrate references into ChromeStatus.com ,"ChromeStatus.com is a web application developed by Google to track feature launches in Blink, the browser engine that powers Chrome and many other...", Pingren Nie ," Mentor  Jason Robbins, Stephen, James Scott ", Organization  Chromium ,/archive/2023/projects/Zs47D7ZH,https://github.com/GoogleChrome/chromium-dashboard/issues?q=author%3Apingren
5, Semantic search in video datasets ,I propose to create a semantic multimodal search engine for collections of transcribed and aligned videos using state-of-the-art artificial..., Dhruv Kunjadiya , Mentor  Raúl Sánchez , Organization  Red Hen Lab ,/archive/2023/projects/2p2PgKDn,https://github.com/Dhruv454000/Semantic-search-in-video-datasets
6, STEAM Celestial Satellite tracker in real time ,This project represents the orbit of a satellite orbiting earth on an Arduino-controlled pointer and a Liquid Galaxy rig through a mobile..., Krishna Agrawal ," Mentor  Andreuibanez, Otávio Oliveira ", Organization  Liquid Galaxy project ,/archive/2023/projects/f6b4xoXN,https://gist.github.com/savitore/e26c444d907df5e8f6008150e8a6ff1e
7, Add a Print this component to O3 ,"While the Open Medical Record System (OpenMRS)'s major objective is to store and retrieve electronic medical records in the developing world, in some...", Deb ," Mentor  Hadijah Kyampeire, Dennis Kigen ", Organization  OpenMRS ,/archive/2023/projects/y9jgifwW,https://medium.com/@kalungi2k6/the-print-feature-google-summer-of-code-2023-project-final-report-a604c26db327
8, Automate listing of members of technical steering committee ,The goal of this GSOC program is to automate the processes around project governance. This project aims to automate maintaining the Maintainers.yaml..., 14Richa ," Mentor  Lukasz Gornicki, acethecreator, Saurav K ", Organization  Postman ,/archive/2023/projects/YOu23jKE,https://14richa.github.io/2023-08-25/reflection-gsoc
9, ShenYu Gsoc2023 - shenyu-ingress-controller ,shenyu-ingress-controller is an important step for Apache ShenYu to integrate into the cloud native ecosystem. This time gsoc roughly needs to..., Kunshuai Zhu ," Mentor  Yu Xiao, daming ", Organization  Apache Software Foundation ,/archive/2023/projects/RiNlevG8,https://gist.github.com/JooKS-me/387ed3d2edba5bf427282df84125b2a0
10, Debug information handling improvements ,"The proposal outlines a project to improve the debug information handling in Rizin, an open-source reverse engineering framework. The project aims to...", billow ," Mentor  Anton Kochkov, Deroad, ret2libc ", Organization  Rizin ,/archive/2023/projects/JGpphQHN,https://github.com/rizinorg/rizin/pull/3703
11," Agora Vote Android: A Comprehensive Update with Jetpack Compose, CI/CD, and Result Visualization ",The goal of this proposal is to enhance the Agora Vote Android application by implementing a modern and intuitive user interface using Jetpack..., Narendra Singh Anjana ," Mentor  Bruno, Abhishek Agarwal, hackeramitkumar, Abanda Ludovic ", Organization  AOSSIE ,/archive/2023/projects/Asib4udm,https://github.com/AOSSIE-Org/Agora-Android/tree/gsoc-2023
12, Integrating Apple Music with ListenBrainz ,"By linking their Apple Music account with ListenBrainz, individuals are able to use ListenBrainz to play their music selections. The integration into...", vscode , Mentor  Shatabarto , Organization  MetaBrainz Foundation Inc ,/archive/2023/projects/oUbUrDhV,https://blog.metabrainz.org/2023/08/28/integration-of-apple-music-with-listenbrainz/
13, Migrate mv2 samples to mv3 and increase API coverage ,"Manifest V3 is the latest version of Chrome extensions, which focuses on security, privacy, and performance. The goal of this project is to upgrade...", Xuezhou Dai ," Mentor  Pallavi, Oliver Dunk, Ali Spivak ", Organization  Chromium ,/archive/2023/projects/JUcx6aBB,https://docs.google.com/document/d/1mppRm9Av3pACXb3u_P8CT55glObxcMf7foleJyZXzT4
14, Admin: Improved People and Newsfeed Management ,"In the Talawa Admin Newsfeed functionality ( for eg: CRUD operations ) are not implemented yet for the Talawa API, Talawa Admin. Along with it the...", Aashima Wadhwa ," Mentor  Dominic Mills, Tyrone Taylor, CyberWake, Tonythegr8 ", Organization  The Palisadoes Foundation ,/archive/2023/projects/a4jcWmYH,https://gist.github.com/aashimawadhwa/a0659228c380ff567f56299624a2804e
15, Grotrian Diagram Visualisation ,"TARDIS generates synthetic observations of stellar explosions that can be compared to real observations. With such comparisons, we can learn more...", Ayushi Daksh ," Mentor  afloers, Sona Chitchyan, Jaladh Singhal, Mark Magee, Aoife, James Gillanders, Harshul Gupta, Yuki Matsumura, Eva Laplace, Jing Lu ", Organization  TARDIS RT Collaboration ,/archive/2023/projects/HxymUMRe,https://docs.google.com/document/d/1zDZcunshy0eAD7W11okAVryDAjYNBQPggi_OiRVZ2_8/edit?usp=sharing
16, Proposal for selecting tests to run on gerrit patches based on machine learning ,LibreOffice is a large and complex office software and has an extensive CI system to ensure that new patches do not introduce bugs. A lot of unit..., Baole Fang ," Mentor  Thorsten, stragu, cloph ", Organization  LibreOffice ,/archive/2023/projects/TRuGywNg,https://github.com/baolef/libreoffice-ci
17, Decentralized vulnerability data peer-review ,"Software packages vulnerabilities : let's say we have a security team that wants to track new vulnerabilities in the open source software packages ,...", ziad hany ," Mentor  Philippe Ombredanne, Keshav Priyadarshi, TG1999 ", Organization  AboutCode ,/archive/2023/projects/KJcxgoj5,https://medium.com/@ziadhany2016/gsoc-2023-work-report-gsoc-again-431cf5b9436a
18, Monitoring for pgmoneta ,"In this project, we will expand metrics to help users observe the running status of pgmoneta and each server at any time. Additionally, a large...", Zhengshun Lin , Mentor  Jesper Pedersen , Organization  PostgreSQL ,/archive/2023/projects/eSPk3WGm,https://github.com/pgmoneta/pgmoneta/issues/133
19, Modernization of the conda-forge.org website ,The project aims to modernize the conda-forge website by redesigning the landing page and creating a style guide for other conda-forge’s web-based..., Asmit Malakannawar , Mentor  jaimergp , Organization  NumFOCUS ,/archive/2023/projects/5mhdEKMI,https://dev.to/asmitbm/google-summer-of-code-2023-with-conda-forge-12c4
20, Accessibility Improvement for Uyuni ,"The goal of this project is to analyze, track, document and solve accessibility issues in Uyuni, thereby increasing the accessibility support of...", Odetayo Rachael ," Mentor  Marina Latini, cbbayburt ", Organization  openSUSE Project ,/archive/2023/projects/J3FwSdEr,https://rakielle.hashnode.dev/gsoc-2023-final-report
21, Automatically Compute Moments of Inertia for SDFormat Links ,"Physically plausible inertial parameters like the mass, center of mass, moments of inertia etc. are required for an accurate simulation. Since...", Jasmeet Singh ," Mentor  Addisu Taddese, Dharini Dutia ", Organization  Open Robotics ,/archive/2023/projects/KCQn6Rm8,https://github.com/jasmeet0915/GSoC23-OpenRobotics
22, Implementing an out-of-band identity verification system for Kanidm ,"As of now, Kanidm doesn't provide a way to allow two users to mutually authenticate each other. I would like to design and implement such feature,...", Sebastiano Tocci , Mentor  William Brown , Organization  openSUSE Project ,/archive/2023/projects/fifdSblc,https://gist.github.com/Seba-T/8852d396e5d0e589512a844dcda13db0
23, MCnet/LHAPDF - Test Suite and Coverage for Parton Density Calculations ,The LHAPDF C++ library plays a crucial role in the Large Hadron Collider (LHC) programme by providing it with Parton Distribution Function (PDF) data..., Arjun  Taneja , Mentor  agbuckley , Organization  CERN-HSF ,/archive/2023/projects/v2AxsuIT,https://gitlab.com/hepcedar/lhapdf/-/merge_requests?scope=all&state=all&author_username=ArjunBoi
24, Efficient app-based measurement of visual functions in infants and young children ,The measurement of visual function in infants and young children is crucial for early detection and treatment of eye conditions that can lead to..., Soham Mulye ," Mentor  Suresh, Arvind Chandna, Yohaï-Eliel BERREBY, Floris van Vugt ", Organization  INCF ,/archive/2023/projects/NNz2NNsS,https://github.com/Shazam213/automated-preferential-looking#apl-automated-preferential-looking
25, Improve Security Auditing in Uyuni by Incorporating OVAL Data ,"In today's world, security is a major concern for any organization. With the increasing number of vulnerabilities and attacks, it is important to...", Houssem Nasri ," Mentor  Abid Mehmood, Pascal Arlt ", Organization  openSUSE Project ,/archive/2023/projects/laqWGv1Q,https://gist.github.com/HoussemNasri/023088c1831b534e5acca5195e35d5f3
26, Convert Writer's Java UNO API Tests to C++ ,The objective of this project is to convert Writer’s Java UNO API tests to C++. Unit testing is a software testing method by which individual units..., Dipam Turkar ," Mentor  Tomaž Vajngerl, Xisco ", Organization  LibreOffice ,/archive/2023/projects/co1Noz8V,https://gerrit.libreoffice.org/q/anfanite396+tests+-status:abandoned
27, Learning from Imbalanced Data with Julia ,The objective of this project is to implement a class imbalance package in Julia with algorithms to correct for class imbalance. The package is..., Essam Wisam , Mentor  Anthony Blaom , Organization  The Julia Language ,/archive/2023/projects/izAL3OYY,https://forem.julialang.org/essamwisam/class-imbalance-in-julia-3jek
28, GSoC 2023 Project Idea 2.2 Generalize parameter optimization routines ,"The Human Neocortical Neurosolver (HNN) is open-source, computational neural modeling software that allows us to examine the cellular- and...", Carolina Fernandez ," Mentor  Nicholas Tolley, Stephanie Jones, Mainak Jas, R Thorpe ", Organization  INCF ,/archive/2023/projects/6L4I0twl,https://github.com/jonescompneurolab/hnn-core/pull/652
29, Equivariant Quantum Neural Networks for Continuous Symmetry in High Energy Physics ,This project aims to explore the development and application of equivariant quantum neural networks (EQNNs) for continuous symmetry in high-energy..., Cosmos Dong ," Mentor  Konstantin Matchev, Katia Matcheva, Rui Zhang ", Organization  Machine Learning for Science (ML4SCI) ,/archive/2023/projects/Pzd5EZBm,https://medium.com/@zhontiandong/equivariant-quantum-neural-networks-be4ba231c457
30, Arm CCA Support for Unikraft ,"This project aims to add Arm Arm Confidential Computing Architecture (CCA) support to the Unikraft ecosystem, which is a step of “Unikraft as the...", Zhang Xingjian ," Mentor  Vlad Badoiu, Hugo Lefeuvre, Maria Sfîrăială, Răzvan Vîrtan, Michalis E. Pappas ", Organization  Unikraft ,/archive/2023/projects/5oKH0o5n,https://github.com/unikraft/gsoc/blob/staging/gsoc-2023/work-product/Xingjian-Zhang-Arm-CCA-Support/Xingjian-Zhang-Arm-CCA-Support.md
31, Add More Summarization Functions ,"The Mathesar Data Explorer enables an action called “Summarize” that let a user view a summary of their data, which is in fact an aggregation of some...", Aritra Majumder ," Mentor  Brent Moran, Sean Colsen ", Organization  Mathesar ,/archive/2023/projects/D9XvkQCN,https://aritra8438.github.io/gsoc-final-blog/
32, Support basic SensorThings API (STA) for istSOS ,"istSOS currently supports the Sensor Observation Service (SOS) standard, but to enhance its interoperability, we propose implementing some of the...", filippofinke ," Mentor  Maxi, danistrigaro ", Organization  OSGeo (Open Source Geospatial Foundation) ,/archive/2023/projects/wLDJ39zW,https://blog.filippofinke.ch/posts/final-report-gsoc/
33, Search page for the Internet Yellow Pages ,"The users of IHR fall under the category of students, educators, professionals, network operators, policymakers, and researchers. The goal of this...", Roopesh Saravanan ," Mentor  Romain, Malte Tashiro ", Organization  Internet Health Report ,/archive/2023/projects/jmLW9PFH,https://roopeshsn.com/bytes/gsoc-2023-final-report
34, Participatory design enhancements to NeoRoo app ,The NeoWarm swaddling device and NeoRoo mobile app have been developed to support Kangaroo Mother Care/Skin-to-Skin care for premature newborns and..., Donya Esawi ," Mentor  Dr. Sherri Bucher, Khushboo Chandnani ", Organization  LibreHealth ,/archive/2023/projects/GerzaD2s,https://gitlab.com/DoniaEsawi/lh-mhbs-neoroo
35, Google Summer of Code Community Hub ,"Every year, it is understandable that open-source organisations invest a significant amount of time and effort in preparing for GSoC. That's why the...", M. Palanikannan ," Mentor  Dnouv, Hugo Costa, DhruvJain ", Organization  rocket.chat ,/archive/2023/projects/pzAncbjU,https://github.com/RocketChat/GSoC-Community-Hub
36, eRPC : An efficient Relay Partition Checker ,"Within a Tor Network, there are different computers which we term as ""Relay"" which creates a circuit(path) in a Tor Network, so that the user can...", Rishad Baniya , Mentor  GeKo , Organization  The Tor Project ,/archive/2023/projects/1EXXf3b5,https://gitlab.torproject.org/rishadbaniya/erpc
37, Belle II Event Display with Phoenix ,"The proposed project aims to improve the accessibility and user experience of Belle II by developing a web application for event display. Currently,...", Hieu Le Cong Minh ," Mentor  Thomas Kuhr, Giacomo De Pietro ", Organization  CERN-HSF ,/archive/2023/projects/2WYpamvj,https://gist.github.com/HieuLCM/c69359336d4fe6138cecd872bd5f5540
38, pg_adviser / index_adviser: Recommend Potentially Useful Indexes ,The Index Adviser (pg_adviser) is an extension for PostgreSQL that suggests potentially useful indexes for given queries. This project aims to..., Ahmed Ibrahim ," Mentor  sfrost, Gurjeet S. ", Organization  PostgreSQL ,/archive/2023/projects/Uuis4lHV,https://gist.github.com/ahmedibrahim404/9f16d7b627ada377c6209368734c8dfb
39, Dubbo GSoC 2023 - Go Observability Improvement ,"I am proposing an improvement to the observability capabilities of Apache Dubbo-go, a Dubbo implementation written in Golang used to solve...", Guan Wang ," Mentor  Albumen Kevin, Jun, zhaoyunxing, HaoGuo, LiujieQin ", Organization  Apache Software Foundation ,/archive/2023/projects/FC5ucrIH,https://gist.github.com/ev1lQuark/7cb8c9fb32bc36fd73b70f0a2037656b
