ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
1, Revamp Netengine and add its SNMP capability to OpenWISP Monitoring ,This project aims to revamp the Netengine library making it compliant with the NetJSON Device Monitoring spec and integrating it in OpenWISP..., Purhan Kaushik ," Mentor  Gagan Deep (pandafy), Federico Capoano ", Organization  OpenWISP ,/archive/2021/projects/4921638495191040,https://medium.com/@purhan/gsoc-2021-final-project-report-85dc49c59a87,No,No,"This project aims to revamp the Netengine library making it compliant with the NetJSON Device Monitoring spec and integrating it in OpenWISP Monitoring to create an SNMP check that pulls information from devices to create monitoring charts.
New tests have to be written using mocks to simulate responses from real devices, and the entire codebase has to be ported to Python3.",[],[]
2, Adaptive Load Control and Distributed Load Testing of Envoy Data Planes ,Users configuring their Envoy-based data planes don't know how to find the optimal Envoy configuration given their workload's resiliency and..., Dhruv P , Mentor  leecalcote , Organization  CNCF ,/archive/2021/projects/4923784972206080,https://github.com/dhruv0000/GSoC2021/blob/main/README.md,No,Yes,"Users configuring their Envoy-based data planes don't know how to find the optimal Envoy configuration given their workload's resiliency and performance requirements.
Nighthawk, Envoy's load generator, supports adaptive load control and horizontally distributed scaling of itself.
Using distributed load testing and the creation of a set of adaptive load controllers, Envoy users can be empowered with repeatable tooling to automate identification of an optimal Envoy data plane configuration.","['https://github.com/meshery/meshery/pull/2989', 'https://github.com/meshery/meshery/pull/2999', 'https://github.com/meshery/meshery/pull/3652', 'https://github.com/meshery/meshery/pull/3181', 'https://github.com/meshery/meshery/pull/3748', 'https://github.com/meshery/meshery/pull/3753', 'https://github.com/meshery/meshery/pull/3927', 'https://github.com/meshery/meshery/pull/3775', 'https://github.com/meshery/meshery/pull/3741', 'https://github.com/meshery/meshery/pull/3505', 'https://github.com/meshery/meshery/pull/3528', 'https://github.com/meshery/meshery/pull/3263', 'https://github.com/meshery-extensions/meshery-kuma/pull/172', 'https://github.com/meshery-extensions/meshery-kuma/pull/176', 'https://github.com/meshery-extensions/meshery-osm/pull/98', 'https://github.com/meshery-extensions/meshery-traefik-mesh/pull/97', 'https://github.com/meshery-extensions/meshery-istio/pull/252', 'https://github.com/meshery/meshery/pull/3580', 'https://github.com/meshery/meshery/pull/3689', 'https://github.com/meshery/meshsync/pull/78', 'https://github.com/meshery/meshsync/pull/82', 'https://github.com/meshery/meshery/pull/3146', 'https://github.com/meshery/meshery/pull/3299', 'https://github.com/meshery/meshery/pull/3420', 'https://github.com/meshery/meshery/pull/3763', 'https://github.com/meshery/meshery/pull/3220', 'https://github.com/meshery/meshery/pull/3247', 'https://github.com/meshery/meshery/pull/3263', 'https://github.com/meshery/meshery/pull/3357', 'https://github.com/meshery/meshery/pull/3220', 'https://github.com/meshery/meshery/pull/3416', 'https://github.com/meshery/meshery/pull/3742', 'https://github.com/meshery/meshery/pull/3710']",[]
3, A Stitch In Time (saves nine) ,"This proposal tackles several smaller/simpler challenges of the HosTaGe application. It focusses on addressing Logging, API Key Maintenance and...", Filip Adamik ," Mentor  Shreyas Srinivasa, E. Vasilomanolakis ", Organization  The Honeynet Project ,/archive/2021/projects/4923980057673728,https://gist.github.com/zafodB/4ccc069531a120ceb26761c90a2b8bd2,Yes,Yes,"This proposal tackles several smaller/simpler challenges of the HosTaGe application. It focusses on addressing Logging, API Key Maintenance and improving integration with hte HPFeeds library. It further examines the GDPR implications and how a consent form can be included in the application.","['https://github.com/aau-network-security/HosTaGe/pull/169', 'https://github.com/aau-network-security/HosTaGe/pull/174', 'https://github.com/aau-network-security/HosTaGe/pull/202', 'https://github.com/aau-network-security/HosTaGe/pull/177', 'https://github.com/aau-network-security/HosTaGe/pull/203', 'https://github.com/aau-network-security/HosTaGe/pull/173', 'https://github.com/aau-network-security/HosTaGe/pull/190', 'https://github.com/aau-network-security/HosTaGe/pull/188', 'https://github.com/aau-network-security/HosTaGe/pull/204', 'https://github.com/aau-network-security/HosTaGe/pull/199', 'https://github.com/aau-network-security/HosTaGe/pull/201', 'https://github.com/aau-network-security/HosTaGe/pull/166', 'https://github.com/aau-network-security/HosTaGe/pull/168', 'https://github.com/aau-network-security/HosTaGe/pull/189', 'https://github.com/aau-network-security/HosTaGe/pull/159', 'https://github.com/aau-network-security/HosTaGe/pull/206', 'https://github.com/aau-network-security/HosTaGe/pull/198', 'https://github.com/aau-network-security/HosTaGe/pull/204', 'https://github.com/aau-network-security/HosTaGe/pull/207']",[]
4, Add pseudo-localization to better spot untranslated strings and unexpected layout changes caused by long strings ,The project aims at implementing support for pseudo-localization in Godot. Pseudo-localization is an important tool for internationalization. It..., Angad Kambli ," Mentor  Rémi Verschelde, Michael Alexsander ", Organization  Godot Engine ,/archive/2021/projects/4924604774088704,https://gist.github.com/angad-k/60a0d39882c5dff00e8b14183c96effb,No,Yes,"The project aims at implementing support for pseudo-localization in Godot. Pseudo-localization is an important tool for internationalization. It offers the developers a way to check if the project is internationalized properly without actually translating the project. For example, the wikipedia article on pseudo-localization gives an example on how pseudo-localization would translate Account Settings to  [!!! Àççôûñţ Šéţţîñĝš !!!]. Thus, Pseudo-localization involves replacing all characters in localizable strings by some special characters along with adding some constant padding to check whether the UI is robust enough to handle changes due to change in locales.","['https://github.com/godotengine/godot/pull/51395', 'https://github.com/godotengine/godot/pull/49361', 'https://github.com/godotengine/godot/pull/51404', 'https://github.com/godotengine/godot-docs/pull/5119', 'https://github.com/godotengine/godot-demo-projects/pull/637']",['https://github.com/godotengine/godot-proposals/issues/1844']
5, Gamified Knowledge Base Completion Plugin for Wikibase/Wikidata ,Creation of a Knowledge base completion Plugin for Wikibase/Wikidata and a badge service for Wikibase/Wikidata, Dhairya Khanna ," Mentor  Dennis Diefenbach, Aleksandr Perevalov, Andreas Both, Kunpeng GUO ", Organization  Wikimedia Foundation ,/archive/2021/projects/4925527655186432,https://github.com/Dhairya3124/Wikidata-Complete-Gadget/blob/main/FinalReport.md,No,Yes,Creation of a Knowledge base completion Plugin for Wikibase/Wikidata and a badge service for Wikibase/Wikidata,[],"['https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/9', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/28', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/10', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/14']"
6, Boost.Math: FFT Utilities ,"We propose the implementation of Fast Fourier Transform (FFT) capabilities
inside the Boost.Math library. This project answers the need for a C++...", Eduardo Quintana Miranda ," Mentor  Janek Kozicki, Christopher Kormanyos ", Organization  Boost C++ Libraries ,/archive/2021/projects/4927085990117376,https://github.com/BoostGSoC21/math-fft-report/releases/download/v1.1/gsoc-report.pdf,No,No,"We propose the implementation of Fast Fourier Transform (FFT) capabilities
inside the Boost.Math library. This project answers the need for a C++ library
of this sort, and the lack of FFT within Boost.Math.
Our main goal is to design a modern C++ template interface for FFT
that supports multiple types that satisfy the Ring Axioms and specialized
routines for complex numbers, which constitute the most used cases.",[],"['https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/9', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/28', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/10', 'https://github.com/Dhairya3124/Wikidata-Complete-Gadget/issues/14']"
7, Developing IntervalLinearAlgebra.jl ,The goal of this project is to implement the IntervalLinearAlgebra.jl package within the JuliaIntervals organisation and have the first release at..., Luca Ferranti , Mentor  David Sanders , Organization  The Julia Language ,/archive/2021/projects/4928206305492992,https://lucaferranti.github.io/posts/2021/08/gsoc_final_blog/,No,Yes,"The goal of this project is to implement the IntervalLinearAlgebra.jl package within the JuliaIntervals organisation and have the first release at the end of the programme. JuliaIntervals develops packages related to interval arithmetic, a mathematical framework to perform rigorous computations, treating all quantities as intervals and producing as output of computations an interval guaranteed to contain the true result. Traditional linear algebra routines, such as solving systems of polynomial equations or even just computing the cube of a matrix have been proved to be computationally challenging and designing efficient algorithms for interval matrix computations has been an active research question for a few decades. During this project, state-of-the-art algorithms for interval linear algebra will be reviewed and implemented. As linear algebra is central in practically all numerical applications, the successful completion of the project will allow to expand interval arithmetic methods also to other domains, such as reachability analysis, optimisation and differential equations solvers.","['https://github.com/JuliaIntervals/IntervalLinearAlgebra.jl/pulls?q=is%3Apr+is%3Aclosed', 'https://github.com/JuliaIntervals/IntervalLinearAlgebra.jl/pulls?q=is%3Aopen+is%3Apr', 'https://github.com/JuliaIntervals/IntervalArithmetic.jl/pull/461', 'https://github.com/JuliaIntervals/IntervalArithmetic.jl/pull/469', 'https://github.com/JuliaIntervals/IntervalContractors.jl/pull/49', 'https://github.com/JuliaIntervals/IntervalArithmetic.jl/pull/483', 'https://github.com/JuliaIntervals/IntervalLinearAlgebra.jl/pull/68', 'https://github.com/JuliaIntervals/IntervalLinearAlgebra.jl/pull/77']",['https://github.com/JuliaIntervals/IntervalArithmetic.jl/issues/465']
8, MCMC Chains improvements ,"In the last decades, Bayesian statistics has gained ground in the modelling of phenomena. Despite its advantages, to implement a Bayesian framework...", Paulina Martin ," Mentor  Hong Ge, Cameron Pfiffer ", Organization  The Julia Language ,/archive/2021/projects/4929311521374208,https://gist.github.com/PaulinaMartin96/034445da14e33d41157554670a58c194,No,No,"In the last decades, Bayesian statistics has gained ground in the modelling of phenomena. Despite its advantages, to implement a Bayesian framework is still difficult and restricted because the available literature on Bayesian statistics generally focuses on mathematical formalism and requires greater statistical expertise than some other methods. For this reason, any tool or resource that facilitates the understanding of Bayesian statistics and its mathematical background will be very useful. Turing.jl is a high-performance probabilistic programming bayesian inference language inside Julia ecosystem. Inside Turing lang, MCMCChains.jl represents an implementation of Julia types for analyzing, storing and summarizing MCMC simulations and uses utility functions for diagnostics and results visualizations. This project comprises various tasks to improve different aspects of MCMCChains.jl such as plotting functionality and storage of MCMC sampling to achieve better heuristics.",[],[]
9, Merge Crossplane/OAM-Runtime with KubeVela by specify version ,Open Application Model [OAM] is a runtime-agnostic specification for defining cloud native applications and enabling building app-centric platforms..., Yeshuai Cui , Mentor  Jianbo Sun , Organization  CNCF ,/archive/2021/projects/4932644952866816,https://docs.google.com/spreadsheets/d/13Upxx4Awq6ugue_jrw1yrddV7x5BF1FZBFe8geMppNA/edit#gid=0,No,Yes,"Open Application Model [OAM] is a runtime-agnostic specification for defining cloud native applications and enabling building app-centric platforms by default. KubeVela is a modern application engine that adapts to your application's needs, not the other way around. KubeVela is now an standard implementation of OAM.  The project is to merge OAM k8s runtime into it and make a difference on a program start option. The final goal is by completing this project, users are able to select any version they want to install.",[],[]
10, Channels Discovery ,"Currently, there are no social aspects to channels in Rocket.Chat servers. Many public channels aren't visible enough for the users to view and join....", Adithya Vardhan , Mentor  Martin Schoeler , Organization  Rocket.Chat ,/archive/2021/projects/4942661185699840,https://im-adithya.github.io/gsoc/,No,No,"Currently, there are no social aspects to channels in Rocket.Chat servers. Many public channels aren't visible enough for the users to view and join. To join a specific channel, they should either know its link or the exact name to search it in the Directory. Also, every single day Rocket.Chat servers have many people coming into their channels, and they are all lost. They do not realize the actual purpose of a channel. So, there can be a better way of letting the new users know what is going on within the server or even within a channel.
This project aims to solve the above issue by introducing a new feature called Discovery!",[],[]
