pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1287187846,Added CodeQL Workflow,"**Description:**

This PR adds CodeQL Workflow to the 3DMol.js Repo

Also fixes #660 

**More Info:** https://codeql.github.com/",True,659,https://api.github.com/repos/3dmol/3Dmol.js/pulls/659,https://github.com/3dmol/3Dmol.js/pull/659,closed,41,0,1,2,5,6,0,0,[],2023-03-23 10:53:34+00:00,2023-03-23 17:55:49+00:00,25335.0,7:02:15,"[{'comment_id': 1146057289, 'comment_body': 'missing a newline at the end! ;)', 'comment_created': datetime.datetime(2023, 3, 23, 11, 41, 30, tzinfo=datetime.timezone.utc), 'commenter': 'NicolasCARPi', 'type': 'User'}, {'comment_id': 1146130400, 'comment_body': 'Oops! My bad, thanks for pointing it out :)', 'comment_created': datetime.datetime(2023, 3, 23, 12, 41, 39, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1146171792, 'comment_body': '@NicolasCARPi Fixed it with the below commit :)', 'comment_created': datetime.datetime(2023, 3, 23, 13, 6, 58, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1146174293, 'comment_body': '@dkoes @NicolasCARPi This job is scheduled to run according to this Cron Schedule,\r\n\r\n<img width=""817"" alt=""Screenshot 2023-03-23 at 6 37 44 PM"" src=""https://user-images.githubusercontent.com/23498248/227213731-5c93e8b4-eda0-429e-b139-6a1a94080a6a.png"">\r\n', 'comment_created': datetime.datetime(2023, 3, 23, 13, 9, 4, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1146629965, 'comment_body': ""Why would you run this on a schedule? It makes sense on push or PR but I don't see how a schedule would be useful. If you're thinking of vulns, this is already automatically done by github."", 'comment_created': datetime.datetime(2023, 3, 23, 18, 12, 15, tzinfo=datetime.timezone.utc), 'commenter': 'NicolasCARPi', 'type': 'User'}, {'comment_id': 1150013478, 'comment_body': 'Hi @NicolasCARPi \r\nYes, it makes sense to remove the schedule trigger, I have removed it in the new PR #661 ', 'comment_created': datetime.datetime(2023, 3, 28, 4, 30, 2, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}]","[{'commit_sha': '9bc8e0c4978e4e220a646148940d5cca8c27e03e', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'a1f989e8e50350b18d2f0f3b280e423949a78a3a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1292319821,[Feat] - Added npm Caching Capability,"**Description:**

This PR Fixes #666 ",True,667,https://api.github.com/repos/3dmol/3Dmol.js/pulls/667,https://github.com/3dmol/3Dmol.js/pull/667,closed,38,8,3,2,1,1,0,0,[],2023-03-28 04:26:44+00:00,2023-03-28 11:22:51+00:00,24967.0,6:56:07,"[{'comment_id': 1150012956, 'comment_body': ""Removed Schedule wrt to @NicolasCARPi 's comment - https://github.com/3dmol/3Dmol.js/pull/659#discussion_r1146629965 "", 'comment_created': datetime.datetime(2023, 3, 28, 4, 28, 56, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}]","[{'commit_sha': '24427ade45c28a399915d2e44bd08b45099c87e4', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '4b7000502658220939f176f8387982e9719f89d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1297794254,[Feat] - Update Jest Tests,"**Description:**

This PR Updates Jest Tests to make it more readable, concise and with a pinch of optimisation if necessary :)",True,670,https://api.github.com/repos/3dmol/3Dmol.js/pulls/670,https://github.com/3dmol/3Dmol.js/pull/670,closed,1127,1347,4,13,2,0,0,0,[],2023-03-31 13:55:47+00:00,2023-04-20 16:31:01+00:00,1737314.0,"20 days, 2:35:14",[],"[{'commit_sha': '5aa7ad7f8b5f3741e6a402234a048abe49251a6b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '6572fae0f00703fd8de8f7ac38169cc05a5e51ee', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '2f393f9c00d18ebdca08c375aa4c51aafa2b4377', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'cf46f03fdf9ba281b53f238d7ce0534431f6aa1d', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3b57a0adffab0d67703d1ed6c94c63e8084f51b1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'f79409e7b6a91cbf046a48c55b2ee512e1d58d3f', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '276fe5e8a6fe9de72e6962b7134d1798066ce2ca', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'd98e77f07875e780f8bf15afdde4e9df76300641', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'da3414e8d908c792705c8d08b6cd00375fe0474b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3495f897272f1a420388d044de1cf1077b7079a8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'f3298fc8fa911a0bcb35c7eed4c2f9e25225b647', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'a144cec8a665ad289c042d47b27c957bef4e4f82', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '32a15193c6d5f73f0b68a4458d659b6619ea4763', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1321574169,[Bug] - Fixed Caching of NPM Dependencies,"**Description:**

The caching of npm dependencies was not working properly and upon going through the steps, found a couple of issues and fixed it with respect to this PR",True,675,https://api.github.com/repos/3dmol/3Dmol.js/pulls/675,https://github.com/3dmol/3Dmol.js/pull/675,closed,45,24,3,1,2,0,0,0,[],2023-04-20 14:04:30+00:00,2023-05-20 23:53:02+00:00,2627312.0,"30 days, 9:48:32",[],"[{'commit_sha': 'f5c2dedb10e194680c858bf932d902bd27caf447', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1358005470,[Feat] - Format & Lint .html Files,"**Description**:

This PR Formats and Lints the .HTML files across the repo to make it more readable and understandable",True,679,https://api.github.com/repos/3dmol/3Dmol.js/pulls/679,https://github.com/3dmol/3Dmol.js/pull/679,closed,1463,1359,20,6,1,9,0,0,[],2023-05-20 17:23:06+00:00,2023-05-20 23:51:36+00:00,23310.0,6:28:30,"[{'comment_id': 1199638349, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/162)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 13, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638350, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/163)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 13, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638351, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/164)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 13, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638352, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded using unencrypted connection.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/165)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 13, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638353, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded using unencrypted connection.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/166)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 13, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638355, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/167)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 14, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638356, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/168)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 14, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638357, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/169)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 14, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}, {'comment_id': 1199638358, 'comment_body': '## Inclusion of functionality from an untrusted source\n\nScript loaded from content delivery network with no integrity check.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/170)', 'comment_created': datetime.datetime(2023, 5, 20, 17, 28, 14, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}]","[{'commit_sha': 'ee18c574c0eccf5e69ccade3f76b3a0eff46b049', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '6af2494365e958e5911b45a269d81e0024e6d34f', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'a69d15d1ff8b4ce96eae6179411d9afcd29b6d62', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '326820201b23433c4cd2e106d98a8393478bee56', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3dda67b8fd7bde1cf1dbc57660b3b948e7580dca', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'c4bd8ce456f9cd96a9f3854bed97e41abb628134', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1358137095,[Feat] - Updated http links to https,"**Description:**

- This PR updates 3dmol links from http to https based links",True,680,https://api.github.com/repos/3dmol/3Dmol.js/pulls/680,https://github.com/3dmol/3Dmol.js/pull/680,closed,5,5,4,3,4,0,0,0,[],2023-05-21 07:43:01+00:00,2023-06-13 13:09:45+00:00,2006804.0,"23 days, 5:26:44",[],"[{'commit_sha': '50bdb229dc88b286651aad2eebeec4734865fe29', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '1afb153a2c95a9258ea09fadca4814df93b7b567', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '43bf4c0aa35cb1914d166653e9005c5f63986033', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1381215184,[Feat] - Increase Code Coverage,"**Description:**

- Wrote tests for colors.ts",False,683,https://api.github.com/repos/3dmol/3Dmol.js/pulls/683,https://github.com/3dmol/3Dmol.js/pull/683,closed,58,0,1,1,0,0,0,0,[],2023-06-06 17:09:21+00:00,2023-06-06 17:11:02+00:00,101.0,0:01:41,[],"[{'commit_sha': '855d7d160c4d4ba4abfc062f5c7f434a012030f9', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1389168632,[Bug] - Fixes Caching and CodeQL Workflows,"**Description:**

- PR Adds Caching of Workflows
- PR Fixes CodeQL Workflows",False,684,https://api.github.com/repos/3dmol/3Dmol.js/pulls/684,https://github.com/3dmol/3Dmol.js/pull/684,closed,32,13,3,2,5,0,0,0,[],2023-06-12 18:02:18+00:00,2023-06-13 17:18:47+00:00,83789.0,23:16:29,[],"[{'commit_sha': 'df3ec2a29edc6934cdcf7ccb116f1d9fb02ba1cd', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '1e17bb5ab35bcf4ca342a1f4d33759f67adfdf92', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1390905332,[Feat] - Changed Math.Sqrt Methods,"**Description:**

This PR changes,

  - `Math.sqrt(dx * dx + dy * dy)` to `Math.hypot(dx, dy)`
  - `Math.sqrt(dy * dy + dz * dz)` to `Math.hypot(dy, dz)`",True,686,https://api.github.com/repos/3dmol/3Dmol.js/pulls/686,https://github.com/3dmol/3Dmol.js/pull/686,closed,9,9,2,4,5,3,0,0,[],2023-06-13 15:53:06+00:00,2023-06-14 13:38:55+00:00,78349.0,21:45:49,"[{'comment_id': 1228537831, 'comment_body': ""why is this changed?  It doesn't calculate the same value and removes the guard against generating a NaN."", 'comment_created': datetime.datetime(2023, 6, 13, 18, 27, 18, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}, {'comment_id': 1228909178, 'comment_body': '@dkoes Does u,v accept negative values?', 'comment_created': datetime.datetime(2023, 6, 14, 2, 50, 31, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1228921027, 'comment_body': 'Why does that matter?', 'comment_created': datetime.datetime(2023, 6, 14, 3, 1, 23, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}]","[{'commit_sha': '903c69a705066abbaf720f299a2bbee8e5bd2705', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '632ef6070b07ada96f53e8685eb39c812ce9b6c2', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ad86289e6a2cba1e9177585f2a81bd165ba8407b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'af6a349bb017400417b094a58ddba8ec134ef907', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1391024309,[Feat] - Update Scripts & Workflows,"**Description:**

- This PR updates NPM Scripts
- Also, updates workflows to accommodate the change in scripts",True,687,https://api.github.com/repos/3dmol/3Dmol.js/pulls/687,https://github.com/3dmol/3Dmol.js/pull/687,closed,28,17,3,2,2,0,0,0,[],2023-06-13 17:13:06+00:00,2023-06-13 18:36:42+00:00,5016.0,1:23:36,[],"[{'commit_sha': '95477135851d3e7a8f57f704e9306d62d4f56fd3', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ca57e348aeb4f85ee44c9ae1a8407b121ba70c8c', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1391029600,[Feat] - Updated `.push()` to `Array.from()`,"**Description:**

- Updates some `for` loops which uses `.push()` to use `Array.from()`
- Why? 
    - Array.from() is much faster compared to .push() when used with for loops

More Info: https://measurethat.net/Benchmarks/Show/25686/0/push-vs-create-fill-and-map-vs-create-with-arrayfrom ",False,688,https://api.github.com/repos/3dmol/3Dmol.js/pulls/688,https://github.com/3dmol/3Dmol.js/pull/688,closed,105,115,3,1,0,0,0,0,[],2023-06-13 17:17:49+00:00,2023-06-13 17:22:35+00:00,286.0,0:04:46,[],"[{'commit_sha': 'c14a786d4fcbbbcecf50d0ae8eae3ead1e3948ba', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1391624928,[Feat] - Updated `.push()` to `Array.from()`,"**Description:**

In some cases, `Array.from()` is faster by almost 2x when compared to `.push()` 

More Info: https://measurethat.net/Benchmarks/Show/25686/0/push-vs-create-fill-and-map-vs-create-with-arrayfrom",False,689,https://api.github.com/repos/3dmol/3Dmol.js/pulls/689,https://github.com/3dmol/3Dmol.js/pull/689,closed,104,116,2,8,1,0,0,0,[],2023-06-14 04:00:51+00:00,2023-07-13 09:05:11+00:00,2523860.0,"29 days, 5:04:20",[],"[{'commit_sha': '2654d863c43dd2036c263be6b86e5814627c3ff8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3d62e3b177ce27b5b58ea687f7bf48740a559b7e', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '8f53a6ad70eca9899f3e760cf3a79ea324c65cae', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'e438139cad0acb6d4b8ad8240674c105ebdf6feb', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3eeaf5a94e77d8ea059c65e2042d85563f5ba892', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '4ce544cee3a920cadabdcb28f0ac366312982d2b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '8f6251de5b7ae220250ac8c0bc192931f391869a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'c2f928b9233ce729c12d838afb49f4c114438cf7', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1391760637,[Feat] - Updated Sessions.js,"**Description:**

- Used Array.from() instead of .push()",True,690,https://api.github.com/repos/3dmol/3Dmol.js/pulls/690,https://github.com/3dmol/3Dmol.js/pull/690,closed,51,51,1,3,2,5,0,0,[],2023-06-14 06:35:37+00:00,2023-06-21 18:39:50+00:00,648253.0,"7 days, 12:04:13","[{'comment_id': 1229906133, 'comment_body': 'the parseInt disappeared', 'comment_created': datetime.datetime(2023, 6, 14, 16, 45, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}, {'comment_id': 1229906618, 'comment_body': 'need to remove the var ret delaration', 'comment_created': datetime.datetime(2023, 6, 14, 16, 45, 21, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}, {'comment_id': 1230357022, 'comment_body': 'Oops! My bad, thanks for pointing it out :)', 'comment_created': datetime.datetime(2023, 6, 15, 2, 47, 6, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1230988217, 'comment_body': 'why was this changed to a while loop? Using a while loop for simple iteration is poor coding practice. If you want a more modern pattern use forEach.', 'comment_created': datetime.datetime(2023, 6, 15, 13, 8, 42, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}, {'comment_id': 1231001871, 'comment_body': '@dkoes I tried benching them now, their performance benefit compared to forEach is a bit on the lower end, I will make the change and send it in sometime :)', 'comment_created': datetime.datetime(2023, 6, 15, 13, 19, 8, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}]","[{'commit_sha': 'a0610a17800dd71e8d9e66d409025367b4013dcc', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'b9c49ebbc8a4d706741915d1b10ac45b15f5b0c0', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '2c53e4a9f179eec285bed1f065bc67285131a7d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
1395113508,[Chore] - Updated CI and Added Caching Feature,"**Description:**

- Updated CodeQL Workflow
- Enabled Caching for Workflows
- We won't be caching `node_modules` as according to https://github.com/actions/cache/blob/main/examples.md#node---npm, it is not recommended

Instead of using `npm install` we would be using `npm ci` which is usually used for CI Environments
",False,691,https://api.github.com/repos/3dmol/3Dmol.js/pulls/691,https://github.com/3dmol/3Dmol.js/pull/691,open,8992,803,5,20,4,4,0,0,[],2023-06-16 05:44:38+00:00,,0.0,,"[{'comment_id': 1237388461, 'comment_body': 'Why?', 'comment_created': datetime.datetime(2023, 6, 21, 18, 3, 13, tzinfo=datetime.timezone.utc), 'commenter': 'dkoes', 'type': 'User'}, {'comment_id': 1237392117, 'comment_body': 'I found a pretty good blog related to improving jest test speeds, https://dev.to/vantanev/make-your-jest-tests-up-to-20-faster-by-changing-a-single-setting-i36 and according to it `--runInBand` is useful in resource-constrained environments like CI, where the overhead of worker processes is higher than the speedup of running tests in parallel.', 'comment_created': datetime.datetime(2023, 6, 21, 18, 6, 48, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1237396827, 'comment_body': 'I also benched the tests using https://github.com/sharkdp/hyperfine and these are the results that I got. Over the course of 3-4 runs, `--maxWorkers=50%` seemed to be faster\r\n\r\n![Screenshot 2023-06-20 at 8 46 43 PM](https://github.com/3dmol/3Dmol.js/assets/23498248/52bdb0a0-5044-4ce1-99d3-19a50651bc4a)\r\n', 'comment_created': datetime.datetime(2023, 6, 21, 18, 11, 23, tzinfo=datetime.timezone.utc), 'commenter': 'adithyaakrishna', 'type': 'User'}, {'comment_id': 1257850431, 'comment_body': '## Incomplete string escaping or encoding\n\nThis replaces only the first occurrence of /%7E/.\n\n[Show more details](https://github.com/3dmol/3Dmol.js/security/code-scanning/107)', 'comment_created': datetime.datetime(2023, 7, 10, 7, 42, 49, tzinfo=datetime.timezone.utc), 'commenter': 'github-advanced-security[bot]', 'type': 'Bot'}]","[{'commit_sha': '0536d829dfbfb53091752eea28e4f14bb1d114f1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '771ffd8665eec888e6d094ebbbcd60629f297eb2', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'c394fec953f47e416077293b68ff692077b623fa', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'b363131b46a6f3b032db98302e4e4edc09ca5110', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'b42a808f4ad99674d56ad2932aac82ab04b247b6', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '183fcf50349a3ee5f58b0d01fe01b50ff68b7702', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '51bd0d6c97dd49ec636ccfd8279b0a794ff72ce3', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '0ff3d3869d0856e24925c385258030970c841102', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '3695346163d5fb004792aa8ba9ecdb640a6838ab', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '86c46e595894ef42264f7606a7b7de75f26653fe', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'bc16dc2aef4d7cfac5e51a955cb19b8dfa97e4a7', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '9d0455f978cfa1645e8aa6bfd1fe5473942697b6', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'cc8528f6325938f33307fad0ee4678d0dd50d876', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '862c45c641e79754f5b77e91592c955b4829a50f', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'bf1e84296bb1a56e3885fefd29186dabcddb1a3d', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '08e58d3f9f7fe3ebab341e9d02b07e154646bcf4', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '123fd27655122318a4f53d730a70f4802c117910', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'b9d3fe1a217d6f038d55e7a9f60a514c7998c918', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '2cefd5459f6dbcc8747673eb8b81df5ad175d84b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'b533005e985a9554c2800fc352e3fd0a24c2a758', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",Adithya Krishna ,23498248,,User,,362,,128,234
