pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
669111767,Fixes router of error on upload,Fixes #63 ,True,105,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/105,https://github.com/BRL-CAD/OGV-meteor/pull/105,closed,1,2,1,1,0,0,0,0,[],2021-06-13 20:36:06+00:00,2021-06-19 17:26:43+00:00,507037.0,"5 days, 20:50:37",[],"[{'commit_sha': 'c5456aefcd4dd52146f839db724e9bd57a3efbc1', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
673990079,Fixes Email server validation ,Fixes Email server validation issue and prevents the user from login and signup if the email server is not set up. The description is mentioned in issue #57 ,True,106,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/106,https://github.com/BRL-CAD/OGV-meteor/pull/106,closed,34,6,5,1,4,0,0,0,[],2021-06-20 07:41:47+00:00,2021-06-22 18:23:22+00:00,211295.0,"2 days, 10:41:35",[],"[{'commit_sha': 'cee02d21880a472a2da70e9d90f63f23d9117e6f', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
676919244,Upload Progress bar,,True,108,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/108,https://github.com/BRL-CAD/OGV-meteor/pull/108,closed,6,1,4,1,1,0,0,0,[],2021-06-24 08:53:22+00:00,2021-06-26 17:23:08+00:00,203386.0,"2 days, 8:29:46",[],"[{'commit_sha': '94d0a1ca151df43512e4d7ae672bb5b4e4027141', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
674023992,Removes all linting errors,,True,107,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/107,https://github.com/BRL-CAD/OGV-meteor/pull/107,closed,1301,526,50,1,0,0,0,0,[],2021-06-20 12:08:37+00:00,2021-06-21 17:24:32+00:00,105355.0,"1 day, 5:15:55",[],"[{'commit_sha': '150ac3a07c0b995f114c0b7cb43d94dfb1488798', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
677418421,Add husky to project,Added husky to project and set up on pre-commit.,True,109,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/109,https://github.com/BRL-CAD/OGV-meteor/pull/109,closed,37,2,2,1,3,0,0,0,[],2021-06-24 20:31:47+00:00,2021-06-26 15:58:47+00:00,156420.0,"1 day, 19:27:00",[],"[{'commit_sha': '3cc6c7df32417a5b2d3cca4eec1b0ed0907c31b9', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
687300925,Split css into multiple files,"Splits main.css file into multiple CSS files for better handling and development. Solves #58 

After I'll add SCSS to the project this PR could be merged.",True,111,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/111,https://github.com/BRL-CAD/OGV-meteor/pull/111,closed,2228,2214,39,7,1,0,0,0,[],2021-07-11 09:06:14+00:00,2021-07-16 16:36:27+00:00,459013.0,"5 days, 7:30:13",[],"[{'commit_sha': '8e136476a0d46fe5334c4edc80d433921ba223ea', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '60188bc9a03ee6645bec1e07f8da4f6e242c4595', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '31a015a0f5308c2cdaffd4e98958039d8d118534', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '187efac55b53f7f01c129f6d0bd0f4aa75db3544', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '50725445ae9b9a2f13e321e1dea2b82bdbb16a4e', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4a5b1965e8a0ca1be28377ff699bd832d7c2e791', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dc985bd8f29c12db86db8ba88916e3a7ca088397', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
617257260,Fixed edit link,This PR fixes the issue of the broken edit link of the Model. The issue is defined [here](https://github.com/BRL-CAD/OGV-meteor/issues/71) When the user clicks on `Edit` on the uploaded model the link redirects to the 404 page. ,True,101,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/101,https://github.com/BRL-CAD/OGV-meteor/pull/101,closed,1,1,1,1,0,0,0,0,[],2021-04-17 06:15:52+00:00,2021-05-28 16:37:44+00:00,3579712.0,"41 days, 10:21:52",[],"[{'commit_sha': 'c8327adee302fa22d282faa744d75147944ef6a4', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
691055221,Add custom coloring to model viewer background,This PR is to solve the #67 enhancement issue.,True,113,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/113,https://github.com/BRL-CAD/OGV-meteor/pull/113,closed,21,2,3,4,3,0,0,0,[],2021-07-15 21:46:06+00:00,2021-07-21 16:59:46+00:00,501220.0,"5 days, 19:13:40",[],"[{'commit_sha': '82e6724adcc3ccac6566430e8e93d94790b55fb2', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7a8a039c8097ec2d6dbd1499e4c6e9b60038bc94', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3ab705727e329d704157f61bd67e3e9a30bc89bc', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f824c7ff7f26d381348bca12b6da4307a4647d53', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
687384742,New directory structure,"Changes Directory structure of files as shown in below photo
![image](https://user-images.githubusercontent.com/38748298/125207891-d2927d00-e2ac-11eb-8f83-18c306f5660c.png)

",True,112,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/112,https://github.com/BRL-CAD/OGV-meteor/pull/112,closed,2264,2250,80,9,1,0,0,0,[],2021-07-11 19:32:59+00:00,2021-07-16 17:14:56+00:00,423717.0,"4 days, 21:41:57",[],"[{'commit_sha': '8e136476a0d46fe5334c4edc80d433921ba223ea', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '60188bc9a03ee6645bec1e07f8da4f6e242c4595', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '31a015a0f5308c2cdaffd4e98958039d8d118534', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '187efac55b53f7f01c129f6d0bd0f4aa75db3544', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '50725445ae9b9a2f13e321e1dea2b82bdbb16a4e', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4a5b1965e8a0ca1be28377ff699bd832d7c2e791', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dc985bd8f29c12db86db8ba88916e3a7ca088397', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7072121153b371fb323ea0b879f5ee9c14ddbba2', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6430f9b73a81df2ea4d0641c8b75e9f7a8a43e28', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
662510854,Update meteor,Update Meteor version from 1.8.0.2 to 1.8.2,True,104,https://api.github.com/repos/BRL-CAD/OGV-meteor/pulls/104,https://github.com/BRL-CAD/OGV-meteor/pull/104,closed,231,186,6,1,1,0,0,0,[],2021-06-05 16:44:23+00:00,2021-06-10 17:14:28+00:00,433805.0,"5 days, 0:30:05",[],"[{'commit_sha': 'aeb66644ca33b966a194812299ce9dcecfded114', 'committer_username': 'theamanjs', 'committer_name': 'Amanjot Singh', 'committer_email': None, 'commit_date': datetime.datetime(2018, 4, 26, 6, 58, 51, tzinfo=datetime.timezone.utc)}]",Amanjot Singh,38748298,,User,,31,,24,28
