pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1481184315,"Converting Campaign, UserProfile and AssignmentList into functional components, removing unnecessary CampaignOverviewHandler component","With reference to #5393

## What this PR does

Converts `campaign.jsx`, `user_profile.jsx` and `assignment_list.jsx` into functional components and removes unnecessary `campaign_overview_handler.jsx` component
**Affected Pages:**

- `/campaigns/[campaign_slug]/[chosen_nav_page]` (for `campaign.jsx` )
- `/users/[username]` (for `user_profile.jsx` )
- `/courses/[institution_name]/[course_name]/articles/assigned` (for `assignment_list.jsx` )

## Videos/Screenshots
Before `campaign.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/ba951229-c913-4741-ae65-685aa273d4f8

After `campaign.jsx` 

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/a941cd15-ac2f-4d94-81a6-a397fd6b56ff

Before `user_profile.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/0c2df4b7-ecc1-4d6a-ba2f-90c047e5b438

After `user_profile.jsx` 

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/586a1d3a-eb6d-41ce-9fc4-872de1fe1a10

Before `assignment_list.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/39212a66-700b-4490-a66c-f4605b6bed53

After `assignment_list.jsx` 

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/4eb31d36-d9da-40f8-8964-3c3414c3dc87



",True,5485,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5485,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5485,closed,146,202,5,4,0,0,0,0,[],2023-08-18 23:35:10+00:00,2023-08-21 20:46:26+00:00,249076.0,"2 days, 21:11:16",[],"[{'commit_sha': 'ab2184e0af9e42851a57a4c9be93f9ef6e434d43', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c9fea470b7b96a5dca5bd349bee7f85a992fb11c', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e6c6377a0b47fc200c4d683e07953535b7654978', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8c8eaf70b6fd1b839e36602c316a3e05c661b9f3', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1472422625,Add multi-search functionality to tickets system,"closes #5481 
## What this PR does
This PR adds the ability to utilize multiple search types at the same time when searching for tickets. Now users should be able to use all 4 search types at the same time.

I've gone ahead and removed the select fields that were being used before. Instead, we now have 4 inputs fields and 2 buttons, the ""clear search"" buttons clears the current search and makes the filters available to the user again. The ""search tickets"" button queries the tickets and returns the result.

I have also added a few UI tweaks such as making the loading animation only take up the tickets table and not the entire page. And making the ""search tickets"" button greyed out when all the input fields are empty

## Videos
Before:

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/c91716ae-91c3-4326-b3d9-e59b475c8f94

After:
Main search functionality:

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/a1d045e2-db40-4a74-b11f-463b8e278177

Clearing search and getting all course tickets:

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/8842593e-ab54-425f-8eff-90301f3b3670


",True,5482,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5482,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5482,closed,215,142,4,11,0,1,0,0,[],2023-08-11 22:41:40+00:00,2023-08-21 21:30:46+00:00,859746.0,"9 days, 22:49:06","[{'comment_id': 1300634320, 'comment_body': 'This is an interesting strategy, using `merge` to combine the query parameters. Nice!', 'comment_created': datetime.datetime(2023, 8, 21, 20, 53, 48, tzinfo=datetime.timezone.utc), 'commenter': 'ragesoss', 'type': 'User'}]","[{'commit_sha': '5212568a3831c65e338bd7e499723edd5425624a', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '403099192f84bb8bb2ffe3c34d469e3ac0222e0f', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0b4bc307a3da7658e98f3e6379cd338327594d96', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7c74604218c4d964ce5a6fc05d2400ee5743bfdc', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '36a89b2a7b7054e91ebc4fcc651e5b02f008ceab', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c5f87b807b994f6c4d46fa5565fd8f45cce33a4a', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f0f71a82ff2ba7c8b53246af0307b9d6b3caa03e', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c94439f5e568148ae52e0450c80c90b0527fff85', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '011dd35d735391bd8cf88121b001a6487111fad3', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '659b227843ca7b8b259567c8aa6e516b274c23d6', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '50904629b572876cda96be539b724e7d2904d306', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1469488488,"Converting ContributionStats, InstructorStats, Notifications and MainspaceChecklist into functional components","With reference to #5393

## What this PR does

Converts `contribution_stats.jsx`, `instructor_stats.jsx`, `notifications.jsx` and `mainspace_checklist.jsx` into functional components
**Affected Pages:**

- `/users/[username]` (for `contribution_stats.jsx` and `instructor_stats.jsx`)
- All pages that use notifications (for `notifications.jsx`)
- `/courses/[institution_name]/[course_name]` (for `mainspace_checklist.jsx`)

## Videos/Screenshots
Before `contribution_stats.jsx` and `instructor_stats.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/9b23d850-e7c0-4647-9a54-8027a4faccc0

After `contribution_stats.jsx` and `instructor_stats.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/8cfcf181-9942-482e-8d5c-b77863d1122a

Before `notifications.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/7ecea8a9-de54-4359-8606-d2e57673e6aa

After `notifications.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/9d71300d-acac-419e-aeba-39bc0e04d1ca

Before `mainspace_checklist.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/325319d9-51bd-4012-b975-281f99a059d4

After `mainspace_checklist.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/2593f43c-6ab9-47bc-9b3f-7ed73f57c790


## Clarifications
The `notifications.jsx` change affects around 6 different pages, I decided to just show one of the pages in the above video, I have manually tested the other pages though.",True,5480,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5480,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5480,closed,201,245,4,4,0,0,0,0,[],2023-08-10 00:35:15+00:00,2023-08-21 20:45:30+00:00,1023015.0,"11 days, 20:10:15",[],"[{'commit_sha': '98c1d52048360880e96fd2a85f78e8ad8194688e', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a14cf70410853d6abac20572d87227df411aa914', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'acaf2097364cc4a1898c47b49653ac0d651fa00c', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0d889d680671f7a638da450dd30482c1726f8c95', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1467446741,"Converting StatisticsUpdateInfo, BlockTypeSelect and CourseDetails into functional components","With reference to #5393

## What this PR does

Converts `statistics_update_info.jsx`, `block_type_select.jsx` and `course_details.jsx` into functional components
**Affected Pages:**
- `/courses/[institution_name]/[course_name]` (for `statistics_update_info.jsx`)
- `/courses/[institution_name]/[course_name]/timeline` (for `block_type_select.jsx`)
- `/users/[username]` (for `course_details.jsx`)

## Videos/Screenshots
Before `statistics_update_info.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/5de4c0c0-0c8a-4710-8f43-5dfba76afacc

After `statistics_update_info.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/d3e1bc8e-c50f-49e8-8b10-4bd65903f01c

Before `block_type_select.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/00415809-01e2-483e-84d3-774aa6c5a722

After `block_type_select.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/bb41e2fb-5784-4d66-8b92-97e3437cc930

Before `course_details.jsx`

![before refactor CourseDetails](https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/63bbf646-fe7b-40c5-970e-8046bb51af51)

After `course_details.jsx`

![after refactor CourseDetails](https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/0c34217d-7c2a-40c5-a712-3700e79c27ec)
",True,5479,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5479,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5479,closed,114,135,3,3,0,0,0,0,[],2023-08-08 19:28:16+00:00,2023-08-09 01:44:10+00:00,22554.0,6:15:54,[],"[{'commit_sha': '468556dea7757b7e444001abcf1c721bc965e64f', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3d028ac36ded44d72aa0148ddf83983267468e96', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ef11bd13ccf762a908221ec1260c241c45976182', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1466111755,"Converting AcademicSystem, Description and CategoryHandler into functional components","With reference to #5393

## What this PR does

Converts `academic_system.jsx`, `category_handler.jsx` and `description.jsx` into functional components
**Affected Pages:**
- `/course_creator` (for `academic_system.jsx.jsx.jsx`)
- `/courses/[institution_name]/[course_name]` (for `academic_system.jsx` and `description.jsx`)
- `/courses/[institution_name]/[course_name]/articles/edited` (for `category_handler.jsx`)
## Videos
Before `academic_system.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/a9e75aa5-60a6-4ec9-8da4-0d50e420dd93

After `academic_system.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/ed30fa81-4d06-47c5-bda6-550f9fe1d09e
	
Before `category_handler.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/379caac2-7218-4dc4-95fb-b10d6482e97a

After `category_handler.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/374c3215-5067-4b4d-b67c-275f7e355cb6
	
Before `description.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/671816d8-5c96-4ca1-9dae-dade7801f5b7

After `description.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/6deae594-8d6c-4669-a254-4345b8fbd0b9


",True,5478,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5478,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5478,closed,92,122,4,4,0,0,0,0,[],2023-08-08 01:46:15+00:00,2023-08-09 01:43:48+00:00,86253.0,23:57:33,[],"[{'commit_sha': '1c04af4ed1f77d659642bb18d86e6e396993d87a', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '913fbd130be40af8e6efd020a8ca5220b02372c1', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1a5a525e68818716ad9691577cebedb2165c6218', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'bc0b4043c51a74187227dfd1c37809fca584c359', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1463448804,Converting SlideLink into functional component + removed unused grading components,"With reference to #5393

## What this PR does
Removes unused grading components
Converts `slide_link.jsx` into a functional component
**Affected Pages:**
- `/training/[students or instructors]/[slide_slug]` (for `slide_link.jsx`)

## Videos
Before `slide_link.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/78a7bf48-cf4d-41a9-b12a-5319f8a2422a

After `slide_link.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/2ea4f2fe-d3a1-4d13-adbb-b8bdafbf6d6f

## Clarifications
I removed some components related to the old grading feature that is no longer used
",True,5475,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5475,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5475,closed,17,169,4,2,0,0,0,0,[],2023-08-04 20:54:08+00:00,2023-08-07 16:34:53+00:00,243645.0,"2 days, 19:40:45",[],"[{'commit_sha': 'd73e801633eed396ada8ffbdbbffd600851b7a2d', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd9c65d48b6538e6607f6cc491d5cc4803af42012', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1460582391,"Converting CustomLink, UpdateDefaultCampaignSetting, UpdateSalesforceCredentials and UpdateCourseCreationSettings into functional component","With reference to #5393

## What this PR does
Converts `CustomLink.jsx`, `update_default_campaign_setting.jsx`, `update_salesforce_credentials.jsx` and `update_course_creation_settings.jsx` into functional components
**Affected Pages:**
- `/settings` (for `update_default_campaign_setting.jsx`, `update_salesforce_credentials.jsx` and `update_course_creation_settings.jsx`)
- Any page that has the main navbar (for `CustomLink.jsx`)
## Videos
Before `CustomLink.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/83bbdda7-2727-4b29-a75b-f2ae5874b835

After `CustomLink.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/c7c26859-6fd6-49d3-bb69-1c26e3b0718b

Before `update_default_campaign_setting.jsx`, `update_salesforce_credentials.jsx` and `update_course_creation_settings.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/9a637b67-0531-4430-a318-c29babab29b3

After `update_default_campaign_setting.jsx`, `update_salesforce_credentials.jsx` and `update_course_creation_settings.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/2cdbaf68-95b3-47eb-8cb2-4d64616291b8


",True,5474,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5474,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5474,closed,74,103,4,4,0,0,0,0,[],2023-08-03 00:23:24+00:00,2023-08-03 17:04:19+00:00,60055.0,16:40:55,[],"[{'commit_sha': '4e92e65d3e9712348350f27ad411a199cfbeb63f', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e4dc1a95aec1736a69272d3993771a79332d64f6', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3b52ed4d7272529f5e39bdb340ede34efc452775', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '02b49e2964c78a8764d1ff776638d898901554bf', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1458914371,"Converting GreetStudentsButton, AddSpecialUserButton and AddAdminButton into functional components","With reference to #5393

## What this PR does
Converts `greet_students_button.jsx`, `add_special_user_button.jsx` and `add_admin_button.jsx` into functional components
**Affected Pages:**
- `/courses/[institution_name]/[course_name]/home` (for `greet_students_button.jsx`)
- `/settings` (for `add_special_user_button.jsx` and `add_admin_button.jsx`, admin-only)
## Videos
Before `greet_students_button.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/5ea343a9-5ae5-4c78-bf6b-035ec9b5dfd9




After `greet_students_button.jsx`


https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/20a9bf6b-cf9d-4e4a-a248-89d62ea0d945


Before `add_special_user_button.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/7b2ae233-f168-4df5-a90f-4d7dd5bb3665


After `add_special_user_button.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/c6c09ba6-601f-4d08-ad54-8912cdc40299


Before `add_admin_button.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/c8da7a6f-a032-4b94-b646-2c30bbc10478


After `add_admin_button.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/5e407d0f-6906-4d5e-a145-d4e4466ea708


",True,5473,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5473,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5473,closed,52,74,3,3,0,0,0,0,[],2023-08-02 00:05:37+00:00,2023-08-02 17:00:58+00:00,60921.0,16:55:21,[],"[{'commit_sha': '76692cd565de00333356cd6c5ac893d4cf4cfc59', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '996ecb72aa8e45e9ec8a84ef7205b6d7d0870fa7', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'bae9999955aae5cab2ab066a044cdb7df30a1794', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1457227998,Converting UserUploads and UserTrainingStatus into functional components,"With reference to #5393

## What this PR does
Converts `user_uploads.jsx` and `user_training_status.jsx` into functional components
**Affected Pages:**
- `/users/[username]` (for `user_uploads.jsx` and `user_training_status.jsx`)

## Videos/Screenshots
Before `user_uploads.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/126a59a7-4aca-4465-bb1c-6caeec7be128


After `user_uploads.jsx`

https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/7d3f5e40-df95-4c80-8241-cf5b214bfcd9


Before `user_training_status.jsx`

![before refactor UserTrainingStatus](https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/fd06788a-3b6b-4cfe-a155-a3f908d3fa45)

After `user_training_status.jsx`

![after refactor UserTrainingStatus](https://github.com/WikiEducationFoundation/WikiEduDashboard/assets/39999898/3d0bcc77-9331-4de7-a485-87392afd26d9)
",True,5469,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5469,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5469,closed,32,37,2,2,0,0,0,0,[],2023-08-01 00:49:15+00:00,2023-08-01 19:20:01+00:00,66646.0,18:30:46,[],"[{'commit_sha': 'a8f78f4a3c8c568c3bbffc55ebca9b3060d4e90c', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': '828892b11bbeb24f8867a243fcdc614cb2f2c7a0', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
1454940838,Attempt at fixing ruby selenium driver issue,"Following this issue: https://github.com/titusfortner/webdrivers/issues/247

It looks like our ruby tests broke due to some changes that have been made to the chrome driver distribution. Causing our webdrivers library to break. According to the issue mentioned above. A good long-term fix for this is removing the webdrivers gem and instead using selenium-webdriver which now has bult-in support for browser drivers. Updating capybara is also a part of this process.

After the updates, some methods got deprecated so I have replaced them. I have also removed the webdriver workaround we were using as that looks like it's no longer an issue with the new selenium-webdriver gem.
",True,5468,https://api.github.com/repos/WikiEducationFoundation/WikiEduDashboard/pulls/5468,https://github.com/WikiEducationFoundation/WikiEduDashboard/pull/5468,closed,25,36,4,2,0,0,0,0,[],2023-07-29 21:56:32+00:00,2023-07-30 00:59:54+00:00,11002.0,3:03:22,[],"[{'commit_sha': 'f182d53201acaf10c913390e07714fb3e067276c', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b9b74459efe8dbbac0e707e48252ce458f76a10f', 'committer_username': 'Aminehassou', 'committer_name': 'Amine Hassou', 'committer_email': None, 'commit_date': datetime.datetime(2018, 6, 6, 15, 53, 49, tzinfo=datetime.timezone.utc)}]",Amine Hassou,39999898,,User,,19,,3,11
