pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
433197568,Feat: Added support for Standing Instructions,"## Description
Added complete support for Standing Instructions. Users can now create new standing instructions, get client specific standing instructions and update/delete standing instructions created earlier.
**Note:** Currently the update and create functionality are not working because of Fineract issues

## Screen Recording
### Creating New Standing Instruction
![GIF-200611_213537](https://user-images.githubusercontent.com/46667021/84412685-37545180-ac2d-11ea-8e07-fd49dca9d2e7.gif)
---

### Existing Standing Instruction
![GIF-200611_214251](https://user-images.githubusercontent.com/46667021/84413243-f90b6200-ac2d-11ea-883a-d4fce2a75294.gif)

---

## Screen Shots 
|<img src=""https://user-images.githubusercontent.com/46667021/84412852-75ea0c00-ac2d-11ea-9f67-cf0a434dc497.jpeg"" width=""288"" height=""500"" />|<img src=""https://user-images.githubusercontent.com/46667021/84412961-9d40d900-ac2d-11ea-9b2e-361636b81abc.jpeg"" width=""288"" height=""500"" />|<img src=""https://user-images.githubusercontent.com/46667021/84413005-ab8ef500-ac2d-11ea-8380-6e9a81079157.jpeg"" width=""288"" height=""500"" />|<img src=""https://user-images.githubusercontent.com/46667021/84413446-3e2f9400-ac2e-11ea-936a-d56ec06f6aeb.jpeg"" width=""288"" height=""500"" />|

---

<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,973,https://api.github.com/repos/openMF/mobile-wallet/pulls/973,https://github.com/openMF/mobile-wallet/pull/973,closed,2158,14,34,2,0,15,0,0,[],2020-06-11 16:26:20+00:00,2020-11-07 16:24:45+00:00,12873505.0,"148 days, 23:58:25","[{'comment_id': 439332039, 'comment_body': 'Instead of overriding all these methods from `Parcelable`, you can simply Add `@Parcelize` annotation here (on top of `data class  StandingInstructionPayload`) then you can simply delete all overridden methods. This [article](https://medium.com/@BladeCoder/a-study-of-the-parcelize-feature-from-kotlin-android-extensions-59a5adcd5909) might help if you want to learn how it works.', 'comment_created': datetime.datetime(2020, 6, 12, 10, 14, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439335035, 'comment_body': ""It would be much better if it wasn't hardcoded otherwise will not be able to translate it :)"", 'comment_created': datetime.datetime(2020, 6, 12, 10, 20, 56, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439335290, 'comment_body': 'same here', 'comment_created': datetime.datetime(2020, 6, 12, 10, 21, 33, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439335918, 'comment_body': 'Same here', 'comment_created': datetime.datetime(2020, 6, 12, 10, 23, 3, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439337342, 'comment_body': ""Are we sure this amount will be in Rupee all the time? I think the symbol should be changed based on amount's currency dynamically."", 'comment_created': datetime.datetime(2020, 6, 12, 10, 26, 23, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439338413, 'comment_body': 'Can we use `formatted string` dynamically in here? Like `<string name=""name"">Name: %1$s</string>`', 'comment_created': datetime.datetime(2020, 6, 12, 10, 28, 57, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439339684, 'comment_body': '`Constants.NO_WALLET_FOUND` do we show this error message in UI? If yes then it would be much better to add inside `string.xml` file', 'comment_created': datetime.datetime(2020, 6, 12, 10, 32, 9, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439340823, 'comment_body': 'Use formatted string, please.', 'comment_created': datetime.datetime(2020, 6, 12, 10, 34, 53, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439340912, 'comment_body': 'same here', 'comment_created': datetime.datetime(2020, 6, 12, 10, 35, 5, tzinfo=datetime.timezone.utc), 'commenter': 'jawidMuhammadi', 'type': 'User'}, {'comment_id': 439724511, 'comment_body': ""@devansh-299 It would be much better if we use factory for initializing/creating new standingInstructions throughout the codebase.\r\nWhy?\r\n* As it would reduce the following kind/type of repititive code in the concerned file(s) where it is needed to create a new standingInstruct'n"", 'comment_created': datetime.datetime(2020, 6, 13, 9, 24, 1, tzinfo=datetime.timezone.utc), 'commenter': 's-ayush2903', 'type': 'User'}, {'comment_id': 439730381, 'comment_body': '@s-ayush2903 I get what that factory pattern will reduce the boilerplate code but we just need this code at two places, hence creating a factory for this in my opinion will be an overkill ', 'comment_created': datetime.datetime(2020, 6, 13, 11, 1, 6, tzinfo=datetime.timezone.utc), 'commenter': 'devansh-299', 'type': 'User'}, {'comment_id': 439730440, 'comment_body': 'Thanks for pointing this out', 'comment_created': datetime.datetime(2020, 6, 13, 11, 2, 23, tzinfo=datetime.timezone.utc), 'commenter': 'devansh-299', 'type': 'User'}, {'comment_id': 439730557, 'comment_body': ""I forgot to mention in comments here, but the response doesn't specify the currency so for the time being, we are going with the hardcoded currency"", 'comment_created': datetime.datetime(2020, 6, 13, 11, 4, 35, tzinfo=datetime.timezone.utc), 'commenter': 'devansh-299', 'type': 'User'}, {'comment_id': 439767964, 'comment_body': ""I'm astonished at consideration of factory as an _overkill_.Let me provide a few more instances which clicked right now(while authoring this thread)where this can be helpful\r\n* Consider the scenario where one is trying to test this feature via api calls first;\r\n* Then as for instruction creation takes 3 mandatory parameters, out of which vpa needs to be validated, so for end-to-end testing(covering all edge cases) one'll have to create two `SIs`-\r\na valid one and an invalid one,\r\n* If we consider the unit test it solely(not networking calls, just its functionality), that'll also require same two more instances of the same\r\n* So considering this minimum applicability/usages of SIs, the total locs would be=\r\n  `41x(2+2+2)=246` {41=179-136} \r\nIf we had factory then, it would be:- `41x1 + 4+4+4 = 53` {4=2x(1+1)}\r\n\r\nBut still, i was just putting forward the standard software design pattern and my invaluable view regarding the same, everything is upto you"", 'comment_created': datetime.datetime(2020, 6, 13, 20, 44, 37, tzinfo=datetime.timezone.utc), 'commenter': 's-ayush2903', 'type': 'User'}, {'comment_id': 439820798, 'comment_body': '@s-ayush2903 thank you providing such an in depth analysis and for staging your views. I will consult my mentors over this but anyways I appreciate your thoughtfulness ', 'comment_created': datetime.datetime(2020, 6, 14, 11, 41, 55, tzinfo=datetime.timezone.utc), 'commenter': 'devansh-299', 'type': 'User'}]","[{'commit_sha': '638d99486893aa913db01bf058ec9e12fb6699d2', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'bcb8673062ac40da2e58b0359ea81c62a2401f91', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
439387689,Support for Fineract CN,"## Description

### Core Module Changes:
- Refactored Core Module to separate Fineract and FineractCN services.
- Updated the core module to make requests to Fineract CN and accept responses.
- Added use cases for:
    * Login FineractCN user
    * Fetch/create customers
    * Fetch/create deposit accounts
    * Fetch Journal entries

### MifosPay Module Changes:
- Updated SignUp Activity to allow creation of FineractCN customer and deposit account while signing up
- Updated HomeFragment to fetch account details and transactions via FineractCN APIs
- Profile Fragment uses FineractCN
- Updated History, Merchants fragments and SpecificTransaction Activity to fetch transactions and their details via FineractCN 

### Screen Recording
<img src=""https://user-images.githubusercontent.com/46667021/86253084-ab04d100-bbd1-11ea-9882-5af4db555093.gif"" width=""200"" height=""400"" />

### Layouts
|<img src=""https://user-images.githubusercontent.com/46667021/86253229-e0112380-bbd1-11ea-9f3c-f86f950660ec.jpg"" width=""200"" height=""400"" />| <img src=""https://user-images.githubusercontent.com/46667021/86253403-21a1ce80-bbd2-11ea-84cf-cfd9b1e4c788.jpg"" width=""200"" height=""400"" />| <img src=""https://user-images.githubusercontent.com/46667021/86253512-472ed800-bbd2-11ea-9cf7-a41c8dacc06c.jpg"" width=""200"" height=""400"" />| <img src=""https://user-images.githubusercontent.com/46667021/86253568-59107b00-bbd2-11ea-8950-870cf13beee9.jpg"" width=""200"" height=""400"" />|<img src=""https://user-images.githubusercontent.com/46667021/86253617-675e9700-bbd2-11ea-87c8-73522e95dc47.jpg"" width=""200"" height=""400"" />|


##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,997,https://api.github.com/repos/openMF/mobile-wallet/pulls/997,https://github.com/openMF/mobile-wallet/pull/997,closed,2131,574,117,7,2,2,0,0,[],2020-06-24 18:40:57+00:00,2020-11-05 11:09:59+00:00,11550542.0,"133 days, 16:29:02","[{'comment_id': 449468730, 'comment_body': '@devansh-299 We can directly delegate these functions to their return values, like:\r\n`fun getDepositApi(): DepositService = depositApi `\r\n\r\nNothing technical, just koans ;-)', 'comment_created': datetime.datetime(2020, 7, 3, 9, 3, 43, tzinfo=datetime.timezone.utc), 'commenter': 's-ayush2903', 'type': 'User'}, {'comment_id': 449504885, 'comment_body': 'Thanks @s-ayush2903 this surely could have been done. I will update the PR', 'comment_created': datetime.datetime(2020, 7, 3, 10, 17, 19, tzinfo=datetime.timezone.utc), 'commenter': 'devansh-299', 'type': 'User'}]","[{'commit_sha': '74a66df989d3fb38b30b8f370c9bd1783467949d', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8bcbafc65d44a8fab1a8a9d29d14be9771973080', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f388618bc6b7ff15976705d128f1eed2afa1220c', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ebce2e75a373646049400dd7784f7110f42bc2ff', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4e5d1f65f8f696a01d5b066b6f4ce6fac369aa86', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e5f11f3b3e0a75e64cb3b99584a4302613bc9237', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '2ee653e1c8970bc282bb596b6e04681e3f3857a7', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
446832607,Payment Hub integration,"## Description

### Core Module Changes
- Updated API endpoints and services to work on the latest payment-hub build
- Updated entities according to the new documentation.
- Added use cases for:
    * Registering and fetching Secondary Identifiers for client's savings account
    * Making transactions using Payment Hub
    * Requesting transactions from payers
- Deleted old payment-hub integration files.


### Mifospay Module Changes
- Added Secondary Identifier registration process while creating a new user, and fetching them during login process.
- Updated Send, MakeTransferFragment to work on payment-hub based use cases.
- Deleted old payment-hub integration files.

### Work Left
- Add notifications for merchant request to pay  and peer to peer request to pay
- Update user interface for the entire payment process.

### Screen Recording

<img src=""https://user-images.githubusercontent.com/46667021/87420498-05028f00-c5f3-11ea-84e0-8a9c9ab30711.gif"" width=""220"" height=""440"" />

<img src=""https://user-images.githubusercontent.com/46667021/87421437-8c9ccd80-c5f4-11ea-89ff-b7054ec94af7.gif"" width=""220"" height=""440"" />







##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,1009,https://api.github.com/repos/openMF/mobile-wallet/pulls/1009,https://github.com/openMF/mobile-wallet/pull/1009,closed,823,1437,72,4,0,0,0,0,[],2020-07-09 12:36:37+00:00,2020-11-05 11:04:16+00:00,10276059.0,"118 days, 22:27:39",[],"[{'commit_sha': '6e327d20edb9425b20e5fe01131529a130c3117b', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9d79f6c2be7baffff729f3dd150d24caaa6437e0', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a23031fbf6c7f5cd639239d8b8d490f905955abc', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'af6bad08cdca284fe1c1a57b01d823aa54c8cdc4', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
455066840,Added multi theme support,"## Description

### Changes Done:
- Migrated application to AndroidX (_in first commit_)
- Added multi-theme support (_in second commit_)
  * Light Theme
  * Dark Theme
  * System Default - _This uses the current theme applied on the device_

### Screen Recordings & Screen shots:
All the changes done can be seen by visiting this [link](https://drive.google.com/drive/folders/1sa0ECAB5Xzxw4cfmz9HgS0psHxtuebcR?usp=sharing)
(_because of too many files and large files sizes, recordings and photos have been uploaded on drive_)

##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,1012,https://api.github.com/repos/openMF/mobile-wallet/pulls/1012,https://github.com/openMF/mobile-wallet/pull/1012,closed,988,598,152,2,0,0,0,0,[],2020-07-22 11:46:37+00:00,2022-02-10 05:58:10+00:00,49054293.0,"567 days, 18:11:33",[],"[{'commit_sha': '4157727f1212f88839884f5f2b0f1e55f247986d', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '29b3c7f8e4e473c4e73e05f1dac06f7f65a5fad7', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
458646440,Hover SDK - USSD automation integration,"## Description
Integrated Hover - SDK to automate USSD sessions. When opting to use the mobile number to make payments, clients can further opt to use Mobile Money for payments.
_Hover Documentation: [link](http://docs.usehover.com/)_

### Points:
- Had to add support for MultiDex after adding Hover SDK
- Used Hover SDK version `1.4.3` instead of the latest `1.6.3` as the latest version requires migration to AndroidX
- Hover SDK requires minimum Android SDK version as >= 18

### Screen Recording

<img src=""https://user-images.githubusercontent.com/46667021/90341890-45559280-e021-11ea-9696-55d34113c2e7.gif"" width=""200"" height=""450"" />

##

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",False,1021,https://api.github.com/repos/openMF/mobile-wallet/pulls/1021,https://github.com/openMF/mobile-wallet/pull/1021,closed,142,14,9,1,1,0,0,0,[],2020-07-29 19:42:53+00:00,2024-03-03 06:02:36+00:00,113393983.0,"1312 days, 10:19:43",[],"[{'commit_sha': '7aa94d6b81dcd07db560ecbe5389bd6e38bea7c0', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
471237572,Converted Entity Files to Kotlin,"## Description
Converted all entity files inside the core module to Kotlin

##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",False,1029,https://api.github.com/repos/openMF/mobile-wallet/pulls/1029,https://github.com/openMF/mobile-wallet/pull/1029,closed,1510,5705,105,1,1,0,0,0,[],2020-08-20 20:57:20+00:00,2024-03-03 06:02:49+00:00,111488729.0,"1290 days, 9:05:29",[],"[{'commit_sha': '7be62491ce248af37c891804842decdb9205ca86', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
472021088,Converted API service files to Kotlin,"## Description
Converted all API service files inside core module to Kotlin

##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",False,1030,https://api.github.com/repos/openMF/mobile-wallet/pulls/1030,https://github.com/openMF/mobile-wallet/pull/1030,closed,523,584,33,1,1,0,0,0,[],2020-08-22 18:37:48+00:00,2024-03-03 06:02:12+00:00,111324264.0,"1288 days, 11:24:24",[],"[{'commit_sha': '14dde07f88878c107cecfd95ec47742926ed43d6', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
472025846,Converted Domain Model files to Kotlin,"## Description
Converted all domain model files in the core module to Kotlin

##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",False,1031,https://api.github.com/repos/openMF/mobile-wallet/pulls/1031,https://github.com/openMF/mobile-wallet/pull/1031,closed,315,1177,44,1,2,0,0,0,[],2020-08-22 19:28:03+00:00,2024-03-03 06:02:21+00:00,111321258.0,"1288 days, 10:34:18",[],"[{'commit_sha': 'edd796e60511c072f3485d9875f7fc6204769580', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
434171349,fixes#976 - improved bank accountdetails user interface,"## Issue Fix
Fixes #976 

## Screenshots

### When UPI is enabled
- <img src=""https://user-images.githubusercontent.com/46667021/84599019-95cb3b00-ae8c-11ea-8c07-9aa848ac11ef.jpg"" width=""180"" height=""300"" />

### When UPI is not enabled
- <img src=""https://user-images.githubusercontent.com/46667021/84599021-9794fe80-ae8c-11ea-9788-7933aff765db.jpg"" width=""180"" height=""300"" />

##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,977,https://api.github.com/repos/openMF/mobile-wallet/pulls/977,https://github.com/openMF/mobile-wallet/pull/977,closed,59,24,3,1,0,0,0,0,[],2020-06-14 16:49:07+00:00,2022-02-09 13:48:54+00:00,52261187.0,"604 days, 20:59:47",[],"[{'commit_sha': '3a7a8d161f2c2337c15ee261e18bdb91389f7140', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
421755208,fix#949 - error screen incase of failure in fetching kyc details,"## Issue Fix
Fixes #949

## Screen Recording
![GIF-200522_123540](https://user-images.githubusercontent.com/46667021/82640931-1baaec00-9c29-11ea-84e9-1f93e68938df.gif)


##
<!--Please make sure these boxes are checked before submitting your pull request - thanks!-->

- [x] Apply the `AndroidStyle.xml` style template to your code in Android Studio.

- [x] Run the unit tests with `./gradlew check` to make sure you didn't break anything

- [x] If you have multiple commits please combine them into one commit by squashing them.
",True,951,https://api.github.com/repos/openMF/mobile-wallet/pulls/951,https://github.com/openMF/mobile-wallet/pull/951,closed,85,34,6,1,1,0,0,0,[],2020-05-22 07:09:20+00:00,2021-03-18 04:46:05+00:00,25911405.0,"299 days, 21:36:45",[],"[{'commit_sha': '65136d08e24b562693f14beb2c2479400d096abc', 'committer_username': 'devansh-299', 'committer_name': 'Devansh Aggarwal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 1, 14, 6, 32, 28, tzinfo=datetime.timezone.utc)}]",Devansh Aggarwal,46667021,,User,,37,,12,32
