pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1473434525,pages/Run/index.tsx: Add kill run button,"This PR solves issue #2 which adds a kill run button that will kill all jobs in the current run. It currently uses a mock API endpoint for success alert, needs to be connected to the teuthology-api

https://github.com/ceph/pulpito-ng/assets/50358181/3e51bc1f-dfd3-40be-9bc7-d6bb38406cfe

",False,51,https://api.github.com/repos/ceph/pulpito-ng/pulls/51,https://github.com/ceph/pulpito-ng/pull/51,open,216,5,6,10,18,2,1,2,[{'name': 'feature'}],2023-08-13 16:51:34+00:00,,0.0,,"[{'comment_id': 1488580908, 'comment_body': '```suggestion\r\n  const loggedUser = sessionQuery.data?.session?.username;\r\n```', 'comment_created': datetime.datetime(2024, 2, 13, 21, 8, 25, tzinfo=datetime.timezone.utc), 'commenter': 'zmc', 'type': 'User'}, {'comment_id': 1558280223, 'comment_body': 'We should also allow users with the admin role in the org to kill runs regardless of the owner', 'comment_created': datetime.datetime(2024, 4, 9, 20, 56, 34, tzinfo=datetime.timezone.utc), 'commenter': 'zmc', 'type': 'User'}]","[{'commit_sha': '7a4c62115ee3517ec8ac4318c10cded132e12a21', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9b655171ea5bc412f941c41e9107b041da443fbe', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c1f811135a9ed6644c5c779de3bec3cbd2dfe344', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1526e9e7cc2dd50a9a79e1875ec143fc9aae7735', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '48a9fa47bad4d0724423606d1cbd79e7508dcab3', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dc44f7e98f49bdb237189f9ea1b9602a6d8f53e1', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1ef18f2788afd0d757c2d1af4b10717414864b86', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dc41d9f827a59330cee7a384f6d4552ce6253bfe', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9598d0f3796df2bdf8ad4dbe0e33f82caa004fde', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6d3badddb2c34767ee8cc31798ee8139529f137f', 'committer_username': 'VallariAg', 'committer_name': 'Vallari Agrawal', 'committer_email': None, 'commit_date': datetime.datetime(2019, 5, 7, 8, 6, 39, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1490727050,src/routes: Update pydantic dict() to model_dump(),"`.dict()` method for converting a pydantic BaseModel to a dictionary is deprecated. This PR updates it to the new method, `.model_dump()`",True,16,https://api.github.com/repos/ceph/teuthology-api/pulls/16,https://github.com/ceph/teuthology-api/pull/16,closed,2,2,2,1,1,0,0,0,[],2023-08-26 17:44:54+00:00,2023-09-13 06:08:16+00:00,1513402.0,"17 days, 12:23:22",[],"[{'commit_sha': '6625ced9b5b01b7887e3cacad6d5425244ab65cc', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1493279222,Documentation for API endpoints,"This PR fixes #3 by adding appropriate function docstrings for every endpoint, and an example request body for pydantic schemas.

- [x] `/kill`
- [ ] `/suite`
- [ ] `/login`
- [ ] `/logout`",False,17,https://api.github.com/repos/ceph/teuthology-api/pulls/17,https://github.com/ceph/teuthology-api/pull/17,closed,74,6,3,1,0,0,0,1,[],2023-08-29 08:03:55+00:00,2024-06-27 04:59:50+00:00,26168155.0,"302 days, 20:55:55",[],"[{'commit_sha': 'b5913f954d049b27da7a1f1118d1a0b8dd622d32', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1473431861,pages/Job/index.jsx: Add sanity check for started time,This PR solves #26 by adding a function to check whether a date is valid or not using `isValid` function of `date-fns` library. This function is further used in timeSince and returns N/A if the date is not valid.,True,50,https://api.github.com/repos/ceph/pulpito-ng/pulls/50,https://github.com/ceph/pulpito-ng/pull/50,closed,6,0,1,1,1,0,0,1,[],2023-08-13 16:41:21+00:00,2023-08-16 15:27:10+00:00,254749.0,"2 days, 22:45:49",[],"[{'commit_sha': '63972b99ce1b0f6164fdf12bc6c66a1d6e236523', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1459217549,./github/workflows/signed.yaml: Create CI for checking signed commits,This PR fixes #6 using a bash script that checks for `Signed-off-by:` trailer in git commits. The script does not check the merge commits as they generally don't have the `Signed-off-by:` trailer.,True,11,https://api.github.com/repos/ceph/teuthology-api/pulls/11,https://github.com/ceph/teuthology-api/pull/11,closed,22,0,2,1,1,0,1,1,[{'name': 'CI'}],2023-08-02 06:46:38+00:00,2023-08-07 15:28:59+00:00,463341.0,"5 days, 8:42:21",[],"[{'commit_sha': 'd045f700a8c0fb3cc86bfdab3eb85d5296be98ed', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1450576630,src/lib/paddles.ts: Add VITE_ prefix to env variables,This PR fixes issue #34 by adding the `VITE_` prefix to `PADDLES_SERVER` variable.,True,35,https://api.github.com/repos/ceph/pulpito-ng/pulls/35,https://github.com/ceph/pulpito-ng/pull/35,closed,1,2,1,1,0,0,0,0,[],2023-07-26 16:23:16+00:00,2023-07-26 22:47:24+00:00,23048.0,6:24:08,[],"[{'commit_sha': '0f574ec6d7312ad77266c73840e0ebe0bd3d909d', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1435104652,src/config.py: Update pydantic to pydantic-settings,"In the release of `pydantic` version 2, the developers have created a separate library for settings and config class called `pydantic-settings`, more information can be found here: https://docs.pydantic.dev/latest/usage/pydantic_settings

This PR adds `pydantic-settings` as a dependency in requirements.txt and update from `pydantic` in `src/config.py`",True,4,https://api.github.com/repos/ceph/teuthology-api/pulls/4,https://github.com/ceph/teuthology-api/pull/4,closed,3,10,2,1,0,0,1,1,[{'name': 'dependency'}],2023-07-14 17:31:36+00:00,2023-07-17 13:36:10+00:00,245074.0,"2 days, 20:04:34",[],"[{'commit_sha': '542890a14357613d051f9585a7181594df4b95a6', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1389117147,public/favicon.ico: Update favicon to pulpito icon,"This PR solves issue #8 where the favicon was the same as the Ceph icon but is now replaced with the original Pulpito site logo.

![pulpito-white](https://github.com/ceph/pulpito-ng/assets/58616444/7daeb3b9-cbec-48b7-a9d4-461cbb2140b0)
",True,20,https://api.github.com/repos/ceph/pulpito-ng/pulls/20,https://github.com/ceph/pulpito-ng/pull/20,closed,3,13,4,1,0,0,1,1,[{'name': 'bug'}],2023-06-12 17:24:08+00:00,2023-06-14 13:50:57+00:00,160009.0,"1 day, 20:26:49",[],"[{'commit_sha': '8f6fa99a0123a0e98f3e4d6c6db34f7002911e13', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78
1379173218,lib/utils.js: changed year format from yy to yyyy,This PR is a fix for issue #9 where the date was initially in the format `yy-mm-dd hh:mm:ss` and the year was changed to `yyyy` format.,True,15,https://api.github.com/repos/ceph/pulpito-ng/pulls/15,https://github.com/ceph/pulpito-ng/pull/15,closed,1,1,1,1,0,0,1,1,[{'name': 'bug'}],2023-06-05 15:01:33+00:00,2023-06-08 14:54:50+00:00,258797.0,"2 days, 23:53:17",[],"[{'commit_sha': '9b50cdbbf2ec1c4a27f2c7ce489800dd4ffff8ce', 'committer_username': 'Devansh3712', 'committer_name': 'devansh singh', 'committer_email': None, 'commit_date': datetime.datetime(2019, 12, 7, 3, 21, 1, tzinfo=datetime.timezone.utc)}]",devansh singh,58616444,,User,,38,,21,78

