pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
678323915,Add dashboards,"Adds all the dashboards worked on for the past weeks.

Also externalizes commonly-used components into a fragments/ directory, where one can edit things like the afterInit.html and the sidebar.html, as well as the custom stylesheet, which are read from said location.",True,1,https://api.github.com/repos/r-community/central/pulls/1,https://github.com/r-community/central/pull/1,closed,0,0,0,10,0,0,0,0,[],2021-06-26 11:41:31+00:00,2021-06-26 20:25:16+00:00,31425.0,8:43:45,[],"[{'commit_sha': 'af2a809048fb786a213e9fcdb3b9af9cb4cf83cb', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6cac53a43c0866f2c3ab4a0011cfda3cd9136287', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6867e6dce5b7e341d66ad716b85660aad53c9c68', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '72e2fd8db9c830fa6e58e7d0fa1fd983d8d02d6c', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a63b96247093fdde1a30bbceb29c0b677bcd581d', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ba28d68c0a5e2f1caa09249b27f69458311a001f', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9a9da04388f35ca1f56fc9c9225ff3f565ff11c0', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ca37a84f44952b9a094c17ab5b007773e432b25f', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cca289739f3136856749a3219be0196cfac562ee', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4367510c8bf4b2c5685cc4ea74923c3658aca322', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
703845989,Optimize Twitter dashboards updates and data,"- Now the data is being handled in the [TwitterData](https://github.com/r-community/twitterdata) repository, which updates the data daily. The dashboard now reads directly from this data source.
- This Pull Request also sets up a way for the dashboard to be updated daily in the central repository through the use of a custom GitHub Action, which also runs daily right after the data update in TwitterData. This GitHub Action re-renders the dashboard and pushes the result to the central repository. The Action can also be triggered manually if desired.

I've tested the Action in a private repository of mine so it should work as intended. ",True,23,https://api.github.com/repos/r-community/central/pulls/23,https://github.com/r-community/central/pull/23,closed,723,258,10,2,0,0,0,0,[],2021-08-04 18:43:55+00:00,2021-08-13 08:16:48+00:00,739973.0,"8 days, 13:32:53",[],"[{'commit_sha': '71e87e8298e80a39959628fa4827998e7231b9b6', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '5fadc8cfeec61304b36785bee0aad0d5917615bc', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
678414823,Add missing index files,Moves missing index.html files from Meet's dashboards to the top directory.,True,2,https://api.github.com/repos/r-community/central/pulls/2,https://github.com/r-community/central/pull/2,closed,245936,15,869,2,0,0,0,0,[],2021-06-26 21:15:19+00:00,2021-06-27 05:39:43+00:00,30264.0,8:24:24,[],"[{'commit_sha': '54bb73c90197240b85af358d1c1e61500a3dce34', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8b932c88e58af7376eb5bbfaa0d02d70ccdecdbd', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
678490566,Fix StackOverflow and Calendar,"Removes large dataset in stackoverflow dashboard

Updates calendar dashboard with the correct iframe",True,3,https://api.github.com/repos/r-community/central/pulls/3,https://github.com/r-community/central/pull/3,closed,0,0,0,2,0,0,0,0,[],2021-06-27 10:17:45+00:00,2021-06-27 17:57:11+00:00,27566.0,7:39:26,[],"[{'commit_sha': '1264a87a8988d298c9800094ca8d10de66f58ea9', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '542aebd6acf79cc5be7c2ed70990948f5620dbea', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
678587254,Update Twitter Dashboard,"* Updates dataset
* Makes plot June to June instead of May to May",True,5,https://api.github.com/repos/r-community/central/pulls/5,https://github.com/r-community/central/pull/5,closed,124,120,2,2,0,0,0,0,[],2021-06-27 22:03:27+00:00,2021-06-27 22:07:04+00:00,217.0,0:03:37,[],"[{'commit_sha': 'a0de0ee903096d095b29d9a531c815c58757267b', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'fe1dc0d05e9ef75c4abc35e4cce3eae9b1eccc2d', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
678593615,Fix sidebarlinks,"Removes the data-toggle attribute from the sidebar.

Updates most dashboards (except those in the events/ directory).

Adds link in the sidebar to the GSoC dashboard (it was missing).

In case you wish to test it: https://jvfe.github.io/central/rstudio/",True,6,https://api.github.com/repos/r-community/central/pulls/6,https://github.com/r-community/central/pull/6,closed,17249,17175,9,2,0,0,0,0,[],2021-06-27 22:56:40+00:00,2021-06-27 23:02:34+00:00,354.0,0:05:54,[],"[{'commit_sha': '9d03f8c5d3fc75e0655171df3ed183d130531de7', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a1b48a3a4f69d9800f0a07ec8a38eacdb2069561', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
679238615,Fix sidebar links for events dashboards,* Fixes broken links in the sidebar of the events/ dashboards,True,8,https://api.github.com/repos/r-community/central/pulls/8,https://github.com/r-community/central/pull/8,closed,11283,11278,11,1,0,0,0,0,[],2021-06-28 17:29:26+00:00,2021-06-28 17:59:17+00:00,1791.0,0:29:51,[],"[{'commit_sha': '6ef0b3686ce9c1ff06c0c24dad274fcd871a0629', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
682559597,Improve twitter dashboard,"- Removes the word ""timeline"" from most other charts
- Adds a timeline chart showing likes, retweets and tweets.",True,14,https://api.github.com/repos/r-community/central/pulls/14,https://github.com/r-community/central/pull/14,closed,132,25,2,2,0,0,0,0,[],2021-07-02 11:37:42+00:00,2021-07-02 11:43:34+00:00,352.0,0:05:52,[],"[{'commit_sha': '5469252c663a1af6a79b670575eff98dcdb210ed', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6431363dbc4ee131120b532ac381c3933056b5eb', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
682578293,Fix twitter timeline dates,- Fixes timeline month dates.,True,15,https://api.github.com/repos/r-community/central/pulls/15,https://github.com/r-community/central/pull/15,closed,7,17,2,1,0,0,0,0,[],2021-07-02 12:09:52+00:00,2021-07-02 12:21:58+00:00,726.0,0:12:06,[],"[{'commit_sha': '1a9d0c7e7faaa07679b166ffaaafc6638ee50952', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
686368800,Add footer and Google Analytics,"- Adds footer with sponsors and GitHub Icon that links to this repo;
- Update dashboards' names
- Adds google analytics script

Feel free to preview at: https://jvfe.github.io/central/rstudio/",True,19,https://api.github.com/repos/r-community/central/pulls/19,https://github.com/r-community/central/pull/19,closed,6998,6688,43,6,0,0,0,0,[],2021-07-08 22:41:07+00:00,2021-07-09 06:02:24+00:00,26477.0,7:21:17,[],"[{'commit_sha': '1e11df21b9a225cba842e7d4ef0c1a9d9db28ce1', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f362f6c1a6a38e6843351e153a7ca6b7405038b8', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ab193bb4c475553b46f024ec1f7fcdbb92f67798', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'de1a61980c2c9a6e6e9cd2e6f0922731afba89e9', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4e2ae129d36323a2cdc45ea47b1d49de154ca328', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1b31ea770883abac635673dd8ac3539ab012d8f1', 'committer_username': 'jvfe', 'committer_name': 'João Cavalcante', 'committer_email': None, 'commit_date': datetime.datetime(2018, 9, 22, 23, 28, 35, tzinfo=datetime.timezone.utc)}]",João Cavalcante,43506501,,User,,129,,67,60
