pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
654220538,Add storybook,"<!--- Provide a general summary of your changes in the Title above -->

## Description
I have initialized storybook and added some components to it.

## Related Issue
#78 

## Motivation and Context
Users can now play with each components separately and see how UI behave according to that.

## Screenshots (In case of UI changes):
**Click on image to see a enlarge version** 
<img src=""https://user-images.githubusercontent.com/31257148/119729004-c172e580-be91-11eb-9a9c-bcb79d4301ce.PNG "" width=""350"">
<img src=""https://user-images.githubusercontent.com/31257148/119729016-c5066c80-be91-11eb-902f-0ba74675dee4.PNG"" width=""350"">
<img src=""https://user-images.githubusercontent.com/31257148/119729028-c768c680-be91-11eb-88b3-508524adb457.PNG "" width=""350"">



## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [x] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [x] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [x] All new and existing tests passed.",True,79,https://api.github.com/repos/scorelab/Codelabz/pulls/79,https://github.com/scorelab/Codelabz/pull/79,closed,226,2,15,1,0,0,0,0,[],2021-05-26 20:49:50+00:00,2021-05-27 10:41:14+00:00,49884.0,13:51:24,[],"[{'commit_sha': '430ae539dc4941007b0fd5451c5bac1e455c8024', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7
654226886,Add PR templates,"<!--- Provide a general summary of your changes in the Title above -->

## Description
I have add Templates for pull request, feature request and bug report

## Related Issue
#80  

## Motivation and Context
It's better to have PR and issue templates. Good practice for the contributors. Also it make easier to review a PR for the mentors 


## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My code follows the code style of this project.
- [x] My change requires a change to the documentation.
- [x] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.",True,81,https://api.github.com/repos/scorelab/Codelabz/pulls/81,https://github.com/scorelab/Codelabz/pull/81,closed,93,0,3,2,1,2,0,0,[],2021-05-26 20:58:23+00:00,2021-05-28 10:10:06+00:00,133903.0,"1 day, 13:11:43","[{'comment_id': 640336763, 'comment_body': 'Is this template necessary? Feature request template and bug report template is already there with this PR. ', 'comment_created': datetime.datetime(2021, 5, 27, 6, 54, 24, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 640394891, 'comment_body': 'Will remove it.', 'comment_created': datetime.datetime(2021, 5, 27, 8, 20, 15, tzinfo=datetime.timezone.utc), 'commenter': 'ffalpha', 'type': 'User'}]","[{'commit_sha': 'e7fddaf764545eb47be4dfd44939171ce689a59f', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '18cead544a02fdb2d033cb588d2e63faf42aceaf', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7
656665119,Update readme,"<!--- Provide a general summary of your changes in the Title above -->

## Description
Updated readme for the project setup 

## Related Issue
Please refer to #61 

## Motivation and Context
Added instructions in the readme to setup cloud functions. 


## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My code follows the code style of this project.
- [x] My change requires a change to the documentation.
- [x] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,84,https://api.github.com/repos/scorelab/Codelabz/pulls/84,https://github.com/scorelab/Codelabz/pull/84,closed,69,10,1,1,1,0,0,0,[],2021-05-28 15:22:00+00:00,2021-06-07 15:28:06+00:00,864366.0,"10 days, 0:06:06",[],"[{'commit_sha': '0592b482225edb3ee8f4f470fa6e1e1287b4b1cb', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7
612901050,Update REDME.md,Fix #58 ,False,61,https://api.github.com/repos/scorelab/Codelabz/pulls/61,https://github.com/scorelab/Codelabz/pull/61,closed,71,1,1,1,2,0,0,0,[],2021-04-10 13:44:34+00:00,2021-05-28 15:24:23+00:00,4153189.0,"48 days, 1:39:49",[],"[{'commit_sha': '8dfecf053c0e5d775210d4aa40feadd45f5d2df1', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7
656795453,Drop unwanted dependency,"<!--- Provide a general summary of your changes in the Title above -->

## Description
I have fixed the dependency error by removing unwanted dependency

## Related Issue
#85 

## How Has This Been Tested?
Now project can start without any failure 


## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [x] All new and existing tests passed.
",True,86,https://api.github.com/repos/scorelab/Codelabz/pulls/86,https://github.com/scorelab/Codelabz/pull/86,closed,0,1,1,1,1,0,0,0,[],2021-05-28 16:55:02+00:00,2021-06-04 16:52:32+00:00,604650.0,"6 days, 23:57:30",[],"[{'commit_sha': 'ed8e0f8e175f38a91ba3b216ccb848c9a85fe08d', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7

671599066,Convert Orguser Card to Material ui ,"<!--- Provide a general summary of your changes in the Title above -->

## Description
Converted the Org user card and org model to the materil ui. Both components are no longer depend on antd. Checked with all the existing functionality.

## Related Issue
Fix #110 

## How Has This Been Tested?
Everything is working as before 


## Screenshots or GIF (In case of UI changes):
**Click on image to see a enlarge version** 
**Antd - Previous** 
![66](https://user-images.githubusercontent.com/31257148/122246983-a3266580-cee4-11eb-87b9-568caddc1759.PNG)
**Material ui -Current** 
<img src=""https://user-images.githubusercontent.com/31257148/122246990-a4579280-cee4-11eb-8525-2481c6d2b04b.PNG "" width=""350"">
<img src=""https://user-images.githubusercontent.com/31257148/122246996-a6215600-cee4-11eb-902a-64ea99dc2f83.PNG "" width=""350"">
<img src=""https://user-images.githubusercontent.com/31257148/122247433-f4cef000-cee4-11eb-9ddc-7c2e9f17a791.PNG "" width=""350"">

## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [x] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [x] All new and existing tests passed.
",True,109,https://api.github.com/repos/scorelab/Codelabz/pulls/109,https://github.com/scorelab/Codelabz/pull/109,closed,366,240,2,3,2,4,1,0,[{'name': 'gsoc-2021'}],2021-06-16 15:27:38+00:00,2021-06-20 13:42:32+00:00,339294.0,"3 days, 22:14:54","[{'comment_id': 652884683, 'comment_body': 'I think white text would be more readable', 'comment_created': datetime.datetime(2021, 6, 16, 17, 8, 7, tzinfo=datetime.timezone.utc), 'commenter': 'thisuraseniya', 'type': 'User'}, {'comment_id': 652918524, 'comment_body': 'single line', 'comment_created': datetime.datetime(2021, 6, 16, 17, 53, 34, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 652945676, 'comment_body': 'will do', 'comment_created': datetime.datetime(2021, 6, 16, 18, 29, tzinfo=datetime.timezone.utc), 'commenter': 'ffalpha', 'type': 'User'}, {'comment_id': 652956494, 'comment_body': 'okay ', 'comment_created': datetime.datetime(2021, 6, 16, 18, 45, 28, tzinfo=datetime.timezone.utc), 'commenter': 'ffalpha', 'type': 'User'}]","[{'commit_sha': 'e2d4e77687d8a7224d12e02d5daff7e98f1401f9', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e42a20ffc7b34e55e04330c2eb4984bc71694165', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1d74a18d1c6b39f4388ceb4993df5ca0891a82be', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7


672776072,Fix warnings on signin and signup,"<!--- Provide a general summary of your changes in the Title above -->

## Description

- Fixes console warning is Sign up page and login page.  
- Linked signup button to the relevant function

## Related Issue
Fix #111 

## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [x] All new and existing tests passed.
",True,112,https://api.github.com/repos/scorelab/Codelabz/pulls/112,https://github.com/scorelab/Codelabz/pull/112,closed,131,130,5,1,0,0,1,0,[{'name': 'gsoc-2021'}],2021-06-17 15:57:02+00:00,2021-06-29 05:04:55+00:00,997673.0,"11 days, 13:07:53",[],"[{'commit_sha': 'acf41d2fc83223da64cb9fd250fa9c855e7709a9', 'committer_username': 'ffalpha', 'committer_name': 'Kalana Mihiranga', 'committer_email': None, 'commit_date': datetime.datetime(2017, 8, 22, 19, 57, 28, tzinfo=datetime.timezone.utc)}]",Kalana Mihiranga,31257148,,User,,112,,4,7
