pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
965632189,Upgrade project dependencies,Upgrade dependencies and kotlin version number in build.gradle file,True,65,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/65,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/65,closed,239,190,8,1,0,0,0,0,[],2022-06-13 11:53:27+00:00,2022-06-22 09:08:32+00:00,767705.0,"8 days, 21:15:05",[],"[{'commit_sha': '32d2364834d83c6b42e39a4801cb83ddc895bf18', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
974927499,Update flutter environment version in workflows,Updated the flutter environment version in the **.github/workflows/ci.yml** file from `subosito/flutter-action@v1` to `subosito/flutter-action@v2.4.0` to fix the iOS build failure.,True,66,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/66,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/66,closed,3,3,1,1,0,0,0,0,[],2022-06-22 10:50:18+00:00,2022-06-22 15:32:23+00:00,16925.0,4:42:05,[],"[{'commit_sha': 'fc3265d9d4e8141f7ea5fc08e4a6e5c9bca5d49b', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
980351860,Data privacy UI implementation [dialog box ui],"## UI implementation of the dialog boxes to inform the user about the data collected while recording a track.
### Dialog box before starting the track recording 
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142391-00f8e073-399e-4522-886f-8dd6adaf1721.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Dialog box informing about the local track and uploaded track
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142382-3b292ad7-f045-4d4f-9c68-e380f08b7c12.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Confirmatory dialog box for upload track to server
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001418-33d53145-0393-4c0c-b6a6-52dae0d38a20.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001619-8afa3df7-69b0-4e72-82e9-f4cf95af08da.jpeg"" width = ""35%"" height = ""70%""/>
</p>
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001484-4e8bbc7d-592f-4a6d-81c6-49efbdf1973f.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001680-e8b9dee7-27b6-4a60-8f4a-7fc122046ef9.jpeg"" width = ""35%"" height = ""70%""/>
</p>
",True,67,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/67,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/67,closed,604,49,12,5,0,0,0,0,[],2022-06-27 17:38:47+00:00,2022-08-06 07:22:03+00:00,3418996.0,"39 days, 13:43:16",[],"[{'commit_sha': '9ac4f5a3c9c5e7909cdd7e485be99d8ce8a1e4e9', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9ca830faffb7cad92876d8fc742ddb2af9d58bbe', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3da1f3b3be243d69e04dfdb40671d929f1b43e7f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9dd896944db7e37b81f50b7ef9a7c1812e85231f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '923155ca6fc27a8e20b95110e83ce3d407809b4a', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
981673802,Change the disabled widgets background color,"#### The disabled widget background color is changed to gray.

<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176243197-d70f0953-cadb-42d9-84da-93f38377f9e3.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176243204-c57f9b3a-1570-4740-ac21-83359ddfc54d.jpeg"" width = ""35%"" height = ""70%""/>
</p>",True,68,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/68,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/68,closed,6,6,1,1,0,0,0,0,[],2022-06-28 17:08:45+00:00,2022-07-05 12:20:03+00:00,587478.0,"6 days, 19:11:18",[],"[{'commit_sha': '342cf82e148e38137f466e6cfe2621e37e432199', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
980351860,Data privacy UI implementation [dialog box ui],"## UI implementation of the dialog boxes to inform the user about the data collected while recording a track.
### Dialog box before starting the track recording 
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142391-00f8e073-399e-4522-886f-8dd6adaf1721.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Dialog box informing about the local track and uploaded track
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142382-3b292ad7-f045-4d4f-9c68-e380f08b7c12.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Confirmatory dialog box for upload track to server
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001418-33d53145-0393-4c0c-b6a6-52dae0d38a20.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001619-8afa3df7-69b0-4e72-82e9-f4cf95af08da.jpeg"" width = ""35%"" height = ""70%""/>
</p>
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001484-4e8bbc7d-592f-4a6d-81c6-49efbdf1973f.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001680-e8b9dee7-27b6-4a60-8f4a-7fc122046ef9.jpeg"" width = ""35%"" height = ""70%""/>
</p>
",True,67,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/67,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/67,closed,604,49,12,5,0,0,0,0,[],2022-06-27 17:38:47+00:00,2022-08-06 07:22:03+00:00,3418996.0,"39 days, 13:43:16",[],"[{'commit_sha': '9ac4f5a3c9c5e7909cdd7e485be99d8ce8a1e4e9', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9ca830faffb7cad92876d8fc742ddb2af9d58bbe', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3da1f3b3be243d69e04dfdb40671d929f1b43e7f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9dd896944db7e37b81f50b7ef9a7c1812e85231f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '923155ca6fc27a8e20b95110e83ce3d407809b4a', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
993410449,Data privacy and control settings screen,"### Profile Screen
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/179338915-7d96933c-6ed5-48a1-89e1-3eab0e3b4331.jpeg"" width = ""35%"" height = ""70%"">&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/179338920-16225e03-d810-4853-b2af-9ad9b6f0375c.jpeg"" width = ""35%"" height = ""70%"">
</p>

##

### Data Privacy Control & Settings Screen
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/179339074-2814114e-38f8-4b80-942b-2ecaa7af387a.jpeg"" width = ""35%"" height = ""70%"">&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/179339086-81178dc9-29d1-4768-a894-a0c717279f30.jpeg"" width = ""35%"" height = ""70%"">
</p>",True,69,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/69,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/69,closed,145,0,6,1,0,0,0,0,[],2022-07-11 18:16:50+00:00,2022-07-28 11:46:53+00:00,1445403.0,"16 days, 17:30:03",[],"[{'commit_sha': '14012cc1a40bc7756ba7ccd37773d7f21095259e', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
993411167,Fix null object reference error on uploaded track screen,"Due to ``` null ``` data in some of the instances of the track model, the google map was not loading on the track screen.",True,70,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/70,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/70,closed,7,1,1,1,0,0,0,0,[],2022-07-11 18:17:41+00:00,2022-07-28 11:46:38+00:00,1445337.0,"16 days, 17:28:57",[],"[{'commit_sha': '62036883af4a9901406791ad10aa18d114954ad5', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
980351860,Data privacy UI implementation [dialog box ui],"## UI implementation of the dialog boxes to inform the user about the data collected while recording a track.
### Dialog box before starting the track recording 
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142391-00f8e073-399e-4522-886f-8dd6adaf1721.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Dialog box informing about the local track and uploaded track
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/182142382-3b292ad7-f045-4d4f-9c68-e380f08b7c12.jpeg"" width = ""35%"" height = ""70%""/>
</p>

### Confirmatory dialog box for upload track to server
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001418-33d53145-0393-4c0c-b6a6-52dae0d38a20.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001619-8afa3df7-69b0-4e72-82e9-f4cf95af08da.jpeg"" width = ""35%"" height = ""70%""/>
</p>
<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/176001484-4e8bbc7d-592f-4a6d-81c6-49efbdf1973f.jpeg"" width = ""35%"" height = ""70%""/>&nbsp &nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/176001680-e8b9dee7-27b6-4a60-8f4a-7fc122046ef9.jpeg"" width = ""35%"" height = ""70%""/>
</p>
",True,67,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/67,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/67,closed,604,49,12,5,0,0,0,0,[],2022-06-27 17:38:47+00:00,2022-08-06 07:22:03+00:00,3418996.0,"39 days, 13:43:16",[],"[{'commit_sha': '9ac4f5a3c9c5e7909cdd7e485be99d8ce8a1e4e9', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9ca830faffb7cad92876d8fc742ddb2af9d58bbe', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3da1f3b3be243d69e04dfdb40671d929f1b43e7f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9dd896944db7e37b81f50b7ef9a7c1812e85231f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '923155ca6fc27a8e20b95110e83ce3d407809b4a', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
1060955060,UI for FAQs Screen,"## UI Implementation of the FAQs Screen

<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/191146074-7ab6a9f3-5b37-47ed-be9a-a47a1fcc191a.jpeg"" width = ""30%"" height = ""55%""/>
&nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/191146077-1b5c2e6b-26fe-4671-a31f-4b38c16a2505.jpeg"" width = ""30%"" height = ""55%""/>
&nbsp
<img src = ""https://user-images.githubusercontent.com/55757584/191146080-32590b3d-25a3-408d-9900-862d2e33d40f.jpeg"" width = ""30%"" height = ""55%""/>
</p>",True,71,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/71,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/71,closed,201,34,17,2,0,0,0,0,[],2022-09-20 01:18:35+00:00,2022-09-21 07:59:06+00:00,110431.0,"1 day, 6:40:31",[],"[{'commit_sha': '0276f29b3b53c2a1782f6ac1f6609501d944b983', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '44527145c9487631e0745d79977a0c984127634f', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
1063044329,notification badge ui on dashboard screen,"<p align = ""center"">
<img src = ""https://user-images.githubusercontent.com/55757584/191543734-0f47376d-3ad1-414d-a3f0-d5cd0a751bb9.jpeg"" width = ""30%"" height = ""55%""/>
</p>",True,73,https://api.github.com/repos/enviroCar/enviroCar-Cross-Platform-App/pulls/73,https://github.com/enviroCar/enviroCar-Cross-Platform-App/pull/73,closed,71,9,2,2,0,0,0,0,[],2022-09-21 15:45:14+00:00,2022-09-22 14:56:05+00:00,83451.0,23:10:51,[],"[{'commit_sha': '10562eb0c98cae3b97b06db0d8e25b74c482aa53', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}, {'commit_sha': '60e62722d29e8c383405a007be36905ea6a22718', 'committer_username': 'KhyatiSaini', 'committer_name': None, 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 24, 16, 27, 4, tzinfo=datetime.timezone.utc)}]",,55757584,,User,,44,,230,173
