pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
969382293,Add App.less in Storybook App,"Added App.less in Storybook App.

Issue #298 ",True,299,https://api.github.com/repos/scorelab/Codelabz/pulls/299,https://github.com/scorelab/Codelabz/pull/299,closed,33,16,5,5,0,0,1,0,[{'name': 'GSOC 2022'}],2022-06-16 14:14:50+00:00,2022-06-20 07:54:18+00:00,322768.0,"3 days, 17:39:28",[],"[{'commit_sha': 'c60761447ad0fee216edf549cb987476affe1518', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'c2d04910740c6dd153ba14694bc83e0c5ca0d4fb', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '675a71cf640ad38cdd3d668b52bbbbaba7792e7d', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ee986b57bf6ce62a8713ade0503df70965896ec8', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c0d0379ee4660eb09ed0c16228f6d07dd56eba7a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
970935037,[Storybook]Create components for Topbar and Toolbars #293,"Create components for Topbar and Toolbars from issue #293 

## Screenshots or GIF (In case of UI changes):
![Issue293Storybook2](https://user-images.githubusercontent.com/73013838/174394493-f3d56fc0-07c7-480d-950e-e74905cd49c7.gif)




## Types of changes
- [x] New feature (non-breaking change which adds functionality)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,302,https://api.github.com/repos/scorelab/Codelabz/pulls/302,https://github.com/scorelab/Codelabz/pull/302,closed,786,30,20,6,0,6,1,0,[{'name': 'GSOC 2022'}],2022-06-17 19:30:50+00:00,2022-06-26 16:39:58+00:00,767348.0,"8 days, 21:09:08","[{'comment_id': 900694274, 'comment_body': 'is this `theme` variable used in the code? can you double check?', 'comment_created': datetime.datetime(2022, 6, 18, 4, 10, 8, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 900706941, 'comment_body': ""Sorry this isn't used in the app currently. I added this to test the theme in the website"", 'comment_created': datetime.datetime(2022, 6, 18, 6, 48, 25, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}, {'comment_id': 901086976, 'comment_body': 'Revert these changes. Do not use single quotes.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 0, 45, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087483, 'comment_body': 'Use double quotes. Please use prettier or some kind of beautifier.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 4, 27, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087531, 'comment_body': 'Same comment as above.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 4, 52, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087590, 'comment_body': 'Double quotes.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 5, 37, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}]","[{'commit_sha': '3668ca618602841c6f9ba155e93b3ec6eab42d22', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '4a470de8d2ff26e883a52780e2a93f19c82510c8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '0bb0cd3c89008b2d8d0a9b01564e210ec2511ef9', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '9e5a5f0430d98a75e79bd9ba42f2bc776bbdc2d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ab80129d4c1582afaff38fcb88e34e0b11d3d6d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'cb77b4928ef0be91cf7fe7e5393359902e9245f3', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
970960420,Setup ThemeProvider,"Setup Theme Provider in Storybook and Codelabz app as per new UI

Issue #300 

## Related Issue
Setup Theme Provider

## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,303,https://api.github.com/repos/scorelab/Codelabz/pulls/303,https://github.com/scorelab/Codelabz/pull/303,closed,26,9,3,4,0,2,1,0,[{'name': 'GSOC 2022'}],2022-06-17 20:11:17+00:00,2022-06-28 14:43:32+00:00,930735.0,"10 days, 18:32:15","[{'comment_id': 900694903, 'comment_body': 'your #302 pr has another `theme` variable with exact `palette.primary.main` value in `src/index.js` file. can you check again?', 'comment_created': datetime.datetime(2022, 6, 18, 4, 17, 37, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 900707363, 'comment_body': 'I added in #302  to test in the app. I have removed it from that pr. \r\n#303 has theme setup', 'comment_created': datetime.datetime(2022, 6, 18, 6, 53, 9, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}]","[{'commit_sha': '41f096e1151416384474c2f0b518556924535582', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '5155549646dbc9d9f0130bb494008197163d01aa', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '686a687d15a88aaad50fc74abcbee2e5680810d5', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '02b7d57422ec7fc15b5e66052fbf9d8838026063', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
973729396,[Storybook]Develop Organization Users component,"Organization Users Component 


## Related Issue
#289 


## Screenshots or GIF (In case of UI changes):
![Peek 2022-06-21 20-53](https://user-images.githubusercontent.com/73013838/174838410-b61e179f-c60a-40fd-842b-c0f550133723.gif)


## Types of changes
- [X] New feature (non-breaking change which adds functionality)

## Checklist:

- [X] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,309,https://api.github.com/repos/scorelab/Codelabz/pulls/309,https://github.com/scorelab/Codelabz/pull/309,closed,376,0,4,2,0,0,1,0,[{'name': 'GSOC 2022'}],2022-06-21 15:29:18+00:00,2022-06-26 16:40:25+00:00,436267.0,"5 days, 1:11:07",[],"[{'commit_sha': 'd07e315aa138b60858f3d48e40f5f3f149669f2b', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'f97332ec1245f7f05fc385472c863e0abb07ec15', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
978304891,[Web] Create components for Topbar and Toolbars,"Navbar Setup for #293 

This PR is parent to #302 

## Screenshots or GIF (In case of UI changes):
![Peek 2022-06-24 18-16](https://res.cloudinary.com/dbfzrf8v1/image/upload/v1656075324/Peek_2022-06-24_18-16_izsc9j.gif)



## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [X] New feature (non-breaking change which adds functionality)

## Checklist:
- [X] My code follows the code style of this project.
",True,316,https://api.github.com/repos/scorelab/Codelabz/pulls/316,https://github.com/scorelab/Codelabz/pull/316,closed,1106,206,24,8,0,4,1,0,[{'name': 'GSOC 2022'}],2022-06-24 12:54:32+00:00,2022-06-26 16:39:56+00:00,186324.0,"2 days, 3:45:24","[{'comment_id': 906106107, 'comment_body': 'why is the lines are commented? any reason?', 'comment_created': datetime.datetime(2022, 6, 24, 14, 11, 50, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 906144573, 'comment_body': 'Can you move it to another file so that our code keep clean. Leaving a large chunk of commented code is not nice noh.', 'comment_created': datetime.datetime(2022, 6, 24, 14, 54, 29, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 906147553, 'comment_body': 'Okay, Got it suree', 'comment_created': datetime.datetime(2022, 6, 24, 14, 57, 36, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}, {'comment_id': 906151134, 'comment_body': 'Done!', 'comment_created': datetime.datetime(2022, 6, 24, 15, 1, 35, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}]","[{'commit_sha': '3668ca618602841c6f9ba155e93b3ec6eab42d22', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '4a470de8d2ff26e883a52780e2a93f19c82510c8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '0bb0cd3c89008b2d8d0a9b01564e210ec2511ef9', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '9e5a5f0430d98a75e79bd9ba42f2bc776bbdc2d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ab80129d4c1582afaff38fcb88e34e0b11d3d6d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'cb77b4928ef0be91cf7fe7e5393359902e9245f3', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '01ff7a78247f5f71fc6576c3829db29218012ebd', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ff9b6a7f2b3b98cdd4927b58b397fba552936f9a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
970935037,[Storybook]Create components for Topbar and Toolbars #293,"Create components for Topbar and Toolbars from issue #293 

## Screenshots or GIF (In case of UI changes):
![Issue293Storybook2](https://user-images.githubusercontent.com/73013838/174394493-f3d56fc0-07c7-480d-950e-e74905cd49c7.gif)




## Types of changes
- [x] New feature (non-breaking change which adds functionality)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,302,https://api.github.com/repos/scorelab/Codelabz/pulls/302,https://github.com/scorelab/Codelabz/pull/302,closed,786,30,20,6,0,6,1,0,[{'name': 'GSOC 2022'}],2022-06-17 19:30:50+00:00,2022-06-26 16:39:58+00:00,767348.0,"8 days, 21:09:08","[{'comment_id': 900694274, 'comment_body': 'is this `theme` variable used in the code? can you double check?', 'comment_created': datetime.datetime(2022, 6, 18, 4, 10, 8, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 900706941, 'comment_body': ""Sorry this isn't used in the app currently. I added this to test the theme in the website"", 'comment_created': datetime.datetime(2022, 6, 18, 6, 48, 25, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}, {'comment_id': 901086976, 'comment_body': 'Revert these changes. Do not use single quotes.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 0, 45, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087483, 'comment_body': 'Use double quotes. Please use prettier or some kind of beautifier.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 4, 27, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087531, 'comment_body': 'Same comment as above.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 4, 52, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}, {'comment_id': 901087590, 'comment_body': 'Double quotes.', 'comment_created': datetime.datetime(2022, 6, 19, 11, 5, 37, tzinfo=datetime.timezone.utc), 'commenter': 'shehand', 'type': 'User'}]","[{'commit_sha': '3668ca618602841c6f9ba155e93b3ec6eab42d22', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '4a470de8d2ff26e883a52780e2a93f19c82510c8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '0bb0cd3c89008b2d8d0a9b01564e210ec2511ef9', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '9e5a5f0430d98a75e79bd9ba42f2bc776bbdc2d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ab80129d4c1582afaff38fcb88e34e0b11d3d6d1', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'cb77b4928ef0be91cf7fe7e5393359902e9245f3', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
987767251,Add Firebase.json config and add logs to gitignore,"## Description
Add Generated logs, indexes etc files to gitignore

## Related Issue
Issue #330 

## Motivation and Context
Firebase Emulator Generates log files that are to be ignored on commit

## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [X] Bug fix (non-breaking change which fixes an issue)

## Checklist:
- [X] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,331,https://api.github.com/repos/scorelab/Codelabz/pulls/331,https://github.com/scorelab/Codelabz/pull/331,closed,59,8,2,2,0,0,1,0,[{'name': 'GSOC 2022'}],2022-07-05 19:22:53+00:00,2022-07-06 13:00:53+00:00,63480.0,17:38:00,[],"[{'commit_sha': '473d7f5347fb31c933f2f55cc4afcee406ce0be4', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': 'ac1044db12a4643dd02d57b36354172fe6473723', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
990599354,Responsive Organization Cards and Delete,"
## Description
Added responsiveness to Organization Cards and Delete Card

## Related Issue
Issue #329 


## How Has This Been Tested?
Not yet, the components will be tested when Integrated with the webapp

## Screenshots or GIF (In case of UI changes):
![sNCh5SlGpb](https://user-images.githubusercontent.com/73013838/177836756-e8ef2500-e61d-42a0-8384-60f997459d0a.gif)

## Types of changes
- [X] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
- [X] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,332,https://api.github.com/repos/scorelab/Codelabz/pulls/332,https://github.com/scorelab/Codelabz/pull/332,closed,45,7,3,3,0,0,1,0,[{'name': 'GSOC 2022'}],2022-07-07 17:45:50+00:00,2022-07-09 10:44:07+00:00,147497.0,"1 day, 16:58:17",[],"[{'commit_sha': '7566abc23b651c00c174dd14447262b4d4314309', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '8544d3ad905b15bb1414a2aa54a20e34de49f83f', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '41abb4d877a50bea7d902aea7c5078e38ae5bcc8', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
991732194,Fix Cypress Tests Fail on Firebase Emulator,"Fix Cypress Tests failing on firebase Emulator

## Description
Issue #334 



## How Has This Been Tested?
Yes

## Screenshots or GIF (In case of UI changes):
### Before Fix
After auth it keeps on loading, resulting in failing many tests
![beforefix](https://user-images.githubusercontent.com/73013838/178011828-92bb536d-de0f-4e91-9f47-7263e1b4fc7c.gif)

### After Fix
![afterfix](https://user-images.githubusercontent.com/73013838/178011900-b3b2e149-d765-45c6-9d77-a6bd1fa6c3dc.gif)


## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [X] Bug fix (non-breaking change which fixes an issue)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [X] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,335,https://api.github.com/repos/scorelab/Codelabz/pulls/335,https://github.com/scorelab/Codelabz/pull/335,closed,8,3,1,1,0,0,1,0,[{'name': 'GSOC 2022'}],2022-07-08 14:27:21+00:00,2022-07-09 05:45:23+00:00,55082.0,15:18:02,[],"[{'commit_sha': '1dcac3b1b3afeccaa033c8f7136273e9d6ee4ffb', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
992286898,Add Navbar Tests,"

## Description
Fixed navbar tests in Codelabz

## Related Issue
#333 

## How Has This Been Tested?
![ynu9AVTPwj](https://user-images.githubusercontent.com/73013838/178118943-8d3feca9-c1bc-4f5f-a282-82d8cd7afd77.gif)


## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [X] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [X] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [X] I have added tests to cover my changes.
- [ ] All new and existing tests passed.
",True,336,https://api.github.com/repos/scorelab/Codelabz/pulls/336,https://github.com/scorelab/Codelabz/pull/336,closed,27,13,6,7,0,2,1,0,[{'name': 'GSOC 2022'}],2022-07-09 18:46:09+00:00,2022-07-10 20:15:10+00:00,91741.0,"1 day, 1:29:01","[{'comment_id': 917399373, 'comment_body': 'is this `[data-testid=navbarNonloggedIn]` id used in other tests as well?', 'comment_created': datetime.datetime(2022, 7, 10, 13, 50, 31, tzinfo=datetime.timezone.utc), 'commenter': 'Niweera', 'type': 'User'}, {'comment_id': 917432607, 'comment_body': ""No, I think don't the ```[data-testid=navbarNonloggedIn]``` is used anywhere else for testing\r\n\r\nits just that there were warnings on console while using ```data-testId``` than ```data-testid```"", 'comment_created': datetime.datetime(2022, 7, 10, 18, 42, 30, tzinfo=datetime.timezone.utc), 'commenter': 'Sarfraz-droid', 'type': 'User'}]","[{'commit_sha': '56d2fac59e5d0c1b9f148fce2771fe584829e48a', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '29ef11fa94d73cff95aa4db9d72968d5f4b78ab4', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a98d82d36334ab59d09851b4d22c51b4622f2975', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'fc79798c69189e9de58935e0d9646033681fab8f', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '256e2a358e6eeb8a628f98297af1b8270312d31c', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '5d36c46d56324a4bcc8b2486dce7f28cd46d0bd9', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3f051555f55738fc5a7afe1df4aa3a8e4ae2a4c9', 'committer_username': 'Sarfraz-droid', 'committer_name': 'MOHAMMAD SARFRAZ ALAM', 'committer_email': None, 'commit_date': datetime.datetime(2020, 10, 17, 6, 56, tzinfo=datetime.timezone.utc)}]",MOHAMMAD SARFRAZ ALAM,73013838,,User,,179,,51,70
