pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
975258098,Querying the API directly without using the Neon Utilities,"This PR adds functions for retrieving the NEON VST Data without using the neon-utilities R package as described in the issue https://github.com/weecology/neonVegWrangleR/issues/7 
It will add the following functions:

- [x] loadbyproduct
- [x] zipsbyproduct
- [x] stackbytable

",True,6,https://api.github.com/repos/weecology/neonwranglerpy/pulls/6,https://github.com/weecology/neonwranglerpy/pull/6,closed,233,1,11,4,2,0,1,0,[{'name': 'GSoC'}],2022-06-22 15:05:41+00:00,2022-06-28 17:56:38+00:00,528657.0,"6 days, 2:50:57",[],"[{'commit_sha': 'bd52ab0ef50b346901b177b1d3ca09b6ae0fd572', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c71b80367669af732aec1344fd0371d72d502b14', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7e9a433c0f56c802dad27510d9a5fad7f8c10f26', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9cf2040949326914732bb2e3b2cda3b2a13243d3', 'committer_username': 'MarconiS', 'committer_name': 'Sergio Marconi', 'committer_email': None, 'commit_date': datetime.datetime(2015, 3, 24, 23, 4, 12, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1002491986,Adds utils functions,Part of PR #9 ,True,14,https://api.github.com/repos/weecology/neonwranglerpy/pulls/14,https://github.com/weecology/neonwranglerpy/pull/14,closed,26,0,2,2,1,0,1,0,[{'name': 'GSoC'}],2022-07-20 16:05:13+00:00,2022-07-20 18:09:20+00:00,7447.0,2:04:07,[],"[{'commit_sha': '3338efe901ca025e726408651219645597fcc35d', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '40f27eedddc5669a0a630aec35538ac462afa37e', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
999819812,Adds tools function,Part of #9 ,True,13,https://api.github.com/repos/weecology/neonwranglerpy/pulls/13,https://github.com/weecology/neonwranglerpy/pull/13,closed,62,1,2,2,2,0,1,0,[{'name': 'GSoC'}],2022-07-18 19:31:39+00:00,2022-07-20 15:39:35+00:00,158876.0,"1 day, 20:07:56",[],"[{'commit_sha': '9e2af4e51b315750e1bd998118d215131c9ff250', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '86bec2dc0582936acd8eacec31f89eaf0dda9778', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
999819812,Adds tools function,Part of #9 ,True,13,https://api.github.com/repos/weecology/neonwranglerpy/pulls/13,https://github.com/weecology/neonwranglerpy/pull/13,closed,62,1,2,2,2,0,1,0,[{'name': 'GSoC'}],2022-07-18 19:31:39+00:00,2022-07-20 15:39:35+00:00,158876.0,"1 day, 20:07:56",[],"[{'commit_sha': '9e2af4e51b315750e1bd998118d215131c9ff250', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '86bec2dc0582936acd8eacec31f89eaf0dda9778', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1004153305,Adds stackdatafiles function,Part of PR #9. Till now I have added stackdatafiles function which will do the stacking of the dataset files.,True,15,https://api.github.com/repos/weecology/neonwranglerpy/pulls/15,https://github.com/weecology/neonwranglerpy/pull/15,closed,142,30,3,3,0,0,1,1,[{'name': 'GSoC'}],2022-07-21 12:49:41+00:00,2022-07-21 15:57:51+00:00,11290.0,3:08:10,[],"[{'commit_sha': '4880b16cbee598c9e03a237e773619d00a41bf40', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '10dae1716fe74f20e841c6f986f1a571f66cb6af', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6d0288fd277ea393ad6e9f02cfd9892d16bbc1e2', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1006466829,adds check for multiple sites,"@MarconiS, I have added checks for multiple site entries. Now we can download dataset for multiple sites and also stacks them at an instance. for e.g. 
```
path = zips_by_product('DP1.10098.001', site=['DELA','ABBY'], start_date='', end_date='')
stackedfiles = stackdatafiles(path, path, 'DP1.10098.001')
```
can you pls test this in your system.",True,17,https://api.github.com/repos/weecology/neonwranglerpy/pulls/17,https://github.com/weecology/neonwranglerpy/pull/17,closed,5,1,1,1,0,0,1,0,[{'name': 'GSoC'}],2022-07-24 04:40:55+00:00,2022-07-25 16:17:02+00:00,128167.0,"1 day, 11:36:07",[],"[{'commit_sha': 'f0e0ee639e5665879c64a2589ece0ece7ca9daa9', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1006391496,adds table_type.csv,,True,16,https://api.github.com/repos/weecology/neonwranglerpy/pulls/16,https://github.com/weecology/neonwranglerpy/pull/16,closed,551,8,4,1,0,0,1,0,[{'name': 'GSoC'}],2022-07-23 17:31:31+00:00,2022-07-23 21:23:12+00:00,13901.0,3:51:41,[],"[{'commit_sha': '9be21d34a2b419c77555e7d3487fab88706cf032', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1024412630,Translates VST related functions from neonVegWrangleR,"Adds following functions: 
- retrieve_dist_to_utm
- retrieve_coords_itc
- retrieve_vst_data",True,25,https://api.github.com/repos/weecology/neonwranglerpy/pulls/25,https://github.com/weecology/neonwranglerpy/pull/25,closed,137,0,4,5,0,0,0,0,[],2022-08-11 23:32:25+00:00,2022-08-12 13:47:28+00:00,51303.0,14:15:03,[],"[{'commit_sha': '93674f5e66e5d0c876e709ad047976667ed2393c', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '970ad3f352d8eb12e4d191ac6df91f9b53706091', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '917b6d46de5d95fe7590e6dc16c158a0cc5ed797', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '965b3971400ca83042793f404dd43468ab487b6b', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '66861f7f74b0d11b3d73c0de74d80eb53a85b539', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1024412630,Translates VST related functions from neonVegWrangleR,"Adds following functions: 
- retrieve_dist_to_utm
- retrieve_coords_itc
- retrieve_vst_data",True,25,https://api.github.com/repos/weecology/neonwranglerpy/pulls/25,https://github.com/weecology/neonwranglerpy/pull/25,closed,137,0,4,5,0,0,0,0,[],2022-08-11 23:32:25+00:00,2022-08-12 13:47:28+00:00,51303.0,14:15:03,[],"[{'commit_sha': '93674f5e66e5d0c876e709ad047976667ed2393c', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '970ad3f352d8eb12e4d191ac6df91f9b53706091', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '917b6d46de5d95fe7590e6dc16c158a0cc5ed797', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '965b3971400ca83042793f404dd43468ab487b6b', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '66861f7f74b0d11b3d73c0de74d80eb53a85b539', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
1031620676,Adds ALL_NEON_TOS_Plots_V9 data,"Adds shapefiles and csv files used by  ```retrieve_vst_data``` function.
@henrykironde is it fine by adding large files directly or should I zip/compress them?",True,29,https://api.github.com/repos/weecology/neonwranglerpy/pulls/29,https://github.com/weecology/neonwranglerpy/pull/29,closed,90837,1,8,2,1,0,0,0,[],2022-08-19 22:57:31+00:00,2022-09-09 22:24:20+00:00,1812409.0,"20 days, 23:26:49",[],"[{'commit_sha': 'b861461e95b0d618eba936ae21d9baf2c252297a', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}, {'commit_sha': '12071421809ccb2f6a794d777204ae50d6384421', 'committer_username': 'Nageshbansal', 'committer_name': 'Nageshbansal', 'committer_email': None, 'commit_date': datetime.datetime(2020, 12, 19, 10, 2, 9, tzinfo=datetime.timezone.utc)}]",Nageshbansal,76246968,,User,,58,,78,51
