pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
913512326,[GSOC][TMVA][SOFIE]Adding a Leaky Relu ONNX Operator,"# This Pull request: This Pull request adds a new ONNX operator Leaky Relu.


",True,10415,https://api.github.com/repos/root-project/root/pulls/10415,https://github.com/root-project/root/pull/10415,closed,176,0,9,2,25,5,0,1,[],2022-04-19 20:32:15+00:00,2022-06-13 17:12:17+00:00,4740002.0,"54 days, 20:40:02","[{'comment_id': 860305735, 'comment_body': 'Can we parameterise the alpha value instead of fixing it to 0.01 here?\r\nI believe ONNX Operators standards expects an alpha attribute.\r\nhttps://github.com/onnx/onnx/blob/6a43e97e025422d50f9d38be71d49ddee667742b/docs/Operators.md#LeakyRelu', 'comment_created': datetime.datetime(2022, 4, 27, 23, 0, 34, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 883081255, 'comment_body': 'Hello, @sanjibansg and @lmoneta I have added the alpha attribute to this PR, Kindly review it and suggest any changes if needed. Thanks!', 'comment_created': datetime.datetime(2022, 5, 26, 21, 2, 51, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 888925508, 'comment_body': 'You need to define length here. You can use this function defined in SOFIE_common.hxx ,\r\n`convertShapeToLength(fShape)`\r\n', 'comment_created': datetime.datetime(2022, 6, 3, 13, 5, 5, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 888931026, 'comment_body': 'The warning before was in the generated code, you should check there why a length variable was defined and not used\r\n', 'comment_created': datetime.datetime(2022, 6, 3, 13, 12, 11, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}]","[{'commit_sha': '570f6681238eb7b9fc6df068b01c07f64e76bf3f', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '580e0d9dff1ab6e5c22f974b40278f756c550167', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
887991242,Updated RModelParser_PyTorch.cxx -Fixes the bug related to build,"# This Pull request: Fixes the bug to build ROOT in Ubuntu 20.04
![image](https://user-images.githubusercontent.com/84740927/159856024-8b399e36-d835-4726-b6dc-9d1a5b90dbc3.png)

The above bug was noticed by me when i was building root in my local computer. This can be resolved by just removing example_outputs argument from PyRunString function over [here](https://github.com/root-project/root/blob/master/tmva/pymva/src/RModelParser_PyTorch.cxx#L422)

## Changes or fixes:
Bug-issue related to build

## Checklist:

- [x] tested changes locally
- [ ] updated the docs (if necessary)



",True,10223,https://api.github.com/repos/root-project/root/pulls/10223,https://github.com/root-project/root/pull/10223,closed,1,3,1,2,3,4,0,1,[],2022-03-24 06:36:36+00:00,2022-04-05 09:56:56+00:00,1048820.0,"12 days, 3:20:20","[{'comment_id': 836255701, 'comment_body': 'Should then remove this line 418 since output is not used anymore ?', 'comment_created': datetime.datetime(2022, 3, 28, 9, 58, 23, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 836276291, 'comment_body': 'It was deprecated in v1.10 (https://github.com/pytorch/pytorch/pull/62815) and was completely removed with this PR https://github.com/pytorch/pytorch/pull/67082 for v1.11, but I think it was a required argument in the earlier versions. ', 'comment_created': datetime.datetime(2022, 3, 28, 10, 23, 21, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 836288465, 'comment_body': 'Thanks Sanjibang. I will check the PR with an older PyTorch version', 'comment_created': datetime.datetime(2022, 3, 28, 10, 39, 8, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 836307669, 'comment_body': 'I have removed the line 418 as suggested. Thankyou.', 'comment_created': datetime.datetime(2022, 3, 28, 11, 4, 24, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}]","[{'commit_sha': 'cb144c0f3939dd5a357fe9cba748d1d44ed395cd', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'b79e4170f09270fdb9abe58bf98b52d3a8b248c0', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
915662008,[GSOC][TMVA][SOFIE] Some error messages and spelling mistakes fixed related to operators,"This Pull request: fixes some error messages and spelling mistakes in operators 

## Checklist:

- [X] tested changes locally
- [ ] updated the docs (if necessary)


",True,10435,https://api.github.com/repos/root-project/root/pulls/10435,https://github.com/root-project/root/pull/10435,closed,183,183,6,2,16,2,2,1,"[{'name': 'in:Documentation'}, {'name': 'in:TMVA'}]",2022-04-21 18:20:53+00:00,2022-06-30 07:34:16+00:00,6009203.0,"69 days, 13:13:23","[{'comment_id': 886650042, 'comment_body': 'The indentation here should be only 3 spaces and no tabs. \r\nI think also above is not correct. Could you add this fix too, please ? ', 'comment_created': datetime.datetime(2022, 6, 1, 10, 33, 2, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 887931925, 'comment_body': 'Yes Done.', 'comment_created': datetime.datetime(2022, 6, 2, 13, 7, 56, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}]","[{'commit_sha': 'df27a8d2454fa31dced7154250795fcdfda8f459', 'committer_username': '', 'committer_name': '', 'committer_email': '', 'commit_date': ''}, {'commit_sha': '5fe9750abaa723f281368b9c946e1fffa7414465', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
901610000,Fixed some Typos and Indentation issues in ROperator_Pool.hxx ,"# This Pull request: fixes some typing errors and indentation issues in ROperator_Pool.hxx

## Checklist:

- [x] tested changes locally
- [ ] updated the docs (if necessary)



",True,10342,https://api.github.com/repos/root-project/root/pulls/10342,https://github.com/root-project/root/pull/10342,closed,5,5,1,1,1,0,0,0,[],2022-04-06 14:53:25+00:00,2022-04-11 07:20:13+00:00,404808.0,"4 days, 16:26:48",[],"[{'commit_sha': 'd53e2a216ad74df17556e02828e754ff2114ec3e', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
913512326,[GSOC][TMVA][SOFIE]Adding a Leaky Relu ONNX Operator,"# This Pull request: This Pull request adds a new ONNX operator Leaky Relu.


",True,10415,https://api.github.com/repos/root-project/root/pulls/10415,https://github.com/root-project/root/pull/10415,closed,176,0,9,2,25,5,0,1,[],2022-04-19 20:32:15+00:00,2022-06-13 17:12:17+00:00,4740002.0,"54 days, 20:40:02","[{'comment_id': 860305735, 'comment_body': 'Can we parameterise the alpha value instead of fixing it to 0.01 here?\r\nI believe ONNX Operators standards expects an alpha attribute.\r\nhttps://github.com/onnx/onnx/blob/6a43e97e025422d50f9d38be71d49ddee667742b/docs/Operators.md#LeakyRelu', 'comment_created': datetime.datetime(2022, 4, 27, 23, 0, 34, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 883081255, 'comment_body': 'Hello, @sanjibansg and @lmoneta I have added the alpha attribute to this PR, Kindly review it and suggest any changes if needed. Thanks!', 'comment_created': datetime.datetime(2022, 5, 26, 21, 2, 51, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 888925508, 'comment_body': 'You need to define length here. You can use this function defined in SOFIE_common.hxx ,\r\n`convertShapeToLength(fShape)`\r\n', 'comment_created': datetime.datetime(2022, 6, 3, 13, 5, 5, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 888931026, 'comment_body': 'The warning before was in the generated code, you should check there why a length variable was defined and not used\r\n', 'comment_created': datetime.datetime(2022, 6, 3, 13, 12, 11, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}]","[{'commit_sha': '570f6681238eb7b9fc6df068b01c07f64e76bf3f', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '580e0d9dff1ab6e5c22f974b40278f756c550167', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
968909135,[GSOC][TMVA][SOFIE] Fixed the implementation of MaxPool ONNX operator for 1d and 3d case ,"# This Pull request: Fixes the Implementation of Max Pool operator for 1d and 3d cases.
Earlier it was giving a runtime error for 1d and 3d cases of Max Pool operator. 
Error is described here.
![image](https://user-images.githubusercontent.com/84740927/174000876-7cd1e82c-86b8-4713-bf11-ef36f66912a1.png)
I have also added the unit test for Max Pool 1d and 3d Operator.

## Checklist:

- [X] tested changes locally
- [ ] updated the docs (if necessary)



",True,10768,https://api.github.com/repos/root-project/root/pulls/10768,https://github.com/root-project/root/pull/10768,closed,455,103,10,13,13,6,0,1,[],2022-06-16 05:53:53+00:00,2022-06-29 17:30:37+00:00,1165004.0,"13 days, 11:36:44","[{'comment_id': 909690257, 'comment_body': 'structure that contains Pool attribute', 'comment_created': datetime.datetime(2022, 6, 29, 14, 13, 58, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 909692143, 'comment_body': 'support only input tensors with dim=3,4,5', 'comment_created': datetime.datetime(2022, 6, 29, 14, 15, 18, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 909699689, 'comment_body': 'it should be intermediate', 'comment_created': datetime.datetime(2022, 6, 29, 14, 18, 29, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 910193585, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 29, 16, 47, 20, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 910194834, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 29, 16, 48, 46, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 910195011, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 29, 16, 48, 56, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}]","[{'commit_sha': '315102d5828c7d529cf220c6fff592caa4720386', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'eebdc002d05c5425e02c5dd5776466f55f31d5a7', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '651fe62363e781933512d7024084e8ffba721b68', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a84bd494b36853ae03834aacada0df113fff1141', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'fec53700e14bbccd6426d28ffeb197cf98c7c3a4', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd37f1fab80dba138dc107f265a600710f8ed2a77', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9b96b9d9e877acd143572d6c593a447076f0aeeb', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '12a5b1b87757368a211a5fc7be19a63673a6e2de', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3936850274e8c6ce49fcb011bd9d2677c2a29840', 'committer_username': 'lmoneta', 'committer_name': 'Lorenzo Moneta', 'committer_email': None, 'commit_date': datetime.datetime(2013, 8, 12, 12, 31, 59, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8db1fc87066a0c09f309eb712966108512bb122c', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c42c4ac19a4e237341d7c96228a1ce9c2cf5dbd7', 'committer_username': 'lmoneta', 'committer_name': 'Lorenzo Moneta', 'committer_email': None, 'commit_date': datetime.datetime(2013, 8, 12, 12, 31, 59, tzinfo=datetime.timezone.utc)}, {'commit_sha': '062b3b0752a495bbb2292dde28ed8697d2190a6d', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '2ccdb288a7dd202b5162a874f9c2617d67d62c38', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
977943641,"[GSOC][TMVA][SOFIE]Added all 4 Basic Binary Operators:- Add,Sub,Mul and Div with the Unit Tests","# This Pull request: Adds all the Basic Binary ONNX operators to TMVA/SOFIE with the unit tests to validate the code.

1) Adds all the four Basic Binary Operators with the unit tests
- Add
- Sub
- Mul
- Div

2) Fix issue in parsing binary operators when one input is an initialized tensor
    
    In Add,Sub, Mul or Div one of the input can be an initialized tensor therefore we don't have its input type registered before parsing. We need to look if the tensor is in Initializer tensor list

3) Support for Multi-directional Broadcasting in SOFIE.

## Checklist:

- [X] tested changes locally
- [ ] updated the docs (if necessary)



",True,10822,https://api.github.com/repos/root-project/root/pulls/10822,https://github.com/root-project/root/pull/10822,closed,454,106,19,3,17,15,0,1,[],2022-06-24 06:19:05+00:00,2022-07-01 08:14:51+00:00,611746.0,"7 days, 1:55:46","[{'comment_id': 907255753, 'comment_body': 'You are missing to return the new shape from the function. \r\nYou should also remove to pass original_data that is not used. \r\nThis should fix the warnings !', 'comment_created': datetime.datetime(2022, 6, 27, 10, 59, 27, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 907257971, 'comment_body': 'please change index i to j to fix the warning:\r\n```\r\nfor (int j=0; j < graphproto.initializer_size(); j++){\r\nif (input_name == graphproto.initializer(j).name())\r\n.....\r\n```\r\n..', 'comment_created': datetime.datetime(2022, 6, 27, 11, 2, 21, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 907345011, 'comment_body': 'Done!', 'comment_created': datetime.datetime(2022, 6, 27, 12, 43, 18, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 907345199, 'comment_body': 'Done!', 'comment_created': datetime.datetime(2022, 6, 27, 12, 43, 30, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 907368556, 'comment_body': 'One more thing, better to pass input vector as const reference,\r\n```\r\nstd::vector<size_t> Multidirectional_broadcast(const std::vector<size_t>  & input1_shape, const std::vector<size_t> & input2_shape);\r\n```\r\n\r\n', 'comment_created': datetime.datetime(2022, 6, 27, 13, 6, 58, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 907368953, 'comment_body': 'Thank you !', 'comment_created': datetime.datetime(2022, 6, 27, 13, 7, 26, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911173792, 'comment_body': 'this commented code can be removed', 'comment_created': datetime.datetime(2022, 6, 30, 15, 35, 46, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911174767, 'comment_body': 'comment is not correct', 'comment_created': datetime.datetime(2022, 6, 30, 15, 36, 38, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911175695, 'comment_body': 'this code can also be removed', 'comment_created': datetime.datetime(2022, 6, 30, 15, 37, 29, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911178071, 'comment_body': ""since we pass the input tensor by values, we change them inside the function adding 1's,  the `const` should be removed"", 'comment_created': datetime.datetime(2022, 6, 30, 15, 39, 40, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911179112, 'comment_body': 'This commented code should be removed', 'comment_created': datetime.datetime(2022, 6, 30, 15, 40, 37, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}, {'comment_id': 911208060, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 30, 16, 5, 38, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 911208196, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 30, 16, 5, 48, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 911208459, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 30, 16, 6, 5, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 911208620, 'comment_body': 'Done.', 'comment_created': datetime.datetime(2022, 6, 30, 16, 6, 15, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}]","[{'commit_sha': 'f799ed3455e570beb052c3104ae36b8c1b7f9ae4', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9489b335891f93b993a04c95d73e1e257654cb3e', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6df2e5eca6d2255712b7780a734ac1954037e798', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
989417146,[GSOC][TMVA][SOFIE] Tanh ONNX operator added with the corresponding unit tests,"

# This Pull request:  Adds the Tanh Activation function to SOFIE with the corresponding unit tests
1. Adds the Tanh ONNX operator, an activation function to SOFIE.
2. Adds the unit tests to validate the code.




## Checklist:

- [X] tested changes locally
- [ ] updated the docs (if necessary)



",True,10913,https://api.github.com/repos/root-project/root/pulls/10913,https://github.com/root-project/root/pull/10913,closed,153,1,8,3,11,4,0,1,[],2022-07-06 21:38:28+00:00,2022-07-22 12:07:53+00:00,1348165.0,"15 days, 14:29:25","[{'comment_id': 915614444, 'comment_body': 'Ahh sorry, I see this is here now. Will it be better to move this to the `Parse()` function where we add the libraries and routines for this cases, just to keep a standard format.', 'comment_created': datetime.datetime(2022, 7, 7, 8, 38, 58, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 915734352, 'comment_body': 'Thankyou @sanjibansg for the suggestion. I have made the required changes.', 'comment_created': datetime.datetime(2022, 7, 7, 10, 49, 49, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 916558690, 'comment_body': ""you don't need to comment this out. Just remove this line of code if it isn't needed."", 'comment_created': datetime.datetime(2022, 7, 8, 7, 54, 30, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 916566447, 'comment_body': 'okay done.', 'comment_created': datetime.datetime(2022, 7, 8, 8, 3, 54, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}]","[{'commit_sha': '7456f8da40944b7c1c627f19a35770eae7e16b92', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f3a4780265497f49ec84b2b0b55e738684b2d502', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '589edf0b910bae4602e6b9a91c699f35d4a5b8b8', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
994050378,[GSOC][TMVA][SOFIE]Neg ONNX Operator implemented in SOFIE with the corresponding unit tests,"# This Pull request:  Adds the Neg ONNX Operator with the corresponding unit tests to validate the code.

## Checklist:

- [X] tested changes locally
- [ ] updated the docs (if necessary)



",True,10946,https://api.github.com/repos/root-project/root/pulls/10946,https://github.com/root-project/root/pull/10946,closed,159,0,8,2,5,3,1,1,[{'name': 'in:TMVA'}],2022-07-12 09:26:29+00:00,2022-07-22 12:15:21+00:00,874132.0,"10 days, 2:48:52","[{'comment_id': 918788868, 'comment_body': 'Transpose Neg?', 'comment_created': datetime.datetime(2022, 7, 12, 10, 5, 26, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}, {'comment_id': 918802827, 'comment_body': 'Ohh sorry, i have replaced it by Neg Op now.', 'comment_created': datetime.datetime(2022, 7, 12, 10, 21, 31, tzinfo=datetime.timezone.utc), 'commenter': 'Neel-Shah-29', 'type': 'User'}, {'comment_id': 918981080, 'comment_body': ""Now that I see, in a lot of operators' `Generate()` function, we have similar repetitions,\r\nhttps://github.com/Neel-Shah-29/root-1/blob/Neel-Shah-Neg/tmva/sofie/inc/TMVA/ROperator_Relu.hxx#L50\r\nhttps://github.com/Neel-Shah-29/root-1/blob/Neel-Shah-Neg/tmva/sofie/inc/TMVA/ROperator_Selu.hxx#L50\r\nhttps://github.com/Neel-Shah-29/root-1/blob/Neel-Shah-Neg/tmva/sofie/inc/TMVA/ROperator_Sigmoid.hxx#L50\r\nhttps://github.com/Neel-Shah-29/root-1/blob/Neel-Shah-Neg/tmva/sofie/inc/TMVA/ROperator_Softmax.hxx#L50\r\nhttps://github.com/Neel-Shah-29/root-1/blob/Neel-Shah-Neg/tmva/sofie/inc/TMVA/ROperator_LeakyRelu.hxx#L62\r\n\r\nShould we correct them all in this PR? or make a separate one for them.\r\ncc: @lmoneta "", 'comment_created': datetime.datetime(2022, 7, 12, 13, 36, 38, tzinfo=datetime.timezone.utc), 'commenter': 'sanjibansg', 'type': 'User'}]","[{'commit_sha': '2f57e410e266e65cf92e69ef1383582e4ef80ff5', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e5f11115c82e9cfcf029aa58b40acd3fe0b14126', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
997941689,[GSOC][TMVA][SOFIE] Pow ONNX Operator added to SOFIE with the corresponding unit tests.,"# This Pull request: Pow ONNX Operator implemented  with the corresponding unit tests to validate the written code.

## Checklist:

- [X] tested changes locally


",True,10971,https://api.github.com/repos/root-project/root/pulls/10971,https://github.com/root-project/root/pull/10971,closed,116,8,8,3,22,1,1,1,[{'name': 'in:TMVA'}],2022-07-15 16:40:45+00:00,2022-08-22 10:47:57+00:00,3262032.0,"37 days, 18:07:12","[{'comment_id': 927599222, 'comment_body': 'I think there is a problem in the broadcasting case, when the two tensor shapes are not the same. We compute correctly the shape but we need also to have a new intermediate tensor which has the same shape as fNX1 and is the broadcasted result of fNX2 and we use that one for the pow function.', 'comment_created': datetime.datetime(2022, 7, 22, 12, 24, 1, tzinfo=datetime.timezone.utc), 'commenter': 'lmoneta', 'type': 'User'}]","[{'commit_sha': '7136cf9b2565d164616d3a61cc1ff2c7830ada24', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'febe9c5352ee752ae37b1d16b5c1535d365535fe', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '7fc66391a81385e43f64362af230d35580ca2832', 'committer_username': 'Neel-Shah-29', 'committer_name': 'Neel Shah', 'committer_email': None, 'commit_date': datetime.datetime(2021, 5, 24, 19, 19, 44, tzinfo=datetime.timezone.utc)}]",Neel Shah,84740927,,User,,45,,85,102
