pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1011817672,feat: stop pipeline from UI,"This changes the following:
- Adds a new feature of stopping running or pending pipelines from UI.
- Create a new case for updating (PUT) the pipeline status.
- Adds jx-pipeline as a dependency.
- Adds a modal component.
- Removes `svelte-bootstrap-icons` from package.json",True,50,https://api.github.com/repos/jenkins-x/jx-ui/pulls/50,https://github.com/jenkins-x/jx-ui/pull/50,closed,247,75,10,1,2,0,0,0,[],2022-07-29 10:37:17+00:00,2022-07-29 12:38:46+00:00,7289.0,2:01:29,[],"[{'commit_sha': '2606ca319b83b6663d21b54831d5340d6b2556f6', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30
1012157983,feat: btn in table to stop pipelines,"- This create another column in pipelines table for ACTIONS.
- Removes start btn from the PipelineDetailPage.",True,51,https://api.github.com/repos/jenkins-x/jx-ui/pulls/51,https://github.com/jenkins-x/jx-ui/pull/51,closed,37,12,3,1,2,1,0,0,[],2022-07-29 16:22:39+00:00,2022-08-02 11:56:45+00:00,329646.0,"3 days, 19:34:06","[{'comment_id': 933820255, 'comment_body': 'need to change port numbers or change it to use environment variables (this should be done in a separate PR)', 'comment_created': datetime.datetime(2022, 7, 30, 14, 46, 59, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}]","[{'commit_sha': 'b91af27e1d1c0d4ed7488e0c3f285cfd0ea75bce', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30
1032693784,fix: add text to stop pipeline btn,"During the previous office hours, we discussed having a text saying Stop Pipeline with the cross btn would be better for user exp,
Please review the screenshot
![image](https://user-images.githubusercontent.com/55191777/185910671-9569c94a-5d1f-4da1-b8dd-aeb9ed9ac541.png)
",True,59,https://api.github.com/repos/jenkins-x/jx-ui/pulls/59,https://github.com/jenkins-x/jx-ui/pull/59,closed,4,3,1,1,4,0,0,0,[],2022-08-22 11:28:58+00:00,2022-08-23 12:01:06+00:00,88328.0,"1 day, 0:32:08",[],"[{'commit_sha': 'f69408db46897aaaee5b1cda06ef58e6e97c1a68', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30
1058529822,feat: add modal to pipeline table,"- Adds `Name` in the `pipelines` struct
- Adds a confirmation modal for stop pipeline button in pipelines table",True,75,https://api.github.com/repos/jenkins-x/jx-ui/pulls/75,https://github.com/jenkins-x/jx-ui/pull/75,closed,62,5,3,1,2,4,2,0,"[{'name': 'size/M'}, {'name': 'approved'}]",2022-09-16 11:36:31+00:00,2022-09-16 18:10:19+00:00,23628.0,6:33:48,"[{'comment_id': 972958510, 'comment_body': 'Do we need the chaining operator here? Can p be nullish (null or undefined)?', 'comment_created': datetime.datetime(2022, 9, 16, 12, 12, 39, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 972959537, 'comment_body': 'Do we need to define them in separate lines instead of a line with variables separated by comma? ', 'comment_created': datetime.datetime(2022, 9, 16, 12, 14, 4, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 972990806, 'comment_body': 'I added that will developing, can be removed.', 'comment_created': datetime.datetime(2022, 9, 16, 12, 51, 29, tzinfo=datetime.timezone.utc), 'commenter': 'rajatgupta24', 'type': 'User'}, {'comment_id': 972992488, 'comment_body': 'This is kind of the way, it is done in javascript.\r\nNot strict but just the way people do.\r\n\r\nThough I think we should add types to them', 'comment_created': datetime.datetime(2022, 9, 16, 12, 53, 13, tzinfo=datetime.timezone.utc), 'commenter': 'rajatgupta24', 'type': 'User'}]","[{'commit_sha': 'd61bc9ca241bc3c580eccb40b9a583bed5b92f1e', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30
985547324,feat: add new msg field to spec struct,"This PR adds a message field in Spec struct

related to: https://github.com/jenkins-x/jx-ui/issues/23

/cc @ankitm123 ",True,171,https://api.github.com/repos/jenkins-x/jx-api/pulls/171,https://github.com/jenkins-x/jx-api/pull/171,closed,25,13,2,1,5,2,3,0,"[{'name': 'ok-to-test'}, {'name': 'approved'}, {'name': 'size/M'}]",2022-07-02 15:55:54+00:00,2022-07-07 12:01:55+00:00,417961.0,"4 days, 20:06:01","[{'comment_id': 915324197, 'comment_body': 'NIT: new line', 'comment_created': datetime.datetime(2022, 7, 6, 23, 15, 56, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 915324695, 'comment_body': 'This will add message to the sub steps of the stage step (and promote and preview steps as well), I think that is ok for now. May be in the future, we can use this for something else ... ok with this change for now.', 'comment_created': datetime.datetime(2022, 7, 6, 23, 17, 14, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}]","[{'commit_sha': '84c599431321853893015c0b27eb4279c07949e1', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30
990633318,fix: add msg field to pipelineActivity Spec and Steps,"- Tekton PipelineRun provides the message & this PR will add that Message field to Spec and Steps in the pipelineActivity.
- This PR also adds test for 4 testcases:
	- timeout
	- cancelled
	- success
	- timedout-success
- This also adds the message fields to the expected.yaml.
- Instead of using `testhelpers.AssertTextFilesEqual` we're now just comparing the generated pa and expected pa.
- Also removes `t.TempDir()`
- Adds comments to help understand the steps
- fixes linter.sh

related to https://github.com/jenkins-x/jx-ui/issues/23

Signed-off-by: rajatgupta24 <rajat2411gupta@gmail.com>",True,481,https://api.github.com/repos/jenkins-x-plugins/jx-pipeline/pulls/481,https://github.com/jenkins-x-plugins/jx-pipeline/pull/481,closed,5548,189,13,1,13,7,3,0,"[{'name': 'approved'}, {'name': 'size/XXL'}, {'name': 'ok-to-test'}]",2022-07-07 18:14:00+00:00,2022-09-16 18:12:19+00:00,6134299.0,"70 days, 23:58:19","[{'comment_id': 917271304, 'comment_body': 'Why k1? and k2? k is scoped to only the for loop, and you should be able to reuse k.', 'comment_created': datetime.datetime(2022, 7, 9, 13, 58, 14, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 917271363, 'comment_body': 'Not a good idea to explicitely use `[0]`.', 'comment_created': datetime.datetime(2022, 7, 9, 13, 59, 45, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 970784832, 'comment_body': 'k is for the first loop,\r\nk1 is for the pa count\r\nk2 is for the second loop', 'comment_created': datetime.datetime(2022, 9, 14, 13, 8, 1, tzinfo=datetime.timezone.utc), 'commenter': 'rajatgupta24', 'type': 'User'}, {'comment_id': 971969351, 'comment_body': 'Remove extra line.', 'comment_created': datetime.datetime(2022, 9, 15, 13, 11, 59, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 971969968, 'comment_body': 'make the names more generic (use `jx-org-repo` instead of actual name).', 'comment_created': datetime.datetime(2022, 9, 15, 13, 12, 35, tzinfo=datetime.timezone.utc), 'commenter': 'ankitm123', 'type': 'User'}, {'comment_id': 973008439, 'comment_body': 'I replaced it with `jx-test-project-repo`', 'comment_created': datetime.datetime(2022, 9, 16, 13, 10, 40, tzinfo=datetime.timezone.utc), 'commenter': 'rajatgupta24', 'type': 'User'}, {'comment_id': 973008627, 'comment_body': 'I added a newline', 'comment_created': datetime.datetime(2022, 9, 16, 13, 10, 54, tzinfo=datetime.timezone.utc), 'commenter': 'rajatgupta24', 'type': 'User'}]","[{'commit_sha': '5a77bd7e114e95f3b1e7a735c3575c0f3e914f82', 'committer_username': 'rajatgupta24', 'committer_name': 'Rajat Gupta', 'committer_email': None, 'commit_date': datetime.datetime(2019, 9, 11, 12, 1, 29, tzinfo=datetime.timezone.utc)}]",Rajat Gupta,55191777,,User,,113,,14,30

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
483651344,jx-ui,jenkins-x/jx-ui,Svelte,5,7,5,6,153,21,14,6,"[{'id': 1088191022, 'number': 91, 'closed': datetime.datetime(2022, 10, 15, 16, 52, 14, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 10, 15, 16, 19, 1, tzinfo=datetime.timezone.utc), 'time_taken': 1993.0, 'time_delta': '0:33:13', 'additions': 75, 'deletions': 173, 'state': 'closed'}, {'id': 1088187347, 'number': 90, 'closed': datetime.datetime(2022, 10, 15, 16, 19, 9, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 10, 15, 16, 2, 51, tzinfo=datetime.timezone.utc), 'time_taken': 978.0, 'time_delta': '0:16:18', 'additions': 67, 'deletions': 165, 'state': 'closed'}, {'id': 1073780969, 'number': 88, 'closed': datetime.datetime(2022, 10, 2, 11, 16, 39, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 10, 2, 8, 37, 9, tzinfo=datetime.timezone.utc), 'time_taken': 9570.0, 'time_delta': '2:39:30', 'additions': 1, 'deletions': 0, 'state': 'closed'}, {'id': 1073606765, 'number': 87, 'closed': datetime.datetime(2022, 10, 1, 16, 51, 39, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 10, 1, 16, 42, 40, tzinfo=datetime.timezone.utc), 'time_taken': 539.0, 'time_delta': '0:08:59', 'additions': 1, 'deletions': 0, 'state': 'closed'}, {'id': 1066094276, 'number': 82, 'closed': datetime.datetime(2022, 9, 24, 17, 15, 49, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 24, 16, 29, 56, tzinfo=datetime.timezone.utc), 'time_taken': 2753.0, 'time_delta': '0:45:53', 'additions': 8, 'deletions': 8, 'state': 'closed'}, {'id': 1066054494, 'number': 81, 'closed': datetime.datetime(2022, 9, 24, 13, 42, 47, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 24, 13, 33, 31, tzinfo=datetime.timezone.utc), 'time_taken': 556.0, 'time_delta': '0:09:16', 'additions': 8, 'deletions': 8, 'state': 'closed'}, {'id': 1065271394, 'number': 80, 'closed': datetime.datetime(2022, 9, 23, 12, 43, 41, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 23, 12, 36, 15, tzinfo=datetime.timezone.utc), 'time_taken': 446.0, 'time_delta': '0:07:26', 'additions': 1, 'deletions': 1, 'state': 'closed'}, {'id': 1058529822, 'number': 75, 'closed': datetime.datetime(2022, 9, 16, 18, 10, 19, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 16, 11, 36, 31, tzinfo=datetime.timezone.utc), 'time_taken': 23628.0, 'time_delta': '6:33:48', 'additions': 62, 'deletions': 5, 'state': 'closed'}, {'id': 1050303412, 'number': 74, 'closed': datetime.datetime(2022, 9, 8, 15, 57, 12, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 8, 13, 55, 37, tzinfo=datetime.timezone.utc), 'time_taken': 7295.0, 'time_delta': '2:01:35', 'additions': 12, 'deletions': 0, 'state': 'closed'}, {'id': 1040863814, 'number': 70, 'closed': datetime.datetime(2022, 8, 30, 11, 40, 25, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 30, 11, 36, 44, tzinfo=datetime.timezone.utc), 'time_taken': 221.0, 'time_delta': '0:03:41', 'additions': 1476, 'deletions': 1177, 'state': 'closed'}, {'id': 1039695590, 'number': 66, 'closed': datetime.datetime(2022, 8, 29, 15, 22, 18, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 29, 13, 27, 46, tzinfo=datetime.timezone.utc), 'time_taken': 6872.0, 'time_delta': '1:54:32', 'additions': 6, 'deletions': 3, 'state': 'closed'}, {'id': 1039594252, 'number': 65, 'closed': datetime.datetime(2022, 8, 31, 11, 17, 44, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 29, 12, 9, 59, tzinfo=datetime.timezone.utc), 'time_taken': 169665.0, 'time_delta': '1 day, 23:07:45', 'additions': 295, 'deletions': 71, 'state': 'closed'}, {'id': 1032693784, 'number': 59, 'closed': datetime.datetime(2022, 8, 23, 12, 1, 6, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 22, 11, 28, 58, tzinfo=datetime.timezone.utc), 'time_taken': 88328.0, 'time_delta': '1 day, 0:32:08', 'additions': 4, 'deletions': 3, 'state': 'closed'}, {'id': 1032639480, 'number': 58, 'closed': datetime.datetime(2022, 8, 22, 11, 26, 15, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 22, 10, 39, 35, tzinfo=datetime.timezone.utc), 'time_taken': 2800.0, 'time_delta': '0:46:40', 'additions': 4, 'deletions': 3, 'state': 'closed'}, {'id': 1032616805, 'number': 57, 'closed': datetime.datetime(2022, 8, 26, 12, 53, 7, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 8, 22, 10, 19, 5, tzinfo=datetime.timezone.utc), 'time_taken': 354842.0, 'time_delta': '4 days, 2:34:02', 'additions': 212, 'deletions': 48, 'state': 'closed'}, {'id': 1012157983, 'number': 51, 'closed': datetime.datetime(2022, 8, 2, 11, 56, 45, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 29, 16, 22, 39, tzinfo=datetime.timezone.utc), 'time_taken': 329646.0, 'time_delta': '3 days, 19:34:06', 'additions': 37, 'deletions': 12, 'state': 'closed'}, {'id': 1011817672, 'number': 50, 'closed': datetime.datetime(2022, 7, 29, 12, 38, 46, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 29, 10, 37, 17, tzinfo=datetime.timezone.utc), 'time_taken': 7289.0, 'time_delta': '2:01:29', 'additions': 247, 'deletions': 75, 'state': 'closed'}, {'id': 1006479278, 'number': 49, 'closed': datetime.datetime(2022, 7, 24, 11, 12, 40, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 24, 6, 35, 30, tzinfo=datetime.timezone.utc), 'time_taken': 16630.0, 'time_delta': '4:37:10', 'additions': 40, 'deletions': 19, 'state': 'closed'}, {'id': 996662380, 'number': 44, 'closed': datetime.datetime(2022, 7, 15, 12, 16, 41, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 14, 13, 13, 34, tzinfo=datetime.timezone.utc), 'time_taken': 82987.0, 'time_delta': '23:03:07', 'additions': 10, 'deletions': 10, 'state': 'closed'}, {'id': 990015267, 'number': 41, 'closed': datetime.datetime(2022, 7, 7, 11, 22, 28, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 7, 10, 53, 23, tzinfo=datetime.timezone.utc), 'time_taken': 1745.0, 'time_delta': '0:29:05', 'additions': 8716, 'deletions': 6934, 'state': 'closed'}]"
272271062,jx-api,jenkins-x/jx-api,Go,20,10,8,18,241,2,17,2,"[{'id': 1069693112, 'number': 176, 'closed': datetime.datetime(2022, 9, 28, 13, 43, 59, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 9, 28, 8, 52, 10, tzinfo=datetime.timezone.utc), 'time_taken': 17509.0, 'time_delta': '4:51:49', 'additions': 106, 'deletions': 100, 'state': 'closed'}, {'id': 990279545, 'number': 172, 'closed': datetime.datetime(2022, 7, 8, 15, 59, 57, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 7, 13, 53, 28, tzinfo=datetime.timezone.utc), 'time_taken': 93989.0, 'time_delta': '1 day, 2:06:29', 'additions': 3, 'deletions': 2, 'state': 'closed'}, {'id': 985547324, 'number': 171, 'closed': datetime.datetime(2022, 7, 7, 12, 1, 55, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2022, 7, 2, 15, 55, 54, tzinfo=datetime.timezone.utc), 'time_taken': 417961.0, 'time_delta': '4 days, 20:06:01', 'additions': 25, 'deletions': 13, 'state': 'closed'}]"
