pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
699614908,Sign language commit,body pose detection component/client ; sign language recognition base on images only component/client (debug/tested),True,77,https://api.github.com/repos/robocomp/robocomp-robolab/pulls/77,https://github.com/robocomp/robocomp-robolab/pull/77,closed,16806,2,121,25,1,3,0,0,[],2021-07-29 15:05:55+00:00,2021-08-15 18:47:58+00:00,1482123.0,"17 days, 3:42:03","[{'comment_id': 685441749, 'comment_body': 'I think the cameraSimple Component is not directly used. Can you please update this?', 'comment_created': datetime.datetime(2021, 8, 9, 18, 53, 59, tzinfo=datetime.timezone.utc), 'commenter': 'aditya2g', 'type': 'User'}, {'comment_id': 685442162, 'comment_body': 'I think the cameraSimple Component is not directly used. Can you please update this?', 'comment_created': datetime.datetime(2021, 8, 9, 18, 54, 36, tzinfo=datetime.timezone.utc), 'commenter': 'aditya2g', 'type': 'User'}, {'comment_id': 687641907, 'comment_body': 'Hi Aditya, I have just updated, please check them', 'comment_created': datetime.datetime(2021, 8, 12, 11, 55, 25, tzinfo=datetime.timezone.utc), 'commenter': 'rongtuech', 'type': 'User'}]","[{'commit_sha': 'f95187d2915264a125258f945a0c95e21db2c0b6', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4de84fd2d37fae7cf0b0672ef04c2f23f9783748', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '66abc7b802b328dc0cefde481f20a538cb505e21', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '276f76a09f5d06d55bdd46ec4ea79e3ef648d11d', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a974cb32bda221b9341340c7668cc1d355116488', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8ec0cb2438db0d0a38fba5c5419af92f029b2e54', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '87a2ddb8a8dd7ad2603a6bfb90088f38ca28791e', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '79fb5202ad88af798f59b00b8c30f23acdfbe16d', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '45493e244484c75389d4383b02c9369d11f9264a', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a3b3345fe02a3b5f34b1f1f482e7662d5ce08cee', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0006eec5f670099be00322557b277ef0f9edadcd', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f8c9355e5f0d1291de6e738f3bf22f67cc153237', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '286bcc0b505670bbb1757d729d63c7cd01a1a3f4', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4208db37f5fe2c6d692eeff7d9d323fa2aef4e0f', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '49a034ec8f5f36c4ae2e6722c1cde8204cfc8c4b', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd7562a60124ed9addb278ceb4a58c15ccbdef527', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd93f1564618aeb468c2aeb9e98c72a184cf6f033', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dc136d4d0f39be95dce729211c1937daa8825492', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '35f9bc6558340edb92d2a6d89b4f0ec068e40d05', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '2da53fd3b25f3f439a43ae9ca28ba14eb7b38388', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '728f33f5eb7ce492aaaef00621d51ee7c10cc1eb', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '2f84398818779bd65c383223a2d90488d0f494cb', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '6aac9e8497af309738ba59a8eecb25d3d7fcefc0', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'dd8fdfc56a7491e02e8a9dad888fc0d4eb943604', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '92ad813b8afd80ac05e423c5e53187787fa4dca6', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
715728388,GSOC2021: update readme files for all components,Update all README.md files for each component -> for installation.,False,80,https://api.github.com/repos/robocomp/robocomp-robolab/pulls/80,https://github.com/robocomp/robocomp-robolab/pull/80,open,107,85,6,1,0,0,0,0,[],2021-08-19 08:42:31+00:00,,0.0,,[],"[{'commit_sha': '2b75cf9979b7b91061b41255b8573c1e47887abd', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
701418074,Feature GSOC2021 idsl files for sign language project,"### Your checklist for this pull request

- [ x] Make sure you are requesting to **pull a topic/feature/bugfix branch** (right side). Don't request your main!
- [ x] Make sure you are making a pull request against the **development branch** (left side). Also you should start *your branch* off *our development*.
- [ x] Check the commit's or even all commits' message styles matches our requested structure.
- [x] I have added necessary documentation (if appropriate)
- [ x] It's small enought so they can be easily reviewed.
- [ x] I have CONSIDERED or ADDED a unit test if the PR resolves an issue.

## Types of changes
What types of changes does your code introduce to Robocomp?  
<!-- Put an `x` (`[x]`) in the boxes that apply. -->
<!-- Usually only one, if not, consider to split your Pull Request). -->

- [ ] Bugfix (non-breaking change which fixes an issue)
- [ x] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)
- [ ] Code style update (formatting, renaming)
- [ ] Documentation Update
- [ ] Build related changes
- [ ] Other (please describe):


### Does this introduce a breaking change?

- [ ] Yes
- [ x] No

<!-- If this introduces a breaking change, please describe the impact and migration path for existing applications below. -->

### Does this close any currently open issues?
No

### Description
Please describe your pull request.

This is a pull request for GSOC 2021 sign language project. Adding 3 interface files for these components.

===  
**Thank you!**
",True,343,https://api.github.com/repos/robocomp/robocomp/pulls/343,https://github.com/robocomp/robocomp/pull/343,closed,71,0,3,2,0,2,0,0,[],2021-08-02 12:21:38+00:00,2021-08-11 14:39:45+00:00,785887.0,"9 days, 2:18:07","[{'comment_id': 681246357, 'comment_body': ""Getting error: \r\n`illegal underscore in identifier `num_image'`\r\n\r\n'_' in the variable name is not valid in IDSL. Can you please change this?"", 'comment_created': datetime.datetime(2021, 8, 2, 20, 21, 20, tzinfo=datetime.timezone.utc), 'commenter': 'aditya2g', 'type': 'User'}, {'comment_id': 681697611, 'comment_body': 'I have just updated the files, please check them. ', 'comment_created': datetime.datetime(2021, 8, 3, 12, 9, 44, tzinfo=datetime.timezone.utc), 'commenter': 'rongtuech', 'type': 'User'}]","[{'commit_sha': '084c2c2ddd5330500b7dc33cb0ffbba6606deae0', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a07a01921f270d8a77f7ab89f07a96eb62f2d04a', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
710776932,GSOC2021-Sign language: add 3 final blogs for GSOC 21,"Hi Aditya, I have just updated to fix to minor error, please check it.",True,259,https://api.github.com/repos/robocomp/web/pulls/259,https://github.com/robocomp/web/pull/259,closed,101,2,6,3,0,0,0,0,[],2021-08-12 11:56:44+00:00,2021-08-15 14:52:31+00:00,269747.0,"3 days, 2:55:47",[],"[{'commit_sha': '704ac03841fbdc29df1ad8e31768dc6584955151', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'af0ca9477717a225645fb090e28ea14071bf6929', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a2e4039b645190e1a2f62082fc9896cfb36243b0', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
699639326,the introduction for body detector and image based recognition installation and usage,,True,252,https://api.github.com/repos/robocomp/web/pulls/252,https://github.com/robocomp/web/pull/252,closed,57,1,4,2,0,4,0,0,[],2021-07-29 15:37:00+00:00,2021-08-11 14:08:55+00:00,1117915.0,"12 days, 22:31:55","[{'comment_id': 681247962, 'comment_body': 'It looks like some of the packages (like Torch, pycuda, albumentations) are missing from this list. Can you add those as well?', 'comment_created': datetime.datetime(2021, 8, 2, 20, 24, 14, tzinfo=datetime.timezone.utc), 'commenter': 'aditya2g', 'type': 'User'}, {'comment_id': 681714815, 'comment_body': 'I have just updated them, please check.', 'comment_created': datetime.datetime(2021, 8, 3, 12, 35, 5, tzinfo=datetime.timezone.utc), 'commenter': 'rongtuech', 'type': 'User'}, {'comment_id': 686876524, 'comment_body': 'The link will not work with the space here. Can you please update that?', 'comment_created': datetime.datetime(2021, 8, 11, 14, 17, 37, tzinfo=datetime.timezone.utc), 'commenter': 'aditya2g', 'type': 'User'}, {'comment_id': 687643318, 'comment_body': 'I have just fixed it, please check in the newest pull request. ', 'comment_created': datetime.datetime(2021, 8, 12, 11, 57, 37, tzinfo=datetime.timezone.utc), 'commenter': 'rongtuech', 'type': 'User'}]","[{'commit_sha': '6285f4f18c08cb6024dc776ea5121b14c162d1e0', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0a0ba2707f012cd994a3303a4fcf163092ef2d2d', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
691897089,Blog,Add 1st Phase report - Trung Ngo - GSoC 2021,True,250,https://api.github.com/repos/robocomp/web/pulls/250,https://github.com/robocomp/web/pull/250,closed,37,0,2,2,0,0,0,0,[],2021-07-17 09:47:09+00:00,2021-07-17 14:22:59+00:00,16550.0,4:35:50,[],"[{'commit_sha': 'f646ebae579957729f0f636844d742949387ce4e', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}, {'commit_sha': '57b607d605d37591212a0ea181b35fa503dbf9b0', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
677722752,"Update the introduction blog, and fast inference blog",The blog for GSoC of TrungNgo - sign language project.,True,224,https://api.github.com/repos/robocomp/web/pulls/224,https://github.com/robocomp/web/pull/224,closed,68,4,5,1,1,0,0,0,[],2021-06-25 08:14:09+00:00,2021-06-25 08:45:21+00:00,1872.0,0:31:12,[],"[{'commit_sha': '0722acf557272783b479f6e502a49f3a539d2c4f', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2
715748735,GSOC 2021 - Sign language: update architecture for 3 components,,True,265,https://api.github.com/repos/robocomp/web/pulls/265,https://github.com/robocomp/web/pull/265,closed,0,0,1,1,0,0,0,0,[],2021-08-19 09:10:05+00:00,2021-08-23 15:47:23+00:00,369438.0,"4 days, 6:37:18",[],"[{'commit_sha': 'fa2d43ce65a33d04d11ebb0c55b9d93353cbec48', 'committer_username': 'rongtuech', 'committer_name': 'Trung Ngo', 'committer_email': None, 'commit_date': datetime.datetime(2014, 4, 8, 14, 29, 52, tzinfo=datetime.timezone.utc)}]",Trung Ngo,7226637,,User,,8,,4,2

Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
