pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
1276990568,Look / Feel changes for cargotracker website,"Refers #56 ,

The Pull Request consists of changes which include:

1) Changes to the Navigation bar
2) Text Spacing and Formatting for the website (includes line spacing, aligning etc)
3) Added Favicon and logo

Attached Sample Screenshot
![Screenshot from 2023-03-15 19-22-23](https://user-images.githubusercontent.com/54201446/225340804-da5fad92-775d-4799-887e-73b4eb31e8c9.png)
",True,241,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/241,https://github.com/eclipse-ee4j/cargotracker/pull/241,closed,7717,33,5,1,0,0,0,0,[],2023-03-15 14:51:35+00:00,2023-03-15 15:32:51+00:00,2476.0,0:41:16,[],"[{'commit_sha': '48533a6b0eaa830f53a2c976511b151175036114', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1292521557,Project Website Scrollbar Improvements (Updated),,True,257,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/257,https://github.com/eclipse-ee4j/cargotracker/pull/257,closed,34,17,3,3,1,0,0,0,[],2023-03-28 07:57:46+00:00,2023-03-28 12:25:02+00:00,16036.0,4:27:16,[],"[{'commit_sha': '9230886be3ddbfb3e7a4e4d9f999296fcbfafe55', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'ee8d66a37a8e440d727f413107360d304324765e', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '315cc9f92855ab1432997c8d542c735458867c53', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1384616993,Improve Application UI,"This PR consists of the following changes:
  1) Improved layout and structuring for the application homepage, with some added visual effects.
  2) Added a progress bar to the web pages for a better ease in on load events.

![Screenshot from 2023-06-08 20-08-36](https://github.com/eclipse-ee4j/cargotracker/assets/54201446/60da7607-6481-4617-a771-1cd22223b2b2)
![Screenshot from 2023-06-08 20-06-58](https://github.com/eclipse-ee4j/cargotracker/assets/54201446/af47df02-f2d0-4105-bdad-de5cad107462)
![Screenshot from 2023-06-08 20-07-08](https://github.com/eclipse-ee4j/cargotracker/assets/54201446/28c5af3c-022f-4a47-9929-609242e1d265)
",True,260,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/260,https://github.com/eclipse-ee4j/cargotracker/pull/260,closed,413,152,12,2,9,0,0,0,[],2023-06-08 14:53:09+00:00,2023-06-17 18:41:36+00:00,791307.0,"9 days, 3:48:27",[],"[{'commit_sha': '9ec47e3ed06a6669e6d5d9f7697f452da9ae35fd', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'eb9a3311a09b1a6021e04db47b02300b17f4e2c6', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1461882630,Upgrade to Primefaces 12.0.0,"Adds Primefaces 12.0.0 support to Cargo Tracker.

This can now be iterated upon to improve and extend functionality using the features that come along with the latest Primefaces release.



",True,269,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/269,https://github.com/eclipse-ee4j/cargotracker/pull/269,closed,143,78,9,1,1,0,0,0,[],2023-08-03 18:30:40+00:00,2023-08-03 18:42:30+00:00,710.0,0:11:50,[],"[{'commit_sha': 'a1d3e54ad2a99f5ecfb10c2aa8d2dc195aab406a', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1403365764,Fixes #259,"Fixes #259  ,

1) The navigation bar does not cover/hide content when the collapsible button is clicked on a resized view port, i.e the content
    below will pushed down and will be still visible.

2) The page is responsive and now does not leave empty margin spaces and consumes full view port space.

For testing purposes, link to the demo gh-pages site: https://yashtef.github.io/cargotracker/

",True,262,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/262,https://github.com/eclipse-ee4j/cargotracker/pull/262,closed,23,1,3,2,0,0,0,0,[],2023-06-22 11:40:02+00:00,2023-06-25 17:02:53+00:00,278571.0,"3 days, 5:22:51",[],"[{'commit_sha': '9484ea16dd9a5353b770f0babefa7e4f5829c63d', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a3ff9da87cf2baa4991fe30c8c05e7494974280b', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1474925709,Fixes #270,"Fixes #270.

As a work around the link for copyright will now open in a new tab.",True,271,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/271,https://github.com/eclipse-ee4j/cargotracker/pull/271,closed,9,5,3,3,0,0,0,0,[],2023-08-14 18:44:17+00:00,2023-08-14 20:25:52+00:00,6095.0,1:41:35,[],"[{'commit_sha': '9f02188f0443a655aab1d34be2056242eb3e52c2', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8b2f43e0959a6b8f9de1b85a91f6535622701b5d', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e286ff5bf631134e0f505dae8150864a4a95dd08', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1481873128,Change Deadline Bug Fix,"Fixes #274 

The problem here was that the header of the calendar widget got covered by the title of the change deadline dialog.

This is how the calendar dialog box is getting rendered now:

![Screenshot from 2023-08-21 00-06-37](https://github.com/eclipse-ee4j/cargotracker/assets/54201446/740e3c19-be6a-48d6-a27d-bbee17f944e0)
",True,277,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/277,https://github.com/eclipse-ee4j/cargotracker/pull/277,closed,4,4,2,1,0,0,0,0,[],2023-08-20 18:40:51+00:00,2023-08-21 03:51:58+00:00,33067.0,9:11:07,[],"[{'commit_sha': '2c14f2aef38f656666af142e98a2295182c7134c', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1483410744,Fix Date Pick Resolution,Fixes #275  ,True,278,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/278,https://github.com/eclipse-ee4j/cargotracker/pull/278,closed,11,1,1,2,1,0,0,0,[],2023-08-21 18:58:29+00:00,2023-08-21 19:04:54+00:00,385.0,0:06:25,[],"[{'commit_sha': '767b647ebc70cc76093ed4b395db2de5333fcd25', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cdbff31344d3a8e0553625b08a77f808de2ef03b', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1486732355,Fix Date Pick Resolution(Updated),Added changes to fix calendar orientation for the event logger.,True,279,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/279,https://github.com/eclipse-ee4j/cargotracker/pull/279,closed,13,15,2,4,0,0,0,0,[],2023-08-23 16:37:22+00:00,2023-08-23 16:40:52+00:00,210.0,0:03:30,[],"[{'commit_sha': '3f6413a0de45683e930398ea830aef9e18e38b19', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '14974ee92fc2df526d87704df102af8567d7ce13', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '94b9feedde020da5fd05e9db754a04412108db32', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '18d924eb4b2e966923fd594567a109c24524822c', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
1490275700,Mobile Friendly Date Pick,Refers #275 ,True,280,https://api.github.com/repos/eclipse-ee4j/cargotracker/pulls/280,https://github.com/eclipse-ee4j/cargotracker/pull/280,closed,59,6,1,2,0,0,0,0,[],2023-08-25 20:33:59+00:00,2023-08-25 22:16:05+00:00,6126.0,1:42:06,[],"[{'commit_sha': '4cbb271b03f52f710c2dcd4385ff7da3af6f0a29', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3499220d88adf78a2bc1443afd719947a8caa60e', 'committer_username': 'yashTEF', 'committer_name': 'Yash Bharatiya', 'committer_email': None, 'commit_date': datetime.datetime(2019, 8, 17, 7, 24, 44, tzinfo=datetime.timezone.utc)}]",Yash Bharatiya,54201446,,User,,38,,12,7
