pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
707322918,pdftoraster Made PPD independent,,True,405,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/405,https://github.com/OpenPrinting/cups-filters/pull/405,closed,189,43,1,1,0,0,0,0,[],2021-08-10 12:48:15+00:00,2021-08-17 08:36:32+00:00,589697.0,"6 days, 19:48:17",[],"[{'commit_sha': '0947b8141c77a9503ae8c325c4c6a3b3d9a60459', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
700224735,pclmtoraster made PPD independent,,True,402,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/402,https://github.com/OpenPrinting/cups-filters/pull/402,closed,439,4,3,6,0,0,0,0,[],2021-07-30 11:36:10+00:00,2021-08-02 12:58:44+00:00,264154.0,"3 days, 1:22:34",[],"[{'commit_sha': '678a02b14d603efaedfb681c2c92d51f7d93905f', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '065ce6c20edd44abfff6cdb91e164294ea0c9ac4', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '24f6cf8497446ef72248587648c35803e86baed1', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1d11dd1a2d37449ab72f49c4687530499bc49ef6', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '8fcf7093df5bfc3ff616775112b3cc760ec13240', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '15c5037c245372b056a3c35a6d1d5471921c23a6', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
700213262,pdftopdf made PPD independent,,True,401,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/401,https://github.com/OpenPrinting/cups-filters/pull/401,closed,118,57,3,1,0,0,0,0,[],2021-07-30 11:17:18+00:00,2021-08-02 12:46:10+00:00,264532.0,"3 days, 1:28:52",[],"[{'commit_sha': 'bffd3a4c3e59c774e488509879ffe598df20c11f', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
687555125,imagetopdf made PPD independent,,True,396,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/396,https://github.com/OpenPrinting/cups-filters/pull/396,closed,169,21,1,1,0,0,0,0,[],2021-07-12 06:40:25+00:00,2021-07-12 09:47:07+00:00,11202.0,3:06:42,[],"[{'commit_sha': '3f4f505ad06c54159b861fffc6bde4b75bf0f433', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
684129318,imageToRaster made PPD independent,,True,389,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/389,https://github.com/OpenPrinting/cups-filters/pull/389,closed,175,36,1,2,0,0,0,0,[],2021-07-06 07:33:02+00:00,2021-07-06 12:27:13+00:00,17651.0,4:54:11,[],"[{'commit_sha': '9d8a9a4fc9cfb4a13df437257c80b1579f25a8d9', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '3d0455959e67573c01159a8fdbfdcc13fe27221b', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
685204015,memory leak fixed in imagetoraster function,,True,392,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/392,https://github.com/OpenPrinting/cups-filters/pull/392,closed,22,18,1,1,0,0,0,0,[],2021-07-07 13:35:21+00:00,2021-07-07 13:39:01+00:00,220.0,0:03:40,[],"[{'commit_sha': '106325b9b2500743098e074e28bdd529d717aa46', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
687554992,imagetoraster crash fixed,,True,395,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/395,https://github.com/OpenPrinting/cups-filters/pull/395,closed,21,9,1,1,0,0,0,0,[],2021-07-12 06:40:07+00:00,2021-07-12 09:36:50+00:00,10603.0,2:56:43,[],"[{'commit_sha': '0266454e1b7b5e2e46bb0d5438c2d2731827321b', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
684129574,pdftops made PPD independent,,True,390,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/390,https://github.com/OpenPrinting/cups-filters/pull/390,closed,73,4,1,2,0,0,0,0,[],2021-07-06 07:33:27+00:00,2021-07-06 12:28:16+00:00,17689.0,4:54:49,[],"[{'commit_sha': 'f63d378e51242dbf1e2c7a43f64e51d4c377370e', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}, {'commit_sha': '4bc02f266ab86850377dc0794a87b53674596916', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
685323104,silenced compiler warning in pdftops filter,,True,393,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/393,https://github.com/OpenPrinting/cups-filters/pull/393,closed,1,0,1,1,1,0,0,0,[],2021-07-07 16:02:12+00:00,2021-07-07 16:18:32+00:00,980.0,0:16:20,[],"[{'commit_sha': '3653f746a5974185be9e97126f9e3a3bca6228cc', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
681869262,texttotext made PPD independent,"Thanks @tillkamppeter  sir for the support.
Now this PR is clean and nothing redundant in it.
I will be glad if you make some tests.
:-)",True,385,https://api.github.com/repos/OpenPrinting/cups-filters/pulls/385,https://github.com/OpenPrinting/cups-filters/pull/385,closed,209,31,1,1,0,0,0,0,[],2021-07-01 13:39:20+00:00,2021-07-01 13:50:10+00:00,650.0,0:10:50,[],"[{'commit_sha': '6e505a4541e8240f1d0d662c4aefb936581df5f5', 'committer_username': 'surajkulriya', 'committer_name': 'suraj kulriya', 'committer_email': None, 'commit_date': datetime.datetime(2018, 12, 14, 14, 35, 7, tzinfo=datetime.timezone.utc)}]",suraj kulriya,45878143,,User,,23,,80,18
