Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Project Explainer: Summarization using Large Language Models ,"Large Language Models are picking pace very quickly and they are turning out to be extremely good in multiple tasks. With the help of zero-shot,...", Sripravallika , Mentor  Mehant K , Organization  SCoRe Lab ,/archive/2023/projects/eJoLPhgw,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/10-Sripravallika-Project-Explainer.md
2, Migrating Zulip's JavaScript Codebase to TypeScript ,This project focuses on migrating JavaScript codebase to Typescript. Zulip is in the process of porting the main web app JavaScript codebase to..., Junyao Chen ," Mentor  Priyank Patel, jainkuniya ", Organization  Zulip ,/archive/2023/projects/LoUPFYyl,https://gist.github.com/jychen630/9373449c252b5c66790afa6c073c301b
3, GNOME Control Center: List and handle IPP print services for the New Architecture ,"Modern printers usually are driverless IPP printers, and those get discovered fully automatically by CUPS; no CUPS queue needs to be explicitly...", Mohit  Verma ," Mentor  Till Kamppeter, Ira McDonald, Zdenek Dohnal, Rithvik Patibandla ", Organization  The Linux Foundation ,/archive/2023/projects/1RcJRKse,https://github.com/vermamohit13/GSOC-2023
4, Extend and improve the CERNBox Notifications platform ,"Reva is the core of the CERNBox service. It is a middleware framework, providing interoperability between storage and application providers using a...", daniel-rey ," Mentor  Hugo Gonzalez Labrador, javfg ", Organization  CERN-HSF ,/archive/2023/projects/zrPEE0Cg,https://daniel-sparemblek.github.io/gsoc-2023/
5, Frontend and Backend Integration in Codelabz ,CodeLabz is a platform where the users can engage with online tutorials and the organizations can create tutorials for the users. I'll design new..., Shiva Nanda Reddy Gumma ," Mentor  Mohammad Sarfraz Alam, Thanda Mahender Goud ", Organization  SCoRe Lab ,/archive/2023/projects/glRDYyLP,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/09-Shiva-Nanda-Reddy-Gumma-Codelabz.md
6, Cypress Migration ,This project aims to migrate all the end-to-end tests from selenium to Cypress and increase end-to-end test coverage by covering more CUJs...., ShivamJha ," Mentor  Hugo Dueñas, Juan Gomez ", Organization  omegaUp ,/archive/2023/projects/TuVv99jM,https://medium.com/@sssvjha/google-summer-of-code-2023-5767487e505d
7, UiKit Playground 2.0 ,"Playground 2.0 is an updated version of the Rocket.chat's Playground, which is an app development platform for creating custom apps and integrations....", Vivek Srivastava ," Mentor  Douglas Fabris, Guilherme Gazzo ", Organization  rocket.chat ,/archive/2023/projects/3MeyLQcG,https://github.com/RocketChat/Rocket.Chat/tree/develop/packages/uikit-playground
8, UV Editor Improvements ,The goal of this project is to implement user-suggested improvements to the UV Editor tools in order to help users create UV maps more easily. The..., MelissaGoon , Mentor  Campbell Barton , Organization  Blender Foundation ,/archive/2023/projects/GiNuS5Qn,https://devtalk.blender.org/t/gsoc-2023-uv-editor-improvements/29329/14?u=melissa_goon
9, Add Calculations for Self-Diffusivity and Viscosity ,"MDAnalysis provides minimal support for calculating transport properties, measurable values which define the transfer of mass, heat, momentum, or...", Xu Hong Chen ," Mentor  Hugo MacDermott-Opeskin, orion cohen ", Organization  MDAnalysis ,/archive/2023/projects/4vt9npUg,https://xhgchen.github.io/posts/add-calculations-self-diffusivity-viscosity/
10, Quantum Transformers for HEP Analysis at the LHC ,This project aims to develop quantum transformer architectures for high energy physics (HEP) analysis at the Large Hadron Collider (LHC). The focus..., Marçal Comajoan Cara ," Mentor  Emanuele Usai, Amey Bhatuse, Purva Chaudhari ", Organization  Machine Learning for Science (ML4SCI) ,/archive/2023/projects/t0AHVDEG,https://salcc.github.io/blog/gsoc23
11, Camera and Gimbal enhancements ,"This project aims to fix camera and gimbals related issues in ArduPilot, upgrading currently supported messages and adding support for new mavlink...", Asif Khan ," Mentor  Randy Mackay, Peter Barker ", Organization  ArduPilot ,/archive/2023/projects/6wk8qNHC,https://docs.google.com/document/d/1ZGjGy3RMMbsAMOzFokrXzb60ubjuVwYJ4V5STDD3Hds/edit?usp=sharing
12, Improving Relational Assumptions in SymPy’s New Assumptions ,"The assumption system underlying SymPy is very important to the library's function. However, it has several flaws, including sluggish performance and...", Tilo Reneau-Cardoso ," Mentor  Aaron Meurer, Francesco Bonazzi ", Organization  SymPy ,/archive/2023/projects/vqchZ67V,https://github.com/sympy/sympy/wiki/GSoC-2023-Report-Tilo-Reneau%E2%80%90Cardoso:-Improving-Relational-Assumptions-in-SymPy%E2%80%99s-New-Assumptions
13, Scan8 - Web-scanner ,"The Scan8 project aims to develop a distributed scanning system for detecting malicious threats such as trojans, viruses, and malware embedded in...", Atharva Karambe ," Mentor  RavinduDeSilva, Isuru Vishwanath, Kenneth Manjula ", Organization  SCoRe Lab ,/archive/2023/projects/vJNlrVcX,https://github.com/Atharva-karambe/GSoC/blob/master/GSoC-2023/Atharva-Karambe-Scan8.md
14, FURY: Update UI widget + Explore new UI Framework ,"The main objective of this project is to update the existing UI system without impacting the current functionality, while also creating tests for...", ganimtron_10 ," Mentor  SERGE KOUDORO, Javier Guaje, Nasim Anousheh, Eleftherios Garyfallidis ", Organization  Python Software Foundation ,/archive/2023/projects/BqfBWfwS,https://gist.github.com/ganimtron-10/af9f058fffeaebbba7ff4844f712b721
15, Improving Test Coverage for PEcAn Packages ,"The short term goal is to improve unit test coverage for PEcAn base packages. The overall PEcAn ecosystem of packages (e.g, models and analysis...", Meet M Agrawal ," Mentor  Mike Dietze, Chris Black, Qianyu Li, Ankur Desai ", Organization  PEcAn Project ,/archive/2023/projects/ozz95eVk,https://docs.google.com/document/d/1U8SAll-lAnJo77BS6ri6_fCy-q6fD8vwVV2g0_aZh3o/edit?usp=sharing
16, Admin UI redesign ,The proposal suggests redesigning the UI of Talawa-Admin to make it more intuitive and user-friendly. The new design should be deployed incrementally..., Rishav Jha ," Mentor  Peter Harrison, anwersayeed, muskan399 ", Organization  The Palisadoes Foundation ,/archive/2023/projects/FpVgaLtg,https://github.com/rishav-jha-mech/GSoC-2023
17, Rewrite the base parts of lib_ccx to Rust ,"Currently, the entire lib_ccx library is written in C with only some parts in Rust. Since using C is incredibly difficult to get right, the entire...", Elbert Ronnie ," Mentor  Carlos Fernandez Sanz, Punit Lodha ", Organization  CCExtractor Development ,/archive/2023/projects/SdPnVLaq,https://docs.google.com/document/d/1_dYTb5T6DhPw9XRAf4f1gekfLtfjVK8yJXjBFl84PkI/edit?usp=sharing
18, Adding moderation tool in Tokodon project under KDE ,This project aims to enhance the functionality of Tokodon by integrating moderation tools which will allow moderators and administrators of Mastodon..., Rishi Kumar , Mentor  Carl Schwan , Organization  KDE Community ,/archive/2023/projects/sGepI44u,https://community.kde.org/GSoC/2023/StatusReports/RishiKumar
19, Linux backend for Virtual Desktops on Meta Quest Headsets ,Some VR headsets such as Meta's Quest 2 come with a Virtual Desktop tool that lets you connect your computer to the headset and get virtual desktops...., Soumya Ranjan Patnaik ," Mentor  Carlos Fernandez Sanz, Candela ", Organization  CCExtractor Development ,/archive/2023/projects/60fNTaAh,https://github.com/SoumyaRanjanPatnaik/VirtualDesktopQuest
20, Automatic Differentiation in the Faust Compiler ,Support for differentiable Faust algorithms is currently provided by an external JAX backend. The aim of this project is to add automatic..., Thomas Rushton ," Mentor  sletz, Agathe Herrou, David Braun ", Organization  GRAME ,/archive/2023/projects/v91Az2k0,https://github.com/grame-cncm/faust/pull/939
21, Integrating libcamera into OpenCV ,"This project aims to move the current V4L2 implementation of accessing and controlling cameras in OpenCV to libcamera, this will allow for better...", Advait Dhamorikar ," Mentor  epaul, uajain ", Organization  libcamera ,/archive/2023/projects/lKttObKa,https://advait-0.github.io/GSoC23/Final-Report/
