Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, SIMD for SQL expressions and functions ,Current Mariadb ColumnStore engine doesn’t support vectorized evaluation of SQL functions and expressions. This project want to cover this by adding..., Mu He , Mentor  Andrey Piskunov , Organization  MariaDB ,/archive/2023/projects/846SqnAJ,https://gist.github.com/MuHe03/7f3829fe68bd8f2d3364229154be8da1
2, Qaul Matrix Bridge ,"Qaul is an Internet independent wireless mesh communication app. With qaul, you can communicate directly from one device to another. The aim of this...", Harshil Jani ," Mentor  MathJud, Saces ", Organization  freifunk ,/archive/2023/projects/z3BpcR6Z,https://gist.github.com/Harshil-Jani/281ab3c38b5786a3b8b4a0ab6b7086c5
3, Mifos X Web App Enhancements ,"The Mifos X Web Enhancements project seeks to enhance localization, internationalization, and adapt web app to consume Typescript client for improved...", Radha Ravindra Thakare ," Mentor  Bharath Gowda, Ramveer, JoseAlberto ", Organization  The Mifos Initiative ,/archive/2023/projects/H1yeEAEQ,https://gist.github.com/radhathakare/367e2aef18b206e3219ae9e6db06a56d
4, Upgrade the documentation system to git-based system ,"The project aims to migrate the FreeCAD documentation system to a file-based, versioned system based on Git and Markdown so that it supports multiple...", Gauri_Maheshwari ," Mentor  Kurt Kremitzki, Chris Hennes ", Organization  FreeCAD ,/archive/2023/projects/iPaw5Jd9,https://github.com/gauriimaheshwarii/gsoc-2023
5, Addressing Rust optimization failures in LLVM ,Rust is a popular system programming language that relies on LLVM for its compilation. Rust has a variety of features and paradigms and states “Zero..., Kohei Asano , Mentor  Nikita Popov , Organization  LLVM Compiler Infrastructure ,/archive/2023/projects/a16FfPnb,https://khei4.github.io/gsoc2023/
6, Arduino Flavor ,"In the current version of the Android app Pocket Code, it is only possible to control some basic functions of an Arduino. Therefore, this project...", David Andrawes ," Mentor  Dev Sebastian, Patrick And. ", Organization  International Catrobat Association ,/archive/2023/projects/cilc4yh5,https://gist.github.com/dandrawes/03e73204d6280a3e1276e25efdc4c00f
7, Wiki Education Dashboard: Refactoring and upgrading React ,This proposal aims to improve the dashboard's performance and overall code-quality by making a variety of changes to the frontend codebase. this..., AmineH , Mentor  Sage Ross , Organization  Wikimedia Foundation ,/archive/2023/projects/NfzyC1AJ,https://gist.github.com/Aminehassou/043ac4861cd0728c8ea53fe7fc3d45f5
8, Analytics Edge Ecosystem Workloads ,"In the fast-paced world we live in, sleep disorders have become increasingly common and are often overlooked. As part of Google Summer of Code (GSoC)...", Krish Aryan , Mentor  BWGartner , Organization  openSUSE Project ,/archive/2023/projects/kaKd6Oy1,https://medium.com/@krisharyan.36/gsoc-final-evaluation-report-opensuse-a51a3790026b
9, Development of Attractors.jl ,"The main aim of this project is to expand the capabilities of Attractors.jl. We are specifically targeting three features, which are the Minimal...", Stefan Vayl , Mentor  Datseris , Organization  The Julia Language ,/archive/2023/projects/GSsHIPiy,https://gist.github.com/StefanVaylBX2023/24e9d8bf54315e217fc272181da9b7d8
10, Implementation of Web Interface of Retroshare ,"RetroShare is a C++ software program that comprises a headless lib called ""libretroshare"". This lib is utilized to implement Retroshare application...", Sumit Kumar Soni ," Mentor  Cyril Soler, G10h4ck ", Organization  freifunk ,/archive/2023/projects/tFSIOQNm,https://blog.freifunk.net/2023/08/27/gsoc23-implementation-of-web-interface-of-retroshare-final-report/
11, IoT Physics lab ,"The project idea aims at making the code for the ESP8266 based NodeMCU, in order to make an IoT network of sensors and actuators for different...", Thomas Kampouris ," Mentor  Panagiotis Koustoumpardis, Hariton Polatoglou ", Organization  Open Technologies Alliance - GFOSS ,/archive/2023/projects/18LbT5uc,https://github.com/tkampo/DIY-Physics-IoT/tree/patch-1/GSoC%202023
12, cve-bin-tool: Add GitHub Action including fancy reporting and triage integration ,The CVE Binary Tool helps the users to determine if their system includes any known vulnerabilities or not. This project idea focuses on creating a..., Pramurta Sinha (b31ngd3v) ," Mentor  Terri Oda, DRAGON2002, aph, rhythmrx9 ", Organization  Python Software Foundation ,/archive/2023/projects/rfhFsBbN,https://github.com/b31ngd3v/GSoC-23.md/blob/main/GSoC-23.md
13, Exploring Open Source Sustainability via Agent based Modelling and Reinforcement learning ,The proposed project aims to address the sustainability challenges faced by open-source software projects by using an agent-based modelling and..., R.V.Rajagopalan ," Mentor  Jesse Parent, Bradly Alicea ", Organization  INCF ,/archive/2023/projects/F504B01a,https://gist.github.com/rv602/9bd5c469e635075ffd27995514b5c24a
14, Enhanced optimization solver interfaces for Sage ,This project aims at improving the optimization capabilities of SageMath by connecting SageMath to interfaces to optimization solvers that are..., Zhongling Xu , Mentor  Matthias Koeppe , Organization  SageMath ,/archive/2023/projects/tBkLOJ5z,https://docs.google.com/document/d/15RI1gI85ekOQeUJetFdlwS_Kmuc9m0jOjQc4_UdgLZg/edit?usp=sharing
15, Enabling HTTP/3 support in Wget2 ,"This project will upgrade the popular command-line tool Wget2 to support the latest HTTP/3 protocol. Due to this, the users will get the advantage of...", Harshmohan Kulkarni ," Mentor  Daiki Ueno, Ander, fkrenzel ", Organization  GnuTLS ,/archive/2023/projects/TQBKKYlM,https://gitlab.com/gnuwget/wget2/-/merge_requests/527
16, Future-proofing FFmpeg — VVC Decoder Improvements ,Versatile video coding (VVC) is a recent standard for video compression. It is the newest in a line of standards which have proven extremely..., Frank Plowman ," Mentor  Nuo Mi, Anton Khirnov ", Organization  FFmpeg ,/archive/2023/projects/wGFG0Zvw,https://frankplowman.com/posts/gsoc-23-writeup
17, Development of a Web Based robotic simulator for the DIY robot kit for educators ,"I propose to develop a comprehensive and accessible robot simulation system for the FOSSbot project, utilizing cutting-edge technologies and best...", Manousos Linardakis , Mentor  Christos Chronis , Organization  Open Technologies Alliance - GFOSS ,/archive/2023/projects/xsxF9klm,https://gist.github.com/manouslinard/29b2decf4b88e6e0919c81c993969ba0
