Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, (Project Proposal) Project 8: Support various parameter distributions like log-uniform in Katib ,"The goal of this project is to enhance the Katib Experiment APIs to support various parameter distributions such as uniform, log-uniform, and...", Shashank Mittal ," Mentor  Yuan Tang, Andrey Velichkevich, Yuki Iwai, Johnu George, Neha Singla, Akshay Chitneni ", Organization  Kubeflow ,/archive/2024/projects/V3mup6rZ,https://github.com/kubeflow/katib/issues/2374
2, Expand Testing of the Manual/TA Rubric Grading Interface ,"Submitty, the TA grading interface is elaborate, highly-featured, and customizable. However, the interface is visually overwhelming to new graders,...", Rahul Vishwakarma_ ," Mentor  Barbara Cutler, Shail Patel, Chris Reed, William Allen, Cameron Peterson, Jaeseok Kang ", Organization  Submitty ,/archive/2024/projects/CJ2GEkRL,https://submitty.org/developer/google_summer_of_code/2024_Rahul_Vishwakarma
3, Implement IVFFlat indexing strategy for MariaDB Vector and evaluate the performance ,implementing the IVFFlat indexing strategy for MariaDB Vector to enhance performance. including support of key features like support different..., Ahmed Sayed Sayed Madbouly , Mentor  Vicențiu-Marian Ciorbaru , Organization  MariaDB ,/archive/2024/projects/4WGDeLSR,https://github.com/MariaDB/server/pull/3380
4," Hybrid: Volunteer management, tracking & leaderboard- Talawa Admin & Talawa Mobile ","Talwa being a complete community management platform misses a system to record, verify, and manage volunteer hours/efforts. This project proposes to...", Glen Dsouza ," Mentor  Tasneem Koushar, Kukade Siddhesh Bhupendra, Tyrone Taylor, Ayush0Chaudhary, Nitya Pasrija ", Organization  The Palisadoes Foundation ,/archive/2024/projects/A27LfMGu,https://gist.github.com/GlenDsza/1940a2cffc5631f08bf1828aa27721bd
5, Android SDK Tools in Debian ,"The Android platform, including its development tools, operates on open-source principles. Debian-derivatives have emerged as preferred platforms for...", anuragxone ," Mentor  Hans-Christoph Steiner, Jochen, Roger Shimizu ", Organization  Debian ,/archive/2024/projects/Gy3gXSJo,https://salsa.debian.org/-/snippets/729
6, Animated images and other functionality for imgcodecs ,1.Adding support animation encoding/decoding to OpenCV library. ( according to result of meetings which file types will be supported.) 2.zlib-ng..., Suleyman Turkmen , Mentor  Vincent Rabaud , Organization  OpenCV ,/archive/2024/projects/Jkv7Uu6Z,https://gist.github.com/sturkmen72/184ee7604a29ccfc8b2bc33ef29227db
7, Implement Generalized Triggers ,"In summary, the project is about supporting generalized triggers in MariaDB. The main focus will be on adding triggers for STARTUP/SHUTDOWN and...", André Alves ," Mentor  Sergei  Golubchik, Dave Gosselin ", Organization  MariaDB ,/archive/2024/projects/pzFvEfQA,https://www.andrealves.dev/blog/gsoc24-final-submission/
8, ArviZ Plotting Refactoring Python ,ArviZ is a package for the exploratory analysis of bayesian inference models. The current Python release of ArviZ involves three major modules that..., Ratish Panda ," Mentor  Oriol Abril Pla, Osvaldo ", Organization  NumFOCUS ,/archive/2024/projects/X9jNcYK7,https://github.com/imperorrp/gsoc-2024
9, Living Patching Distributed ClickHouse with Shared IO and Network Interface over io_uring and eBPF ,This project aims to enhance the performance of distributed ClickHouse by leveraging io_uring and eBPF to optimize I/O operations across network..., fr0m_scratch , Mentor  vickieGPT , Organization  eunomia-bpf ,/archive/2024/projects/1s5DrKHb,https://github.com/orgs/eunomia-bpf/discussions/354
10, Supercharging the Knowledge Base of AIHelpMe.jl ,"Traditionally if a user asks a question to an LLM about a package then, the response might be incorrect, or outdated. The project ""Supercharging the...", Shreyas Agrawal ," Mentor  Cameron Pfiffer, Jan Siml ", Organization  The Julia Language ,/archive/2024/projects/XNfAQ6gz,https://github.com/JuliaGenAI/DocsScraper.jl
11, Public Transport Support - Subway Preprocessor and Validator ,This is concerning adding the ability to add and sync bus routes and bus stops to the Public Transport Support - Subway Preprocessor and Validator..., Claire Joseph ," Mentor  Alexander Borsuk, Ilja Zverev ", Organization  Organic Maps ,/archive/2024/projects/55lxVSFO,https://github.com/cjj20/publictransportbus
12, GNSS SDR with a RFSoC IC ,"The future of satellite navigation is in sampling the signal directly from the antenna to the signal processing unit. To carry out this great feat,...", Jorge Iglesias , Mentor  Javier Arribas , Organization  GNSS-SDR ,/archive/2024/projects/LTWEWeEv,https://github.com/jorgeiglesiasc/advanced-rfsoc-front-end
13, AI-based Touristic Information Tool for LG (based on GEMMA model running locally) ,"Seeking an escape from daily life chores, many turn to travel as a means of relaxation, renewal, and exploration. However, planning a trip can be...", Mahinour Elsarky ," Mentor  Andreuibanez, Claudia, Laura Morillo ", Organization  Liquid Galaxy project ,/archive/2024/projects/hSET07zW,https://www.liquidgalaxy.eu/2024/08/work-product-submission-from-google.html#mahinour
14, IMPROVE TEST COVERAGE IN RPMLINT ,"This project works with the OpenSuse Tumbleweed linux, where the tests will be executed. The rpmlint project has a lot of tests. The past year the...", Luz Marina ," Mentor  Daniel García Moreno, Conan Kudo ", Organization  openSUSE Project ,/archive/2024/projects/3L9UgExV,https://docs.google.com/document/d/1_szXbhZYstnb8_u7kWTFWDJP8B6ICUclWgzDo6SdPKg/edit?usp=sharing
15, Support Zvk in T1 (RISC-V Vector coprocessor) ,"Our ""Support Zvk in T1"" project aims to upgrade the T1 processor by adding Zvk, a cryptographic feature from the RISC-V architecture, enhancing its...", Syed Hassan Ul Haq ," Mentor  Jiuyang Liu, ZW YE ", Organization  CHIPS Alliance ,/archive/2024/projects/Pu321NTt,https://github.com/chipsalliance/riscv-vector-tests/pull/46#issue-2477450183
16, Tensor network contraction order optimization and visualization ,This project aims to further enhance the performance and usability of tensor network tools in Julia. There are three main goals of the project: 1)..., Xuanzhao Gao , Mentor  JinGuo Liu , Organization  The Julia Language ,/archive/2024/projects/B8qSy9dO,https://github.com/ArrogantGao/GSoC2024-Report
17, Integrate JAX with Kubeflow Training Operator ,"The machine learning (ML) community is continually seeking ways to streamline the process of training and deploying models. JAX, with its...", Sandipan Panda ," Mentor  Yuan Tang, Rishit Dagli, Andrey Velichkevich, Yuki Iwai, Johnu George, Neha Singla, Akshay Chitneni ", Organization  Kubeflow ,/archive/2024/projects/c29HXzpc,https://sandipanpanda.github.io/gsoc2024/
18, New Analyzers for IntelOwl ,"With this, we're diving deep into data! The vibrant security-analysts user base of intel owl has an active fleet of in demand analyzers (around 50...", NilayGupta ," Mentor  Matteo Lodi, Daniele Rosetti ", Organization  The Honeynet Project ,/archive/2024/projects/iG6PlGNy,https://intelowlproject.github.io/blogs/gsoc24_new_analyzers_for_intelowl
19, Native Encryption ,"Joplin currently uses sjcl library for end-to-end encryption on all platforms. In the past, this has caused performance issues. Ideally, we would use...", wh201906 ," Mentor  Roman, K. C. Tessarek ", Organization  Joplin ,/archive/2024/projects/F5rtYZQU,https://gist.github.com/wh201906/970888202915a0c66e36dad746592f93
20," Kanidm, Improving Documentation and Accessibility ","I would like to work on Kanidm, specifically to improve it under the title “Documentation and Accessibility” with a large project. My plan is to...", alexvonme , Mentor  William Brown , Organization  openSUSE Project ,/archive/2024/projects/1V6Is9HZ,https://github.com/kanidm/kanidm
21, Lunatik binding for Netfilter ,"The goal of this project is to make a new tool that connects Netfilter with Lua, allowing people to create new Netfilter programs using Lua and...", sheharyaar ," Mentor  Lourival Vieira Neto, Marcel Moura ", Organization  LabLua ,/archive/2024/projects/BIJAPZjf,https://github.com/sheharyaar/google-summer-of-code-2024
22, Benchmark Suite for Explaining failures in autograding - AI Explainability Accountability ,The project aims to address a common challenge faced by both beginner and advanced programmers: understanding and learning from mistakes in code..., Shaburu , Mentor  Leilani Gilpin , Organization  UC OSPO ,/archive/2024/projects/hMNxeu1b,https://github.com/edulinq/autograder-py
23, Comments in Sidebar ,"The goal of this project is to enhance the LibreOffice Writer by implementing a comments sidebar feature. Currently, comments are displayed at...", Mohit Marathe ," Mentor  Heiko Tietze, Sarper Akdemir ", Organization  LibreOffice ,/archive/2024/projects/Hht1NBGx,https://github.com/mohit-marathe/libreoffice-gsoc-2024-report
24, Cross Platform Extensions : Keploy IDE Integration ,"The absence of a concrete platform to integrate Keploy to the developer environment, which is an extreme necessity for a testing tool meant to work...", Akash_Singh04 ," Mentor  Animesh Pathak, Gourav Kumar, Sarthak Shyngle ", Organization  Keploy ,/archive/2024/projects/XKj0YXC7,https://gist.github.com/Akash-Singh04/9aa25a2bef7121a78dc80dc4cc5f5d20
25, Keyboard navigation ,"App Inventor, a versatile tool for mobile app development, currently lacks consistent keyboard navigation and hotkey functionalities, presenting...", Venkata Sai ," Mentor  Susan Rati Lane, Vishwas Adiga ", Organization  MIT App Inventor ,/archive/2024/projects/91Aek5Gz,https://medium.com/@TheDVSV/google-summer-of-code-2024-mit-app-inventor-keyboard-navigation-9b02648aef69
26, Alias Support: Enhancing Model Flexibility in Concerto ,"The objective of this project is to provide alias support in concerto language . For example import statement like ""import {document as d} from...", <jaskeerat> ," Mentor  Ertugrul Karademir, Muhammed Abdulkadir ", Organization  Accord Project ,/archive/2024/projects/7ZJTW2PX,https://accordproject.org/news/gsoc-2024-alias-support-for-concerto
27, Fluent library for Files and Processes in Fs2 ,"FS2 is a key part of the Typelevel ecosystem for streaming I/O operations in Scala, offering powerful APIs that provide a wide range of functionality...", Gaby ," Mentor  Michael Pilquist, TonioGela, Thanh, zetashift ", Organization  Scala Center ,/archive/2024/projects/tAMQw1p1,https://gist.github.com/Hombre-x/77fccf136aa83b2d46063d04a0fdda32
28, Traceroute Visualization ,"This project aims to address the need for a more effective way to visualize traceroute data, specifically focusing on latency increases in upstream...", Anastasios-Theodosios Meletlidis ," Mentor  Romain, Malte Tashiro, dimitrios_san ", Organization  Internet Health Report ,/archive/2024/projects/HOalwttF,https://github.com/InternetHealthReport/ihr-website/tree/gsoc24
29, Porting bpftime to MacOS ,"Since bpftime can run in userspace and does not require kernel eBPF, why not enable eBPF on MacOS/FreeBSD/Other Platforms? The goal of this project...", hp77 , Mentor  Yusheng , Organization  eunomia-bpf ,/archive/2024/projects/eBI5l9e7,https://medium.com/@hp77/gsoc-2024-final-submission-219743e648d2
30, Integration of SBAS (EGNOS/WAAS) in GNSS-SDR ,"The main goal of this project, is to implement in a sofware-defined GNSS receiver (GNSS SDR), EGNOS/WAAS signals. They are both satellite-based...", Juan Alfaro ," Mentor  Damian Miralles, miguel angel gomez lopez ", Organization  GNSS-SDR ,/archive/2024/projects/Di2ZQK9j,https://github.com/gnss-sdr/gnss-sdr/pull/810
31, Move existing tests to a unit testing framework ,"Git has many existing end-to-end tests which are written in shell script. However, to unit test some of the internal libraries/functionality, we use...", Ghanshyam Thakkar ," Mentor  Kaartic Sivaraam, Christian Couder ", Organization  Git ,/archive/2024/projects/e9C4rhrv,https://spectre10.github.io/posts/gsoc_final_report/
32, ExpectedReturns-Factor-Creation-and-Feature-Engineering ,"The ""Market Rewards Toolkit"" project seeks to develop a comprehensive toolkit for harvesting market rewards from diverse investments, extending...", Corties Draper ," Mentor  Brian G. Peterson, bryan506, JustinS, cdldl ", Organization  R project for statistical computing ,/archive/2024/projects/r9HGIHtg,https://github.com/JustinMShea/AQRdata
33," Improve Tracker SPARQL developer experience by creating a ""web IDE"" for developing queries ",This proposal aims to create a web-based Integrated Development Environment (IDE) specifically for writing and executing SPARQL queries within..., Divyansh_Jain , Mentor  Carlos Garnacho , Organization  GNOME Foundation ,/archive/2024/projects/O9YiKcZD,https://demiigood.wordpress.com/2024/08/26/tinysparql-gsoc-final-report/
34, Ultimate Alarm Clock II ,The Ultimate Alarm Clock project proposes a feature-rich alarm application designed to optimise time management and streamline wake-up routines. Key..., Aryan Saraf , Mentor  Rijuth Menon R , Organization  CCExtractor Development ,/archive/2024/projects/ZMmkk6oO,https://github.com/AryanSarafDev/gsoc-report
35, HLS Cabal Plugin Continuation proposal ,"I am aiming at solving the following parts of the ""Cabal Plugin Continuation"" project first: - Completion of local and non-local package names...", Georgii Gerasev , Mentor  Fendor , Organization  Haskell.org ,/archive/2024/projects/BAhTO86G,https://gist.github.com/VenInf/ae0d45074742f88db7505659d0eb837b
36, More durable synching for FlatSync ,"FlatSync is a GSoC 2023 project to synchronise Flatpak installations across machines. While it already has basic synchronisation functionality, there...", Mattia Formichetti , Mentor  Rasmus Thomsen , Organization  GNOME Foundation ,/archive/2024/projects/dyHJb6p8,https://gitlab.gnome.org/Cogitri/flatsync/-/merge_requests?scope=all&state=merged&author_username=IlChitarrista
37, Beacon ,Beacon is a cross platform mobile application made with Flutter for the frontend and supported by Node.js and GraphQL for the backend. It's a handy..., Abhishek  Bansal ," Mentor  Aadi Bajpai, Akshat Tripathi ", Organization  CCExtractor Development ,/archive/2024/projects/ZQ2dbV8z,https://github.com/RunTerror/Gsoc-report
38," Adding ClassificationSVM, ClassificationNeuralNetwork to the Statistics Package of Octave ","My project aims to enhance the GNU Octave Statistics package by implementing missing functionalities, specifically focusing on adding the missing...", Pallav Purbia , Mentor  pr0m1th3as , Organization  GNU Octave ,/archive/2024/projects/L6MlAMg0,https://drive.google.com/file/d/15nwE0IV9glrHgkwvb5KdtiwgVt-5RHdS/view?usp=sharing
39, Optimize PEcAn for freestanding use of single packages ,The objective of this project is to enhance the PEcAn Project by optimizing its modules for standalone use. Despite PEcAn's robust framework and its..., Abhinav Pandey ," Mentor  Chris Black, Shashank-Singh ", Organization  PEcAn Project ,/archive/2024/projects/CI7SB4bJ,https://dev.to/devrx/my-gsoc-experience-pecan-project-bi0
40, Smart Scheduling App Assistant ,"Setting a calendar event is a small, but important process in our day-to-day job. It can take some of your time when you want to set up another...", Maria Khelli (Deprecated) ," Mentor  Sing Li, Douglas Gubert, Dnouv ", Organization  rocket.chat ,/archive/2024/projects/qQkitxRC,https://khelli07.medium.com/spending-summer-as-a-google-summer-of-code-contributor-at-rocket-chat-5d194b08df1c
41, Developing an Advanced Image Recognition Model for Bird Nest Detection in UAV Imagery ,"The Everglades, a vital habitat for vulnerable and endangered bird species, requires accurate monitoring of nesting patterns for effective...", Om Doiphode ," Mentor  Henry Senyondo, Ben Weinstein ", Organization  NumFOCUS ,/archive/2024/projects/uN8mA5zq,https://gist.github.com/Om-Doiphode/77ac70ab14c9134182cebe6077480de1
